Default Dataset,,Dataset 1,,Dataset 2,,Default Dataset 2,,Default Dataset 3,,Default Dataset 4,,Dataset 6,,Dataset 7,
X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
0.9999999999999716,-2.3162488737053852,0.9855247285886435,6.831582623804328,0.9999999999999645,-9.469533545238255,-10.967551622418878,5.1034482758620685,-11.000000000000004,100.22020903265181,-10.95396661116861,1.3285919992800252,-0.946159384421545,1.1823786167484136,-10.978591999280026,1.4015906943256984
1.998793727382349,-4.270880109415751,2.027744270205032,1.3264009344943535,1.9987937273823473,-5.779395924500916,-9.929203539823007,4.818965517241379,-9.994100294985259,102.45846048214831,-9.921803986860462,1.543254736084237,2.078061017864375,1.160192143274985,-9.912646807361744,1.6276672816451423
3.026537997587404,-4.42385073917224,2.9975874547647336,1.8036857351658764,3.0265379975874023,-6.418984559123581,-8.923303834808259,4.961206896551724,-9.02064896755163,100.66219102837961,-8.923300184493545,1.4476443324483643,3.0479795707150252,1.10107771228007,-8.948420555280569,1.516080187193448
4.010856453558448,-1.9508451245748564,3.9963811821471147,3.5473513364384903,4.010856453558443,-5.697803762044456,-7.982300884955751,5.116379310344827,-8.014749262536878,100.76682178822094,-7.976893308734196,1.1717949871754487,0.9914502992395242,1.0436169734059306,-7.970953516626919,1.2265490707825224
5.009650180940827,-1.2290773335212268,5.02412545235217,2.4698064974362612,4.995174909529485,-3.7600779527998807,-6.976401179941003,4.586206896551724,-7.041297935103252,100.87141440341776,-6.932108626198081,1.5028101516446923,3.9729784457543964,0.9278855240066595,-6.957971470998517,1.564401745938892
6.008443908323201,-3.5730029731245434,6.008443908323205,0.41726466677815033,5.979493365500527,-4.060794965939737,-6.002949852507373,5.206896551724137,-6.0353982300885,100.82087274946598,-5.947959321423756,1.2748773792917247,5.053401880934167,0.9874251901183455,-5.9417720379786765,1.3319128830490932
7.007237635705582,-2.31595537671811,6.992762364294247,0.5058420575312361,7.021712907116921,-2.850648188096402,-4.9646017699115035,4.702586206896552,-4.964601769911511,100.92557979859627,-4.931141160059401,1.3480920667776624,-1.9774557890473865,1.2757008504702334,-4.924706385276519,1.4074089906853258
9.004825090470344,-0.9697433955840857,8.975874547647667,0.5862602320386809,8.990349819058999,-1.456948394424776,-3.991150442477876,5.232758620689655,-3.991150442477881,100.79741379310344,-3.9594901678441268,1.3049475768348107,-2.923986410475635,1.2504094856680015,-3.9205102821401248,1.3642712505062322
,,,,,,-2.985250737463126,5.297413793103448,-2.9528023598820106,101.03139304241684,-2.9510867119650825,1.3005939792107273,-3.999212527561536,1.2387796427125048,-2.9453944111956076,1.3530666426675062
,,,,,,-1.9793510324483776,5.09051724137931,-2.0442477876106224,100.46349557522123,-1.971021014264501,1.3350177743778966,-4.9693785717499885,1.2956126535571253,-1.9317936372227003,1.3966228681996127
,,,,,,-1.0058997050147482,5.594827586206896,-1.0058997050147518,100.36126792798291,-0.9566777662781831,1.3854182603608873,-5.95389911353103,1.220123295684651,-0.9351460198893058,1.5839018134365297
,,,,,,0,4.974137931034482,0.03244837758111885,99.89697131522735,0.03576249831255751,1.5339130630427933,-6.970346037888675,1.4503307384241548,0.07647482338117939,1.609206677766278
,,,,,,1.0383480825958706,7.612068965517241,1.038348082595867,100.13091241989625,1.0319151329703473,1.1166291679791203,-8.962775052873152,1.3837578184763533,1.1041826036088764,1.1828038518651844
,,,,,,2.044247787610619,6.849137931034482,2.0117994100294965,100.40360848336893,2.0223754668586587,1.2468726094586686,-9.931456149034785,1.454279350222742,2.0640777572784934,1.3312919047833325
,,,,,,3.0176991150442483,6.771551724137931,2.952802359882,100.7797146780592,3.0561467848625306,1.1763645772397964,-10.994678936237232,1.2532983845565402,3.0958691445799396,1.242532511362102
,,,,,,4.023598820059,7.030172413793103,3.991150442477874,100.06972841013122,4.045493407730728,0.9963416280430182,-7.950040498582551,1.1193290734824277,4.05267065652702,1.0625028124015656
,,,,,,5.029498525073745,6.926724137931034,4.997050147492622,100.2131522734208,5.060084147054855,1.0490235341763037,,,5.033478828241012,1.103770868019619
