Date,Durables,Services,Nondurables
1990-01-01,0.83225,5.61139,4.31248
1990-02-01,1.20998,5.88427,4.29149
1990-03-01,1.47026,5.40132,4.43976
1990-04-01,1.20608,3.71374,4.43759
1990-05-01,1.22335,3.09559,4.46144
1990-06-01,0.86661,3.70801,4.65357
1990-07-01,0.86839,4.01448,4.53313
1990-08-01,0.92153,5.92324,4.81891
1990-09-01,0.95828,7.38415,4.86209
1990-10-01,1.05332,7.99608,4.89169
1990-11-01,0.71041,8.00937,4.80327
1990-12-01,0.60436,8.02234,4.47476
1991-01-01,1.06958,5.90054,4.61639
1991-02-01,1.10996,4.58931,4.50422
1991-03-01,1.16174,3.98897,4.13248
1991-04-01,1.39108,4.32111,3.89095
1991-05-01,1.38738,4.69909,4.04282
1991-06-01,1.2952,4.17962,3.80801
1991-07-01,1.77492,3.41562,3.88373
1991-08-01,1.57748,2.47342,3.59328
1991-09-01,1.71277,1.1725,3.67241
1991-10-01,1.59902,-0.03537,3.57516
1991-11-01,1.82965,0.41359,3.48634
1991-12-01,1.67703,0.40807,3.78026
1992-01-01,1.06353,0.24886,3.55516
1992-02-01,0.7331,0.95638,3.65056
1992-03-01,0.70867,1.61318,3.74257
1992-04-01,0.71329,1.32659,4.00817
1992-05-01,0.86319,1.07661,3.61525
1992-06-01,0.99141,1.41372,3.4656
1992-07-01,0.50903,2.02122,3.58737
1992-08-01,0.76529,1.90265,3.42307
1992-09-01,0.42676,1.80446,3.22997
1992-10-01,0.44086,1.96281,3.43262
1992-11-01,0.48632,1.54803,3.56001
1992-12-01,0.59604,1.563,3.40549
1993-01-01,0.64495,1.83273,3.46243
1993-02-01,0.35162,2.00024,3.28467
1993-03-01,0.3868,1.61962,3.36751
1993-04-01,0.71714,1.57778,3.3105
1993-05-01,0.51867,1.40038,3.71091
1993-06-01,0.91485,0.5749,3.72945
1993-07-01,0.94394,0.28151,3.56155
1993-08-01,1.00029,0.18278,3.65041
1993-09-01,1.42537,-0.33366,3.6749
1993-10-01,1.59581,0.26099,3.3372
1993-11-01,1.59375,0.35736,3.28328
1993-12-01,1.70857,0.05115,3.13938
1994-01-01,1.61093,-0.1896,2.90636
1994-02-01,1.90155,-0.49813,3.10361
1994-03-01,2.24444,-0.38756,3.10354
1994-04-01,1.74029,-0.24786,2.90679
1994-05-01,2.08387,-0.25096,2.56803
1994-06-01,2.14277,0.45699,2.61645
1994-07-01,2.36166,1.0444,2.59364
1994-08-01,2.28668,1.39327,2.56863
1994-09-01,1.98444,1.88445,2.44734
1994-10-01,1.65234,1.07286,2.59461
1994-11-01,1.67639,1.01116,2.61687
1994-12-01,1.80892,1.12919,2.61386
1995-01-01,2.04929,1.32976,2.75946
1995-02-01,1.85662,1.36315,2.6969
1995-03-01,1.74802,1.28785,2.59987
1995-04-01,1.75979,1.4984,2.75078
1995-05-01,1.09107,1.65871,2.84055
1995-06-01,0.66061,1.29716,2.82824
