"","Date","Median_5_year"
"1",2021-12-31,2.9
"2",2021-11-30,3
"3",2021-10-31,2.9
"4",2021-09-30,3
"5",2021-08-31,2.9
"6",2021-07-31,2.8
"7",2021-06-30,2.8
"8",2021-05-31,3
"9",2021-04-30,2.7
"10",2021-03-31,2.8
"11",2021-02-28,2.7
"12",2021-01-31,2.7
"13",2020-12-31,2.5
"14",2020-11-30,2.5
"15",2020-10-31,2.4
"16",2020-09-30,2.7
"17",2020-08-31,2.7
"18",2020-07-31,2.6
"19",2020-06-30,2.5
"20",2020-05-31,2.7
"21",2020-04-30,2.5
"22",2020-03-31,2.3
"23",2020-02-29,2.3
"24",2020-01-31,2.5
"25",2019-12-31,2.2
"26",2019-11-30,2.5
"27",2019-10-31,2.3
"28",2019-09-30,2.4
"29",2019-08-31,2.6
"30",2019-07-31,2.5
"31",2019-06-30,2.3
"32",2019-05-31,2.6
"33",2019-04-30,2.3
"34",2019-03-31,2.5
"35",2019-02-28,2.3
"36",2019-01-31,2.6
"37",2018-12-31,2.5
"38",2018-11-30,2.6
"39",2018-10-31,2.4
"40",2018-09-30,2.5
"41",2018-08-31,2.6
"42",2018-07-31,2.4
"43",2018-06-30,2.6
"44",2018-05-31,2.5
"45",2018-04-30,2.5
"46",2018-03-31,2.5
"47",2018-02-28,2.5
"48",2018-01-31,2.5
"49",2017-12-31,2.4
"50",2017-11-30,2.4
"51",2017-10-31,2.5
"52",2017-09-30,2.5
"53",2017-08-31,2.5
"54",2017-07-31,2.6
"55",2017-06-30,2.5
"56",2017-05-31,2.4
"57",2017-04-30,2.4
"58",2017-03-31,2.4
"59",2017-02-28,2.5
"60",2017-01-31,2.6
"61",2016-12-31,2.3
"62",2016-11-30,2.6
"63",2016-10-31,2.4
"64",2016-09-30,2.6
"65",2016-08-31,2.5
"66",2016-07-31,2.6
"67",2016-06-30,2.6
"68",2016-05-31,2.5
"69",2016-04-30,2.5
"70",2016-03-31,2.7
"71",2016-02-29,2.5
"72",2016-01-31,2.7
"73",2015-12-31,2.6
"74",2015-11-30,2.6
"75",2015-10-31,2.5
"76",2015-09-30,2.7
"77",2015-08-31,2.7
"78",2015-07-31,2.8
"79",2015-06-30,2.6
"80",2015-05-31,2.8
"81",2015-04-30,2.6
"82",2015-03-31,2.8
"83",2015-02-28,2.7
"84",2015-01-31,2.8
"85",2014-12-31,2.8
"86",2014-11-30,2.6
"87",2014-10-31,2.8
"88",2014-09-30,2.8
"89",2014-08-31,2.9
"90",2014-07-31,2.7
"91",2014-06-30,2.9
"92",2014-05-31,2.8
"93",2014-04-30,2.9
"94",2014-03-31,2.9
"95",2014-02-28,2.9
"96",2014-01-31,2.9
"97",2013-12-31,2.7
"98",2013-11-30,2.9
"99",2013-10-31,2.8
"100",2013-09-30,3
"101",2013-08-31,2.9
"102",2013-07-31,2.8
"103",2013-06-30,2.9
"104",2013-05-31,2.9
"105",2013-04-30,2.9
"106",2013-03-31,2.8
"107",2013-02-28,3
"108",2013-01-31,2.9
"109",2012-12-31,2.9
"110",2012-11-30,2.8
