"","Date","SD_5_year"
"1",2021-12-31,4.3
"2",2021-11-30,4.2
"3",2021-10-31,3.7
"4",2021-09-30,4.2
"5",2021-08-31,4.2
"6",2021-07-31,3.9
"7",2021-06-30,4
"8",2021-05-31,3.2
"9",2021-04-30,2.5
"10",2021-03-31,3.1
"11",2021-02-28,2.9
"12",2021-01-31,2.9
"13",2020-12-31,2.7
"14",2020-11-30,2.5
"15",2020-10-31,2.8
"16",2020-09-30,2.6
"17",2020-08-31,2.7
"18",2020-07-31,2.7
"19",2020-06-30,2.5
"20",2020-05-31,3.1
"21",2020-04-30,2.6
"22",2020-03-31,2.4
"23",2020-02-29,2.6
"24",2020-01-31,2.6
"25",2019-12-31,2.5
"26",2019-11-30,2.7
"27",2019-10-31,2.6
"28",2019-09-30,2.8
"29",2019-08-31,2.7
"30",2019-07-31,2.8
"31",2019-06-30,2.7
"32",2019-05-31,2.6
"33",2019-04-30,2.3
"34",2019-03-31,2.2
"35",2019-02-28,2.7
"36",2019-01-31,2.5
"37",2018-12-31,2.7
"38",2018-11-30,2.7
"39",2018-10-31,2.5
"40",2018-09-30,2.7
"41",2018-08-31,2.8
"42",2018-07-31,2.6
"43",2018-06-30,2.9
"44",2018-05-31,2.5
"45",2018-04-30,2.5
"46",2018-03-31,2.5
"47",2018-02-28,2.6
"48",2018-01-31,2.4
"49",2017-12-31,2.6
"50",2017-11-30,2.7
"51",2017-10-31,2.4
"52",2017-09-30,2.9
"53",2017-08-31,2.5
"54",2017-07-31,2.3
"55",2017-06-30,2.9
"56",2017-05-31,2.6
"57",2017-04-30,2.6
"58",2017-03-31,2.9
"59",2017-02-28,2.8
"60",2017-01-31,2.7
"61",2016-12-31,2.9
"62",2016-11-30,2.9
"63",2016-10-31,2.7
"64",2016-09-30,2.7
"65",2016-08-31,2.6
"66",2016-07-31,2.8
"67",2016-06-30,2.4
"68",2016-05-31,2.3
"69",2016-04-30,2.7
"70",2016-03-31,2.8
"71",2016-02-29,2.9
"72",2016-01-31,2.9
"73",2015-12-31,2.6
"74",2015-11-30,2.5
"75",2015-10-31,3
"76",2015-09-30,2.6
"77",2015-08-31,2.9
"78",2015-07-31,2.8
"79",2015-06-30,2.8
"80",2015-05-31,3
"81",2015-04-30,2.5
"82",2015-03-31,2.6
"83",2015-02-28,2.8
"84",2015-01-31,2.7
"85",2014-12-31,2.6
"86",2014-11-30,2.7
"87",2014-10-31,2.7
"88",2014-09-30,2.8
"89",2014-08-31,3
"90",2014-07-31,2.8
"91",2014-06-30,3
"92",2014-05-31,3.1
"93",2014-04-30,2.9
"94",2014-03-31,3.1
"95",2014-02-28,3.2
"96",2014-01-31,3
"97",2013-12-31,3.2
"98",2013-11-30,3.3
"99",2013-10-31,3.2
"100",2013-09-30,3.1
"101",2013-08-31,3.5
"102",2013-07-31,2.6
"103",2013-06-30,3
"104",2013-05-31,3.7
"105",2013-04-30,3.2
"106",2013-03-31,3.1
"107",2013-02-28,3.5
"108",2013-01-31,3.3
"109",2012-12-31,2.8
"110",2012-11-30,3.5
"111",2012-10-31,3.6
"112",2012-09-30,3.4
"113",2012-08-31,2.9
"114",2012-07-31,3
"115",2012-06-30,2.8
"116",2012-05-31,2.8
"117",2012-04-30,3.4
"118",2012-03-31,3
"119",2012-02-29,2.8
"120",2012-01-31,2.6
"121",2011-12-31,2.9
"122",2011-11-30,2.6
"123",2011-10-31,3
"124",2011-09-30,3.1
"125",2011-08-31,3.4
"126",2011-07-31,2.8
"127",2011-06-30,3.3
"128",2011-05-31,3.1
"129",2011-04-30,3.3
"130",2011-03-31,3.2
"131",2011-02-28,3
"132",2011-01-31,3
"133",2010-12-31,3.1
"134",2010-11-30,2.8
"135",2010-10-31,3.1
"136",2010-09-30,2.7
"137",2010-08-31,2.8
"138",2010-07-31,3.1
"139",2010-06-30,2.7
"140",2010-05-31,3
"141",2010-04-30,2.9
"142",2010-03-31,3.1
"143",2010-02-28,3.7
"144",2010-01-31,3.3
"145",2009-12-31,3.3
"146",2009-11-30,2.9
"147",2009-10-31,3.2
"148",2009-09-30,3.6
"149",2009-08-31,3.3
"150",2009-07-31,3.7
"151",2009-06-30,3.2
"152",2009-05-31,3.3
"153",2009-04-30,3.5
"154",2009-03-31,3.5
"155",2009-02-28,4.1
"156",2009-01-31,3.8
"157",2008-12-31,3.5
"158",2008-11-30,3.7
"159",2008-10-31,3.3
"160",2008-09-30,3.4
"161",2008-08-31,3.5
"162",2008-07-31,3.8
"163",2008-06-30,4
"164",2008-05-31,3.7
"165",2008-04-30,3.5
"166",2008-03-31,3.2
"167",2008-02-29,3.1
"168",2008-01-31,2.8
"169",2007-12-31,2.9
"170",2007-11-30,3.3
"171",2007-10-31,2.5
"172",2007-09-30,2.9
"173",2007-08-31,2.6
"174",2007-07-31,3.1
"175",2007-06-30,2.9
"176",2007-05-31,3.1
"177",2007-04-30,2.9
"178",2007-03-31,2.7
"179",2007-02-28,2.5
"180",2007-01-31,2.9
"181",2006-12-31,3.1
"182",2006-11-30,2.7
"183",2006-10-31,2.9
"184",2006-09-30,2.5
"185",2006-08-31,3.1
"186",2006-07-31,2.5
"187",2006-06-30,3.2
"188",2006-05-31,3.4
"189",2006-04-30,3.3
"190",2006-03-31,2.9
