,fsm_ks4,missed_days
0,0.16427,5.9
1,0.1230249,6.7
2,0.1907562,4.1
3,0.0929648,6.0
4,0.1123866,4.4
5,0.1128711,8.4
6,0.2539505,9.6
7,0.1634936,7.0
8,0.2907931,6.4
9,0.1820147,11.3
10,0.1010128,3.3
11,0.0797195,6.2
12,0.1882748,9.2
13,0.12597,6.6
14,0.1339893,4.7
15,0.1878395,8.9
16,0.0833035,5.8
17,0.0529382,4.3
18,0.1625293,8.6
19,0.1308544,9.0
20,0.0999349,3.0
21,0.2765,7.5
22,0.0754572,3.2
23,0.0938231,5.3
24,0.1099806,3.4
25,0.1207783,4.0
26,0.1734581,7.8
27,0.1950441,6.2
28,0.0973138,2.9
29,0.1696822,6.6
30,0.1557071,8.3
31,0.1374444,5.0
32,0.0992416,3.7
33,0.1603158,7.8
34,0.1367479,3.4
35,0.1610356,7.1
36,0.1827383,7.1
37,0.1499873,5.7
38,0.1216893,9.3
39,0.1296743,5.5
40,0.1711098,8.5
41,0.0936965,5.6
42,0.1622282,5.7
43,0.086214,4.4
44,0.164721,7.3
45,0.3304431,9.0
46,0.2590947,6.8
47,0.1845001,5.1
48,0.092925,4.5
49,0.2036092,8.4
50,0.1176699,5.5
51,0.2800576,7.0
52,0.1093464,8.1
53,0.0843641,3.6
54,0.0715153,5.0
55,0.1293997,4.6
56,0.1653597,5.0
57,0.1363337,3.7
58,0.3263145,4.2
59,0.2017513,5.4
60,0.1077651,7.2
61,0.2210534,10.9
62,0.0747756,6.3
63,0.2156408,8.2
64,0.3650148,9.9
65,0.2585942,6.4
66,0.1399466,6.1
67,0.1625998,8.3
68,0.1718804,10.2
69,0.0828302,5.6
70,0.1892927,7.9
71,0.1147971,4.9
72,0.2446378,10.5
73,0.1698288,10.2
74,0.2723422,8.5
75,0.1132923,11.3
76,0.1649428,5.1
77,0.2693992,7.3
78,0.1253354,7.8
79,0.2804677,10.0
80,0.1927658,6.6
81,0.1259695,4.3
82,0.1696355,6.2
83,0.1568285,5.5
84,0.0907362,6.3
85,0.1299922,4.1
86,0.0812146,5.1
87,0.0931678,4.5
88,0.1302752,3.6
89,0.2560503,8.8
90,0.1266542,4.7
91,0.1904791,12.6
92,0.0766732,4.2
93,0.1334744,6.3
94,0.152065,5.0
95,0.1944594,6.4
96,0.0929944,5.0
97,0.1432738,6.6
98,0.1791207,7.8
99,0.0970734,4.6
100,0.212761,13.2
101,0.1600263,7.2
102,0.0653519,3.3
103,0.2488448,8.5
104,0.2085954,13.1
105,0.149633,6.1
106,0.2012137,9.2
107,0.0873439,3.7
108,0.0877701,6.3
109,0.1439841,7.7
110,0.120758,2.7
111,0.0951272,7.6
112,0.2015695,5.8
113,0.2038674,6.8
114,0.097301,4.0
115,0.2593278,6.2
116,0.1648244,6.9
117,0.0929478,6.0
118,0.1278974,6.6
119,0.1698569,5.7
120,0.1968832,9.3
121,0.1142095,3.4
122,0.2276443,6.3
123,0.0673252,6.9
124,0.0927512,4.6
125,0.1529086,5.5
126,0.1810091,7.5
127,0.15133,7.7
128,0.1334851,5.2
129,0.1301244,3.2
130,0.3781328,9.2
131,0.0861411,4.5
132,0.1431968,8.2
133,0.2050843,8.5
134,0.1663647,7.7
135,0.1661903,4.5
136,0.1005053,9.0
137,0.0992169,6.8
138,0.0654092,3.3
139,0.0759347,3.6
140,0.2505258,5.9
141,0.1499754,10.4
142,0.07839,4.2
143,0.0621355,3.8
144,0.1677422,4.7
145,0.0592863,6.0
146,0.2140406,8.7
147,0.0974707,4.7
148,0.0762149,2.9
