Default Dataset,,Dataset 1,,
x1,y1,x2,y2,c2
1.263025916,0.153291049,4.75249881,0.719426752,USA
1.38474488,0.153985167,4.451689672,0.672611465,DEU
1.539659925,0.138714573,4.417420276,0.439490446,GBR
1.639248169,0.249079319,3.221799143,0.16433121,CHN
1.689042291,0.123536528,2.734412185,0.158598726,PAK
1.733303732,0.102898089,2.734412185,0.12611465,IND
1.97674166,0.092162399,,,
2.026535782,0.2289499,,,
2.209114228,0.153522421,,,
2.297637111,0.017382764,,,
2.325300512,0.208126363,,,
2.386159994,0.053476895,,,
2.430421436,0.202018125,,,
2.524476999,0.622167689,,,
2.56320576,0.04709101,,,
2.629597922,0.48595862,,,
3.027950896,0.173142821,,,
3.050081617,0.221453426,,,
3.078851554,0.187025178,,,
3.094343058,0.119279272,,,
3.116473779,0.206583878,,,
3.337780986,0.571844141,,,
3.332248306,0.197020476,,,
3.398640468,0.078789061,,,
3.43183655,0.117428291,,,
3.514826752,0.212383619,,,
3.514826752,0.019326294,,,
3.531048565,0.130865596,,,
3.548022833,0.39118839,,,
3.570153554,0.047276108,,,
3.631013036,0.252549908,,,
3.752732,0.178279293,,,
3.780395401,0.147599282,,,
3.783161741,0.060973368,,,
3.868918284,0.703171248,,,
3.885516325,0.357361711,,,
3.895791302,0.223198637,,,
3.946375807,0.338620528,,,
3.929777766,0.237973432,,,
3.946375807,0.065878468,,,
3.990637248,0.62182063,,,
4.009079516,0.225247937,,,
4.012767969,0.547966486,,,
4.02383333,0.346949942,,,
4.02383333,0.268375796,,,
4.057029411,0.304469927,,,
4.04596405,0.236816569,,,
4.052603267,0.175086351,,,
4.084692812,0.203961655,,,
4.151084974,0.539451973,,,
4.206411776,0.116849859,,,
4.217477136,0.927579564,,,
4.234075177,0.489660582,,,
4.267271258,0.091792203,,,
4.32813074,0.840467768,,,
4.33366342,0.055975719,,,
4.400055582,0.73621126,,,
4.438784344,0.771750096,,,
4.466447745,0.942225452,,,
4.455382384,0.419600949,,,
4.491344805,1.110479631,,,
4.499643826,1.001827042,,,
4.510709186,0.891693669,,,
4.510709186,0.091977301,,,
4.516241866,0.527767655,,,
4.516241866,0.202573419,,,
4.527307227,0.288644039,,,
4.571568668,1.168091416,,,
4.577101348,0.800070106,,,
4.720951033,0.292068354,,,
4.754147114,0.097067499,,,
4.765212475,0.024971786,,,
4.776277835,0.548151584,,,
5.185696169,0.158705168,,,
3.522608282,0.150955414,,,
2.715373632,0.168152866,,,
2.288910043,0.156687898,,,
