x1,y1,x2,y2,x3,y3
2019.502304,1.738317757,2019.506912,0.710280374,2019.497696,-0.542056075
2019.663594,1.158878505,2019.677419,0.186915888,2022.069124,-0.056074766
2019.705069,0.261682243,2019.700461,0.056074766,2022.198157,0.672897196
2021.700461,0.429906542,2021.456221,0.205607477,2022.299539,0.672897196
2021.824885,0.91588785,2021.589862,0.485981308,2022.419355,0.560747664
2021.9447,1.682242991,2021.705069,0.691588785,2022.414747,1.289719626
2022.0553,2.429906542,2021.83871,0.971962617,2022.599078,2.074766355
2022.21659,3.23364486,2021.958525,1.252336449,2022.815668,2.61682243
2022.308756,3.23364486,2022.078341,1.700934579,2023.193548,2.953271028
2022.410138,3.757009346,2022.225806,2.224299065,2023.589862,2.934579439
2022.506912,4.280373832,2022.414747,3.028037383,2024.004608,2.859813084
2022.640553,4.654205607,2022.654378,4.336448598,2024.423963,2.822429907
2022.705069,4.710280374,2022.829493,4.897196262,2024.728111,2.822429907
2023.004608,4.691588785,2023.009217,5.102803738,2025.050691,2.803738318
2023.267281,4.728971963,2023.253456,5.177570093,2025.470046,2.822429907
2023.502304,4.672897196,2023.56682,5.08411215,2022.589862,0.91588785
2023.847926,4.317757009,2023.976959,4.878504673,2022.898618,1.23364486
2024.281106,3.962616822,2024.345622,4.728971963,2023.276498,1.308411215
2024.668203,3.738317757,2024.695853,4.61682243,2023.682028,1.327102804
2025.023041,3.626168224,2025.0553,4.485981308,2024.170507,1.345794393
2025.479263,3.53271028,2025.470046,4.373831776,2024.548387,1.420560748
2022.423963,3.158878505,2022.419355,2.448598131,2025.225806,1.476635514
2022.529954,3.345794393,2022.626728,2.803738318,,
2022.645161,3.420560748,2022.907834,2.953271028,,
2022.792627,3.420560748,2023.221198,2.878504673,,
2023.018433,3.364485981,2023.520737,2.76635514,,
2023.211982,3.289719626,2023.857143,2.579439252,,
2023.437788,3.065420561,2024.211982,2.411214953,,
2023.691244,2.878504673,2024.589862,2.299065421,,
2023.976959,2.691588785,2024.834101,2.261682243,,
2024.354839,2.560747664,2025.225806,2.186915888,,
2024.672811,2.46728972,,,,
2024.9447,2.485981308,,,,
2025.230415,2.46728972,,,,
