,X,Y,X1,Y1,X2,Y2,X3,Y3,X4,Y4
0,1989.9596663348973,9811.285600212968,1989.042087302716,6122.171945701377,1989.042087302716,4178.799574128307,1988.9586710270628,2520.89433058292,2001.0540309967296,1719.3904711205796
1,1990.2516232996825,9646.593026350844,1989.3757524053271,6056.294916156527,1989.3757524053271,4178.799574128307,1989.2923361296744,2493.4455682725657,2001.3876960993407,1543.7183923343146
2,1990.501872126641,9492.87995741286,1989.7094175079387,5995.907639073748,1989.7094175079387,4140.371306893812,1989.626001232286,2487.955815810496,2001.7213612019527,1368.0463135480477
3,1990.7521209536,9339.166888474876,1990.0430826105503,5924.540857066828,1990.0430826105503,4134.88155443174,1989.9596663348973,2504.425073196708,2002.0550263045643,1346.0873036997657
4,1991.0440779183848,9163.494809688613,1990.3767477131616,5831.215065211623,1990.3767477131616,4134.88155443174,1990.2933314375089,2548.343092893274,2002.388691407176,1565.6774021825968
5,1991.377743020996,8987.822730902346,1990.7104128157728,5737.889273356421,1990.7104128157728,4134.88155443174,1990.6269965401204,2592.26111258984,2002.7223565097872,1785.26750066543
6,1991.711408123608,8812.150652116077,1991.0440779183848,5666.5224913494985,1991.0440779183848,4151.3508118179525,1990.960661642732,2630.6893798243364,2003.0560216123988,1922.5113122172008
7,1992.0450732262195,8669.417088102236,1991.377743020996,5628.094224115004,1991.377743020996,4189.779079052449,1991.2943267453436,2663.6278945967606,2003.3896867150104,1960.9395794516968
8,1992.3787383288309,8526.683524088396,1991.711408123608,5584.176204418436,1991.711408123608,4228.207346286945,1991.627991847955,2707.545914293327,2003.7233518176215,1999.367846686193
9,1992.7124034314425,8383.949960074555,1992.0450732262195,5578.686451956366,1992.0450732262195,4266.635613521441,1991.9616569505663,2745.974181527823,2004.0570169202333,2021.3268565344752
10,1993.0460685340536,8252.195900984854,1992.3787383288309,5584.176204418436,1992.3787383288309,4250.166356135227,1992.2953220531776,2734.994676603681,2004.3906820228449,2048.7756188448293
11,1993.3797336366647,8120.441841895155,1992.7124034314425,5628.094224115004,1992.7124034314425,4222.717593824873,1992.6289871557892,2707.545914293327,2004.724347125456,2059.7551237689718
12,1993.7133987392767,7988.687782805456,1993.0460685340536,5606.13521426672,1993.0460685340536,4217.227841362803,1992.9626522584008,2713.035666755399,2005.058012228068,2092.693638541396
13,1994.0470638418883,7856.933723715756,1993.3797336366647,5556.727442108082,1993.3797336366647,4173.3098216662365,1993.2963173610124,2751.463933989895,2005.3916773306792,2136.611658237962
14,1994.3807289445,7736.159169550197,1993.7133987392767,5507.319669949446,1993.7133987392767,4134.88155443174,1993.629982463624,2773.422943838177,2005.7253424332907,2175.039925472458
15,1994.7143940471112,7609.894862922569,1994.0470638418883,5424.973383018383,1994.0470638418883,4085.473782273104,1993.9636475662355,2795.381953686461,2006.0590075359023,2180.52967793453
