,x,top,a,bottom,z
0,-5,0.0492188790391002,0.0204998086694783,-0.0074434754240304,0
1,-1,0.0489349096642944,0.0204737507860966,-0.0074683022263075,0
2,0,0.0396133687200757,0.009083172865331,-0.0209301741056451,0
3,4,0.0395852590348529,0.0095747845864542,-0.0209556164484746,0
4,5,0.0400733826928463,0.019141310670498,-0.0023334629388162,0
5,9,0.0400733826928463,0.0188563153947718,-0.0021005834298534,0
6,10,0.0211783395383241,-0.004694471317349,-0.0305676925333904,0
7,14,0.0214122449482074,-0.0052373780844993,-0.0303344026640594,0
8,15,0.0325301384042932,0.0087273904260874,-0.0148174460606943,0
9,19,0.0325049012416479,0.0087011273625216,-0.0145839510111792,0
10,20,0.0169746079263157,-0.0055350945316402,-0.0283035292017567,0
11,24,0.0169485500429339,-0.0060784116591587,-0.0280706496927939,0
12,25,0.0676537030406677,0.0391931597030222,0.0117673400338342,0
13,29,0.0678869929099987,0.0391673069998246,0.0117418976910048,0
14,30,-0.0506193363857305,-0.0891706411778163,-0.1277215356095339,0
15,34,-0.0503860465163994,-0.0891706411778163,-0.1277215356095339,0
