,x,a,bin,bottom,top,z
0,< 6,-1.2348469854696296,0.29879922197523134,-2.359851468511776,-0.12332151581285067,0
1,6-9,-1.059189439413843,0.3933887742140363,-1.9079787523726908,-0.23060370305922673,0
2,9-12,-0.23682616555774905,0.5886710066687839,-0.9576156591665912,0.5042027689924924,0
3,12-15,-0.5865931137816012,0.763803985392189,-1.3006460893925231,0.08038791929727274,0
4,15-18,-0.8083901296030871,0.9188293902826294,-1.5123353395223653,-0.09765161648537346,0
5,18-21,-1.0167021546496775,1.0402310257224525,-1.7240245896522075,-0.27569115226801966,0
6,21-24,-0.012434962681163508,1.087769926960941,-0.6793442670857028,0.6342767425086719,0
7,24-27,-0.49693824825294053,1.0345446967291205,-1.1301828948364636,0.15650399754528688,0
8,27-30,-0.5772624087285818,0.9208776595744683,-1.264393221905936,0.12332350827602934,0
9,30-33,0.022807725975212634,0.8072344395046058,0.022807725975212634,0.022807725975212634,0
10,33-36,-0.8591560988633646,0.7539913464591934,-1.5934365606366305,-0.13162410986707496,0
11,36-39,-1.0607435606910913,0.6403362178469361,-1.6804314878253845,-0.4409839048824633,0
12,39-42,-0.8379184338708097,0.41922435693871085,-1.7069232782129453,0.024373802031517178,0
13,42 <,-1.6862056461093156,0.31227373769450617,-3.0267846824744264,-0.2783152262707582,0
