areaType,areaName,areaCode,date,cumVaccinationFirstDoseUptakeByPublishDatePercentage,cumVaccinationSecondDoseUptakeByPublishDatePercentage,cumVaccinationThirdInjectionUptakeByPublishDatePercentage
nation,England,E92000001,2022-02-05,91.1,84.2,64.8
nation,England,E92000001,2022-02-04,91.1,84.2,64.8
nation,England,E92000001,2022-02-03,91.1,84.1,64.7
nation,England,E92000001,2022-02-02,91.0,84.1,64.6
nation,England,E92000001,2022-02-01,91.0,84.0,64.6
nation,England,E92000001,2022-01-31,91.0,84.0,64.5
nation,England,E92000001,2022-01-30,91.0,83.9,64.5
nation,England,E92000001,2022-01-29,91.0,83.9,64.4
nation,England,E92000001,2022-01-28,90.9,83.8,64.3
nation,England,E92000001,2022-01-27,90.9,83.8,64.2
nation,England,E92000001,2022-01-26,90.9,83.7,64.1
nation,England,E92000001,2022-01-25,90.8,83.7,64.0
nation,England,E92000001,2022-01-24,90.8,83.6,63.9
nation,England,E92000001,2022-01-23,90.8,83.6,63.9
nation,England,E92000001,2022-01-22,90.8,83.5,63.8
nation,England,E92000001,2022-01-21,90.7,83.4,63.7
nation,England,E92000001,2022-01-20,90.7,83.4,63.5
nation,England,E92000001,2022-01-19,90.6,83.3,63.4
nation,England,E92000001,2022-01-18,90.6,83.3,63.3
nation,England,E92000001,2022-01-17,90.6,83.2,63.2
nation,England,E92000001,2022-01-16,90.6,83.2,63.1
nation,England,E92000001,2022-01-15,90.5,83.1,63.0
nation,England,E92000001,2022-01-14,90.5,83.0,62.8
nation,England,E92000001,2022-01-13,90.4,83.0,62.6
nation,England,E92000001,2022-01-12,90.4,82.9,62.5
nation,England,E92000001,2022-01-11,90.4,82.9,62.3
nation,England,E92000001,2022-01-10,90.3,82.8,62.0
nation,England,E92000001,2022-01-09,90.3,82.8,61.8
nation,England,E92000001,2022-01-08,90.3,82.7,61.6
nation,England,E92000001,2022-01-07,90.2,82.6,61.1
nation,England,E92000001,2022-01-06,90.1,82.6,60.8
nation,England,E92000001,2022-01-05,90.1,82.5,60.4
nation,England,E92000001,2022-01-04,90.1,82.5,60.0
nation,England,E92000001,2022-01-03,90.0,82.4,59.6
nation,England,E92000001,2022-01-02,90.0,82.3,59.3
nation,England,E92000001,2022-01-01,90.0,82.3,59.1
nation,England,E92000001,2021-12-31,90.0,82.3,59.1
nation,England,E92000001,2021-12-30,89.9,82.3,58.8
nation,England,E92000001,2021-12-29,89.9,82.2,58.1
nation,England,E92000001,2021-12-28,89.8,82.1,57.4
nation,England,E92000001,2021-12-27,89.8,82.1,56.9
nation,England,E92000001,2021-12-26,89.7,82.0,56.5
nation,England,E92000001,2021-12-25,89.7,82.0,56.4
nation,England,E92000001,2021-12-24,89.7,82.0,56.4
nation,England,E92000001,2021-12-23,89.7,82.0,56.1
nation,England,E92000001,2021-12-22,89.6,81.9,55.1
nation,England,E92000001,2021-12-21,89.6,81.8,53.6
nation,England,E92000001,2021-12-20,89.5,81.7,51.9
nation,England,E92000001,2021-12-19,89.4,81.6,50.4
nation,England,E92000001,2021-12-18,89.3,81.5,48.9
nation,England,E92000001,2021-12-17,89.3,81.4,47.2
nation,England,E92000001,2021-12-16,89.2,81.4,45.6
nation,England,E92000001,2021-12-15,89.1,81.3,44.1
nation,England,E92000001,2021-12-14,89.1,81.2,42.8
nation,England,E92000001,2021-12-13,89.0,81.2,41.7
nation,England,E92000001,2021-12-12,89.0,81.1,40.8
nation,England,E92000001,2021-12-11,89.0,81.0,40.1
nation,England,E92000001,2021-12-10,88.9,81.0,39.1
nation,England,E92000001,2021-12-09,88.9,80.9,38.4
nation,England,E92000001,2021-12-08,88.8,80.9,37.6
nation,England,E92000001,2021-12-07,88.8,80.8,36.9
nation,England,E92000001,2021-12-06,88.7,80.8,36.2
nation,England,E92000001,2021-12-05,88.7,80.7,35.6
nation,England,E92000001,2021-12-04,88.7,80.7,35.2
nation,England,E92000001,2021-12-03,88.6,80.6,34.3
nation,England,E92000001,2021-12-02,88.6,80.5,33.6
nation,England,E92000001,2021-12-01,88.5,80.5,32.9
nation,England,E92000001,2021-11-30,88.5,80.4,32.2
nation,England,E92000001,2021-11-29,88.4,80.4,31.5
nation,England,E92000001,2021-11-28,88.4,80.3,31.0
nation,England,E92000001,2021-11-27,88.4,80.3,30.5
nation,England,E92000001,2021-11-26,88.3,80.2,29.7
nation,England,E92000001,2021-11-25,88.3,80.2,29.0
nation,England,E92000001,2021-11-24,88.2,80.1,28.3
nation,England,E92000001,2021-11-23,88.2,80.1,27.7
nation,England,E92000001,2021-11-22,88.1,80.1,27.0
nation,England,E92000001,2021-11-21,88.1,80.0,26.5
nation,England,E92000001,2021-11-20,88.1,80.0,26.1
nation,England,E92000001,2021-11-19,88.0,80.0,25.3
nation,England,E92000001,2021-11-18,88.0,79.9,24.6
nation,England,E92000001,2021-11-17,87.9,79.9,24.0
nation,England,E92000001,2021-11-16,87.9,79.8,23.3
nation,England,E92000001,2021-11-15,87.8,79.8,22.8
nation,England,E92000001,2021-11-14,87.7,79.8,22.3
nation,England,E92000001,2021-11-13,87.7,79.7,21.9
nation,England,E92000001,2021-11-12,87.6,79.7,21.1
nation,England,E92000001,2021-11-11,87.6,79.7,20.4
nation,England,E92000001,2021-11-10,87.5,79.6,19.8
nation,England,E92000001,2021-11-09,87.3,79.5,18.8
nation,England,E92000001,2021-11-08,87.2,79.5,18.3
nation,England,E92000001,2021-11-07,87.1,79.5,17.8
nation,England,E92000001,2021-11-06,87.1,79.4,17.5
nation,England,E92000001,2021-11-05,87.0,79.4,16.7
nation,England,E92000001,2021-11-04,86.9,79.3,16.1
nation,England,E92000001,2021-11-03,86.9,79.3,15.6
nation,England,E92000001,2021-11-02,86.8,79.3,15.0
nation,England,E92000001,2021-11-01,86.7,79.2,14.5
nation,England,E92000001,2021-10-31,86.6,79.2,14.1
nation,England,E92000001,2021-10-30,86.6,79.2,13.8
nation,England,E92000001,2021-10-29,86.5,79.1,13.2
nation,England,E92000001,2021-10-28,86.4,79.1,12.7
nation,England,E92000001,2021-10-27,86.3,79.1,12.2
nation,England,E92000001,2021-10-26,86.2,79.0,11.7
nation,England,E92000001,2021-10-25,86.2,79.0,11.2
nation,England,E92000001,2021-10-24,86.1,78.9,10.8
nation,England,E92000001,2021-10-23,86.1,78.9,10.5
nation,England,E92000001,2021-10-22,86.0,78.9,9.9
nation,England,E92000001,2021-10-21,85.9,78.8,9.4
nation,England,E92000001,2021-10-20,85.8,78.8,8.8
nation,England,E92000001,2021-10-19,85.7,78.7,8.4
nation,England,E92000001,2021-10-18,85.7,78.7,8.0
nation,England,E92000001,2021-10-17,85.6,78.6,7.6
nation,England,E92000001,2021-10-16,85.6,78.6,7.4
nation,England,E92000001,2021-10-15,85.5,78.5,6.8
nation,England,E92000001,2021-10-14,85.4,78.5,6.4
nation,England,E92000001,2021-10-13,85.4,78.4,6.0
nation,England,E92000001,2021-10-12,85.3,78.4,5.6
nation,England,E92000001,2021-10-11,85.2,78.3,5.3
nation,England,E92000001,2021-10-10,85.2,78.3,5.0
nation,England,E92000001,2021-10-09,85.2,78.3,4.8
nation,England,E92000001,2021-10-08,85.1,78.2,4.3
nation,England,E92000001,2021-10-07,85.1,78.1,4.0
nation,England,E92000001,2021-10-06,85.0,78.1,3.6
nation,England,E92000001,2021-10-05,85.0,78.0,3.3
nation,England,E92000001,2021-10-04,84.9,78.0,2.9
nation,England,E92000001,2021-10-03,84.8,77.9,2.7
nation,England,E92000001,2021-10-02,84.8,77.9,2.5
nation,England,E92000001,2021-10-01,84.8,77.8,2.1
nation,England,E92000001,2021-09-30,84.7,77.8,1.8
nation,England,E92000001,2021-09-29,84.7,77.7,
nation,England,E92000001,2021-09-28,84.6,77.7,
nation,England,E92000001,2021-09-27,84.5,77.6,
nation,England,E92000001,2021-09-26,84.5,77.5,
nation,England,E92000001,2021-09-25,84.5,77.5,
nation,England,E92000001,2021-09-24,84.4,77.4,
nation,England,E92000001,2021-09-23,84.4,77.3,
nation,England,E92000001,2021-09-22,84.3,77.2,
nation,England,E92000001,2021-09-21,84.3,77.2,
nation,England,E92000001,2021-09-20,84.3,77.1,
nation,England,E92000001,2021-09-19,84.2,77.0,
nation,England,E92000001,2021-09-18,84.2,76.9,
nation,England,E92000001,2021-09-17,84.2,76.8,
nation,England,E92000001,2021-09-16,84.1,76.7,
nation,England,E92000001,2021-09-15,84.1,76.6,
nation,England,E92000001,2021-09-14,84.1,76.4,
nation,England,E92000001,2021-09-13,84.0,76.3,
nation,England,E92000001,2021-09-12,84.0,76.2,
nation,England,E92000001,2021-09-11,84.0,76.1,
nation,England,E92000001,2021-09-10,83.9,75.9,
nation,England,E92000001,2021-09-09,83.9,75.8,
nation,England,E92000001,2021-09-08,83.8,75.6,
