Year,Type,Price
1957-01-01T00:00:00,Memory,3786967000000000.0
1959-01-01T00:00:00,Memory,603280640000000.0
1960-01-01T00:00:00,Memory,45880510000000.0
1965-01-01T00:00:00,Memory,21704915000000.0
1970-01-01T00:00:00,Memory,4892935600000.0
1973-01-01T00:00:00,Memory,2327901600000.0
1974-01-01T00:00:00,Memory,1651140100000.0
1975-01-01T00:00:00,Memory,240071620000.0
1976-01-01T00:00:00,Memory,104782720000.0
1977-01-01T00:00:00,Memory,98385980000.0
1978-01-01T00:00:00,Memory,60305523000.0
1979-01-01T00:00:00,Memory,23907269000.0
1980-01-01T00:00:00,Memory,20351056000.0
1981-01-01T00:00:00,Memory,12749707000.0
1982-01-01T00:00:00,Memory,5310322700.0
1983-01-01T00:00:00,Memory,5145041400.0
1984-01-01T00:00:00,Memory,3315175000.0
1985-01-01T00:00:00,Memory,720613060.0
1986-01-01T00:00:00,Memory,447454300.0
1987-01-01T00:00:00,Memory,302942900.0
1988-01-01T00:00:00,Memory,291073660.0
1989-01-01T00:00:00,Memory,236176510.0
1990-01-01T00:00:00,Memory,90127496.0
1991-01-01T00:00:00,Memory,75538730.0
1992-01-01T00:00:00,Memory,48417580.0
1993-01-01T00:00:00,Memory,47029436.0
1994-01-01T00:00:00,Memory,45834332.0
1995-01-01T00:00:00,Memory,44583576.0
1996-01-01T00:00:00,Memory,8662792.0
1997-01-01T00:00:00,Memory,3476658.2
1998-01-01T00:00:00,Memory,1339636.6
1999-01-01T00:00:00,Memory,1213723.6
2000-01-01T00:00:00,Memory,1045032.9
2001-01-01T00:00:00,Memory,215708.97
2002-01-01T00:00:00,Memory,192163.72
2003-01-01T00:00:00,Memory,107166.31
2004-01-01T00:00:00,Memory,104372.016
2005-01-01T00:00:00,Memory,100947.14
2006-01-01T00:00:00,Memory,93398.016
2007-01-01T00:00:00,Memory,30443.912
2008-01-01T00:00:00,Memory,11736.141
2009-01-01T00:00:00,Memory,11778.016
2010-01-01T00:00:00,Memory,11587.969
2011-01-01T00:00:00,Memory,5897.578
2012-01-01T00:00:00,Memory,4126.761
2013-01-01T00:00:00,Memory,4067.1836
2014-01-01T00:00:00,Memory,4002.2583
2015-01-01T00:00:00,Memory,3997.5159
2016-01-01T00:00:00,Memory,2961.1106
2017-01-01T00:00:00,Memory,2899.351
2018-01-01T00:00:00,Memory,2830.2207
2019-01-01T00:00:00,Memory,2779.844
2020-01-01T00:00:00,Memory,2745.97
2021-01-01T00:00:00,Memory,2477.3096
2022-01-01T00:00:00,Memory,1861.9323
2023-01-01T00:00:00,Memory,1088.4369
1956-01-01T00:00:00,Memory,
1964-01-01T00:00:00,Memory,
1966-01-01T00:00:00,Memory,
1957-01-01T00:00:00,Flash,
1959-01-01T00:00:00,Flash,
1960-01-01T00:00:00,Flash,
1965-01-01T00:00:00,Flash,
1970-01-01T00:00:00,Flash,
1973-01-01T00:00:00,Flash,
1974-01-01T00:00:00,Flash,
1975-01-01T00:00:00,Flash,
1976-01-01T00:00:00,Flash,
1977-01-01T00:00:00,Flash,
1978-01-01T00:00:00,Flash,
1979-01-01T00:00:00,Flash,
1980-01-01T00:00:00,Flash,
1981-01-01T00:00:00,Flash,
1982-01-01T00:00:00,Flash,
1983-01-01T00:00:00,Flash,
1984-01-01T00:00:00,Flash,
1985-01-01T00:00:00,Flash,
1986-01-01T00:00:00,Flash,
1987-01-01T00:00:00,Flash,
1988-01-01T00:00:00,Flash,
1989-01-01T00:00:00,Flash,
1990-01-01T00:00:00,Flash,
1991-01-01T00:00:00,Flash,
1992-01-01T00:00:00,Flash,
1993-01-01T00:00:00,Flash,
1994-01-01T00:00:00,Flash,
1995-01-01T00:00:00,Flash,
1996-01-01T00:00:00,Flash,
1997-01-01T00:00:00,Flash,
1998-01-01T00:00:00,Flash,
1999-01-01T00:00:00,Flash,
2000-01-01T00:00:00,Flash,
2001-01-01T00:00:00,Flash,
2002-01-01T00:00:00,Flash,
2003-01-01T00:00:00,Flash,269289.7
2004-01-01T00:00:00,Flash,262268.12
2005-01-01T00:00:00,Flash,100921.24
2006-01-01T00:00:00,Flash,18793.69
2007-01-01T00:00:00,Flash,9139.2705
2008-01-01T00:00:00,Flash,2200.7112
2009-01-01T00:00:00,Flash,1950.4845
2010-01-01T00:00:00,Flash,1412.2747
2011-01-01T00:00:00,Flash,1158.3726
2012-01-01T00:00:00,Flash,653.2789
