,Industry,Category,Value
0,Other Production,Sales,-8.2658925
1,Other Production,Employment,-2.6254132500000003
2,Info & Comms,Sales,-10.744785
3,Info & Comms,Employment,-1.41899
4,Real Estate,Sales,-12.6393825
5,Real Estate,Employment,-2.7199625
6,Finance & Insurance,Sales,-13.8517675
7,Finance & Insurance,Employment,-3.1604249999999996
8,Wholesale & Retail,Sales,-15.00591
9,Wholesale & Retail,Employment,-6.5075
10,Prof & Scientific,Sales,-15.737275
11,Prof & Scientific,Employment,-5.3114625
12,Manufacturing,Sales,-17.2771075
13,Manufacturing,Employment,-5.4293675
14,Health,Sales,-17.588475
15,Health,Employment,-6.437530000000001
16,Construction,Sales,-20.184975
17,Construction,Employment,-7.1186225
18,Other Services,Sales,-21.83755
19,Other Services,Employment,-5.562955
20,Transport & Storage,Sales,-22.7218875
21,Transport & Storage,Employment,-4.495724999999999
22,Admin & Support,Sales,-24.1036
23,Admin & Support,Employment,-12.059672500000001
24,Accom & Food,Sales,-52.18425
25,Accom & Food,Employment,-17.858925
26,Recreational Services,Sales,-57.80545
27,Recreational Services,Employment,-15.360242499999998
