,lnprod_last,covid_emp21q2
0,2.5758683,-8.3972603
1,2.8494224,-8.0409556
2,3.1029545,-4.755137
3,3.2741047,-5.6937716
4,3.3930589,-4.9465753
5,3.4893954,-7.1907216
6,3.5658402,-5.5017065
7,3.6333476,-4.824055
8,3.7052281,-5.4982935
9,3.7758966,-3.2206897
10,3.8554858,-4.5775862
11,3.940659,-4.4335884
12,4.0154559,-5.4827586
13,4.1152142,-3.114726
14,4.230904,-3.6431034
15,4.3473811,-3.5085324
16,4.5024523,-2.790378
17,4.7255539,-4.4216495
18,5.2647044,-3.6512027
