X,Y,X,Y,X,Y
2.118390773479165,0.006107723,0.9780707691474655,-0.000344846,1.2061347700138052,0.012723982672377676
2.6030267753201377,0.018646538435761778,1.6052467715299006,-0.000107231,1.8333107723962403,0.008969664
3.1446787773776954,0.029261992,2.2324227739123357,-0.000107231,2.4604867747786754,0.007116267
3.7718547797601305,0.031923281,2.859598776,-0.000107231,3.0876627771611105,0.00668856
4.399030782142565,0.034869707733456906,3.486774778677206,-0.000107231,3.7148387795435456,0.00668856
5.026206784525001,0.03900421,4.113950781,0.000415522,4.342014782,0.008161773
5.653382786907435,0.047558353,4.741126783442076,0.000605614,4.969190784308416,0.009112234
6.280558789289871,0.052643315,5.368302786,0.000748183,5.596366787,0.006593514
6.907734791672305,0.05397396,5.9954787882069445,0.000843229,6.223542789073286,0.005262869
7.534910794054739,0.056207541536943156,6.6226547905893804,0.000985798,6.850718791,0.005975715
8.162086796437176,0.059676721643077885,7.249830792971815,0.001722405,7.477894793838154,0.007068744
8.789262799,0.064476546,7.877006795354251,0.001826955,8.105070796220591,0.007591497
9.416438801202045,0.066472513,8.504182797736686,0.002411488,8.732246798603025,0.006926175
10.043614803584479,0.067280404,9.1313588,0.002506534,9.473454801,0.007211313
10.670790805966917,0.06832591,9.758534802501554,0.00369461,10.100630803801064,0.008209296
11.297966808349347,0.069751601,10.385710804883988,0.003718371,10.642282805858624,0.008779572
11.925142810731785,0.071462429,11.012886807266426,0.004616556,14.969797222297423,0.019391461698277684
12.55231881311422,0.07493161,11.64006280964886,0.004858924,15.574166824593224,0.021943448
13.179494815496653,0.078115652,12.267238812031295,0.00615155,16.201342826975658,0.022418677763493877
13.806670817879088,0.079874003,12.894414814413729,0.009634987,16.828518829358092,0.020945464293765426
14.433846820261525,0.082392723,13.521590816796163,0.012058660460242232,17.45569483174053,0.024557213445357773
15.06102282264396,0.085766857,14.148766819178597,0.015955548,18.082870834122964,0.028549146718170326
15.688198825026394,0.091564665,14.775942821561035,0.021325648414985687,18.71004684,0.028644192748475406
16.315374827408828,0.096412012,15.403118823943469,0.027931347521187422,19.337222838887833,0.03159062
16.942550829791262,0.10030889959849151,16.030294826325903,0.034156863,19.964398841270267,0.036913197
17.56972683,0.10420578684099904,16.657470828708338,0.036770628,20.591574843652705,0.041950636991183954
18.196902834556134,0.10843533518957427,17.284646831090775,0.039938829,21.21875084603514,0.045609909
18.82407883693857,0.11275992956845457,17.91182283347321,0.043708989,21.845926848417573,0.047225691673114856
19.451254839321003,0.11765480012916518,18.538998835855644,0.046227708,22.473102850800007,0.048318721021623046
20.07843084170344,0.12235957862926572,19.166174838238078,0.048556336097385716,23.100278853182445,0.049554319415588854
20.705606844085874,0.12687426506875615,19.793350840620512,0.051312671,23.72745485556488,0.053213591582333714
21.33278284646831,0.13096124437187376,20.42052684300295,0.053688822,24.354630857947313,0.057110478824841215
21.959958848850743,0.13500070065983888,21.047702845385384,0.055684788370265303,24.924790860113163,0.060415969
22.587134851233177,0.1388025418720413,21.67487884776782,0.05744314,25.665998862928767,0.073125735
23.214310853615615,0.14288952117515893,22.302054850150252,0.058916353,26.293174865311205,0.077878036
23.84148685599805,0.1473091615843443,22.929230852532687,0.060056906,26.92035086769364,0.078685928
24.468662858380483,0.15253669325112265,23.556406854915124,0.061577642,27.547526870076073,0.080111618
25.095838860762917,0.1579067939633586,24.18358285729756,0.063193425,27.946638871592167,0.080919509
25.72301486314535,0.16313432563013697,24.810758859679993,0.06485673,13.855646100116413,0.014409221902017377
26.35019086552779,0.16731635096355968,25.437934862062427,0.066092329,13.038416763678693,0.008645533
26.977366867910224,0.1706429620242368,26.065110864444865,0.067232881,12.032596041909194,0.006340058
27.604542870292658,0.1718785604182026,26.69228687,0.068230864,11.121071012805587,0.008069164
27.975146871700463,0.1718785604182026,27.319462869209733,0.068373433,,
1.9115250291036068,0.001152738,27.832606871158998,0.068373433,,
0.9685681024447019,-0.000576369,,,,
5.934807916181605,0.05129683,,,,
