,weekx,week3,pt,m_pt,min_pt,max_pt,excess1_pt
0,2020-01-01,2020w1,25.108123779296875,25.460634231567383,24.000972747802734,27.75322723388672,-0.3525104522705078
1,2020-01-08,2,20.851652145385742,24.326313018798828,22.399776458740234,26.23370361328125,-3.474660873413086
2,2020-01-15,3,23.752965927124023,24.029447555541992,21.883493423461914,25.679523468017578,-0.27648162841796875
3,2020-01-22,4,22.59444236755371,24.690160751342773,22.915149688720703,26.065715789794922,-2.0957183837890625
4,2020-01-29,2020w5,24.156625747680664,25.254011154174805,23.882354736328125,26.800617218017578,-1.0973854064941406
5,2020-02-05,6,23.737092971801758,24.304269790649414,23.397605895996094,27.407503128051758,-0.5671768188476562
6,2020-02-12,7,25.58071517944336,24.635852813720703,23.966737747192383,26.750255584716797,0.9448623657226562
7,2020-02-19,8,24.066062927246094,25.405141830444336,23.32850456237793,25.881389617919922,-1.3390789031982422
8,2020-02-26,9,24.19854164123535,24.96533966064453,23.745573043823242,25.75259780883789,-0.7667980194091797
9,2020-03-04,10,25.913131713867188,24.281105041503906,23.911134719848633,25.068538665771484,1.6320266723632812
10,2020-03-11,11,25.323251724243164,24.776933670043945,23.58702850341797,26.322832107543945,0.5463180541992188
11,2020-03-18,2020w12,23.641136169433594,25.2139835357666,23.380430221557617,27.602750778198242,-1.5728473663330078
12,2020-03-25,13,24.957109451293945,25.26070213317871,23.946969985961914,27.175796508789062,-0.3035926818847656
13,2020-04-01,14,23.627870559692383,25.109920501708984,23.410797119140625,27.886966705322266,-1.4820499420166016
14,2020-04-08,15,22.460681915283203,24.564945220947266,24.117250442504883,25.129470825195312,-2.1042633056640625
15,2020-04-15,16,22.300382614135742,24.726381301879883,23.423585891723633,26.042438507080078,-2.4259986877441406
16,2020-04-22,17,22.10873794555664,25.161916732788086,24.19464111328125,25.576007843017578,-3.0531787872314453
17,2020-04-29,18,24.041032791137695,25.1458740234375,23.927875518798828,26.925506591796875,-1.1048412322998047
18,2020-05-06,19,22.021135330200195,26.211139678955078,23.666065216064453,27.0014705657959,-4.190004348754883
19,2020-05-13,20,24.418628692626953,26.63077735900879,22.790191650390625,27.93675422668457,-2.212148666381836
20,2020-05-20,21,23.614028930664062,24.722728729248047,24.38587760925293,25.60266876220703,-1.1086997985839844
21,2020-05-27,2020w22,23.37686538696289,24.19824981689453,23.660888671875,25.504243850708008,-0.8213844299316406
22,2020-06-03,23,24.767562866210938,24.632890701293945,23.582820892333984,25.538284301757812,0.1346721649169922
23,2020-06-10,24,23.930635452270508,24.663572311401367,23.137432098388672,25.524160385131836,-0.7329368591308594
24,2020-06-17,25,23.392728805541992,24.40562629699707,22.89714241027832,25.471946716308594,-1.0128974914550781
25,2020-06-24,26,24.752567291259766,25.171194076538086,24.298309326171875,25.621562957763672,-0.4186267852783203
26,2020-07-01,27,23.149057388305664,24.81249237060547,24.254140853881836,27.046287536621094,-1.6634349822998047
27,2020-07-08,28,23.660179138183594,25.366031646728516,23.732162475585938,26.364612579345703,-1.7058525085449219
28,2020-07-15,29,20.740198135375977,24.657014846801758,23.908931732177734,25.41705322265625,-3.9168167114257812
29,2020-07-22,30,22.112548828125,24.731462478637695,23.730560302734375,25.066617965698242,-2.6189136505126953
30,2020-07-29,31,22.37696075439453,24.661998748779297,22.962337493896484,26.21942710876465,-2.2850379943847656
31,2020-08-05,2020w32,22.92823028564453,23.70662498474121,21.06389808654785,24.8524227142334,-0.7783946990966797
32,2020-08-12,33,21.49588394165039,23.472232818603516,22.634845733642578,25.53793716430664,-1.976348876953125
33,2020-08-19,34,22.341472625732422,24.346681594848633,22.719669342041016,25.592309951782227,-2.005208969116211
34,2020-08-26,35,24.392648696899414,25.2133846282959,24.489246368408203,26.555923461914062,-0.8207359313964844
35,2020-09-02,36,22.894569396972656,23.591718673706055,22.2939510345459,24.927797317504883,-0.6971492767333984
36,2020-09-09,37,22.800823211669922,24.904796600341797,24.41240692138672,26.96971321105957,-2.103973388671875
37,2020-09-16,38,22.688207626342773,23.443592071533203,22.64962387084961,26.283740997314453,-0.7553844451904297
38,2020-09-23,39,22.77140235900879,24.659141540527344,23.303607940673828,25.080562591552734,-1.8877391815185547
39,2020-10-07,41,21.781352996826172,24.379535675048828,22.89508056640625,25.807527542114258,-2.5981826782226562
40,2020-10-14,2020w42,23.417142868041992,24.177501678466797,23.050146102905273,24.579975128173828,-0.7603588104248047
41,2020-10-21,43,21.203765869140625,23.949060440063477,23.03898811340332,26.046245574951172,-2.7452945709228516
42,2020-10-28,44,21.617042541503906,23.91921615600586,23.762802124023438,24.839921951293945,-2.302173614501953
43,2020-11-04,45,23.683271408081055,25.317642211914062,23.295705795288086,26.336240768432617,-1.6343708038330078
44,2020-11-11,46,21.53036117553711,24.972043991088867,23.617591857910156,27.067419052124023,-3.441682815551758
45,2020-11-18,47,20.386154174804688,24.68635368347168,24.397001266479492,27.91080093383789,-4.300199508666992
46,2020-11-25,48,21.211872100830078,25.776016235351562,24.701326370239258,26.340787887573242,-4.564144134521484
47,2020-12-02,49,23.29767417907715,24.612552642822266,22.531097412109375,25.51498031616211,-1.3148784637451172
48,2020-12-09,50,22.029552459716797,24.662307739257812,23.653549194335938,26.827293395996094,-2.6327552795410156
49,2020-12-16,51,22.608686447143555,25.09859848022461,24.2269229888916,27.9685115814209,-2.4899120330810547
50,2020-12-23,2020w52,22.770221710205078,25.07255744934082,23.595550537109375,25.218204498291016,-2.302335739135742
51,2021-01-01,2021w1,24.375686645507812,25.460634231567383,24.000972747802734,27.75322723388672,-1.0849475860595703
