,weekx,week3,self,m_self,min_self,max_self,excess1_self
0,2020-01-01,2020w1,14.314441680908203,14.015714645385742,12.673274040222168,15.105360984802246,0.29872703552246094
1,2020-01-08,2,14.83651351928711,13.864258766174316,13.246381759643555,15.055368423461914,0.972254753112793
2,2020-01-15,3,13.04965591430664,13.849125862121582,13.753238677978516,15.001991271972656,-0.7994699478149414
3,2020-01-22,4,12.822021484375,14.256861686706543,12.97181510925293,15.47812271118164,-1.434840202331543
4,2020-01-29,2020w5,13.744461059570312,13.68354606628418,12.412740707397461,14.666722297668457,0.06091499328613281
5,2020-02-05,6,14.895706176757812,13.160353660583496,12.902207374572754,14.684430122375488,1.7353525161743164
6,2020-02-12,7,14.41331958770752,12.7259521484375,11.221160888671875,14.464624404907227,1.6873674392700195
7,2020-02-19,8,13.735602378845215,14.07270622253418,13.405651092529297,14.153732299804688,-0.33710384368896484
8,2020-02-26,9,13.792369842529297,14.58932113647461,12.710174560546875,15.236759185791016,-0.7969512939453125
9,2020-03-04,10,14.246134757995605,13.834444046020508,12.75152587890625,14.935400009155273,0.41169071197509766
10,2020-03-11,11,14.522931098937988,13.962069511413574,12.433066368103027,16.658985137939453,0.5608615875244141
11,2020-03-18,2020w12,13.615320205688477,14.447267532348633,13.743120193481445,15.143725395202637,-0.8319473266601562
12,2020-03-25,13,15.571524620056152,14.42569637298584,13.476988792419434,15.515504837036133,1.1458282470703125
13,2020-04-01,14,13.024105072021484,14.21922492980957,13.242879867553711,15.576009750366211,-1.195119857788086
14,2020-04-08,15,13.863973617553711,14.055122375488281,11.534307479858398,15.290138244628906,-0.1911487579345703
15,2020-04-15,16,12.792764663696289,13.238265037536621,12.266986846923828,14.464937210083008,-0.44550037384033203
16,2020-04-22,17,12.612249374389648,14.263593673706055,13.90697956085205,15.243612289428711,-1.6513442993164062
17,2020-04-29,18,13.4090576171875,14.181625366210938,14.036734580993652,14.410760879516602,-0.7725677490234375
18,2020-05-06,19,14.853612899780273,14.268263816833496,12.910994529724121,14.858635902404785,0.5853490829467773
19,2020-05-13,20,13.93865966796875,14.130730628967285,13.701494216918945,16.550018310546875,-0.19207096099853516
20,2020-05-20,21,13.892727851867676,14.899927139282227,13.592161178588867,15.697160720825195,-1.0071992874145508
21,2020-05-27,2020w22,13.87597942352295,14.777178764343262,13.231369972229004,15.270452499389648,-0.9011993408203125
22,2020-06-03,23,14.417878150939941,14.55721664428711,13.818812370300293,15.447113037109375,-0.13933849334716797
23,2020-06-10,24,12.027917861938477,14.796568870544434,14.140097618103027,15.431681632995605,-2.768651008605957
24,2020-06-17,25,12.830288887023926,14.592580795288086,12.949250221252441,14.84683895111084,-1.7622919082641602
25,2020-06-24,26,15.057724952697754,14.508184432983398,13.622803688049316,14.738832473754883,0.5495405197143555
26,2020-07-01,27,12.799175262451172,14.51550006866455,14.241751670837402,14.929084777832031,-1.716324806213379
27,2020-07-08,28,12.66828441619873,13.89801025390625,11.67527961730957,14.3361177444458,-1.2297258377075195
28,2020-07-15,29,13.503901481628418,14.60875415802002,14.124210357666016,15.606405258178711,-1.1048526763916016
29,2020-07-22,30,11.224557876586914,12.306875228881836,11.737615585327148,14.870458602905273,-1.0823173522949219
30,2020-07-29,31,12.132881164550781,14.406072616577148,13.898859977722168,16.148279190063477,-2.273191452026367
31,2020-08-05,2020w32,12.925050735473633,13.317110061645508,12.537446975708008,15.248401641845703,-0.392059326171875
32,2020-08-12,33,12.327718734741211,13.732255935668945,12.444318771362305,14.335078239440918,-1.4045372009277344
33,2020-08-19,34,14.16616439819336,13.23543643951416,12.714717864990234,14.508602142333984,0.9307279586791992
34,2020-08-26,35,13.699163436889648,13.811762809753418,13.330596923828125,15.332870483398438,-0.11259937286376953
35,2020-09-02,36,13.91411018371582,14.010710716247559,13.531295776367188,15.426750183105469,-0.09660053253173828
36,2020-09-09,37,11.780069351196289,13.129565238952637,12.770750999450684,16.073688507080078,-1.3494958877563477
37,2020-09-16,38,12.298103332519531,14.020277976989746,12.797167778015137,15.681557655334473,-1.7221746444702148
38,2020-09-23,39,14.130467414855957,14.162999153137207,13.76773452758789,16.361209869384766,-0.03253173828125
39,2020-10-07,41,13.342634201049805,14.326079368591309,13.019570350646973,15.00816822052002,-0.9834451675415039
40,2020-10-14,2020w42,12.315119743347168,13.455072402954102,12.236113548278809,14.263516426086426,-1.1399526596069336
41,2020-10-21,43,12.045012474060059,13.793288230895996,12.53532886505127,14.65479850769043,-1.7482757568359375
42,2020-10-28,44,11.191102981567383,14.867527961730957,14.134078979492188,14.997437477111816,-3.676424980163574
43,2020-11-04,45,12.422131538391113,15.749637603759766,13.42453670501709,16.787689208984375,-3.3275060653686523
44,2020-11-11,46,13.06009578704834,14.098278045654297,12.343804359436035,16.30522918701172,-1.038182258605957
45,2020-11-18,47,13.121795654296875,14.561031341552734,13.880804061889648,16.04603385925293,-1.4392356872558594
46,2020-11-25,48,13.597673416137695,14.736786842346191,13.34674072265625,16.403175354003906,-1.139113426208496
47,2020-12-02,49,13.190546989440918,14.409396171569824,11.846997261047363,14.94393539428711,-1.2188491821289062
48,2020-12-09,50,12.447220802307129,14.462019920349121,13.739922523498535,14.546422958374023,-2.014799118041992
49,2020-12-16,51,11.268186569213867,15.194138526916504,12.537906646728516,16.114620208740234,-3.9259519577026367
50,2020-12-23,2020w52,11.239585876464844,14.516447067260742,13.405219078063965,15.921367645263672,-3.2768611907958984
51,2021-01-01,2021w1,13.030752182006836,14.015714645385742,12.673274040222168,15.105360984802246,-0.9849624633789062
52,2021-01-08,54,12.59171199798584,13.864258766174316,13.246381759643555,15.055368423461914,-1.2725467681884766
53,2021-01-15,55,13.53128719329834,13.849125862121582,13.753238677978516,15.001991271972656,-0.3178386688232422
