,weekx,week3,red_week,m_red_week,min_red_week,max_red_week,excess1_red_week
0,2020-01-01,2020w1,0.026028819382190704,0.024100059643387794,0.02103908732533455,0.036965977400541306,0.0019287597388029099
1,2020-01-08,2,0.03679948300123215,0.030617736279964447,0.008144143968820572,0.04164894297719002,0.0061817467212677
2,2020-01-15,3,0.010223940014839172,0.031105542555451393,0.023645974695682526,0.04617985710501671,-0.02088160254061222
3,2020-01-22,4,0.02798110991716385,0.02894533984363079,0.021390654146671295,0.06241742521524429,-0.0009642299264669418
4,2020-01-29,2020w5,0.026418784633278847,0.028652770444750786,0.025981668382883072,0.04301563277840614,-0.002233985811471939
5,2020-02-05,6,0.022133024409413338,0.02349098213016987,0.016245706006884575,0.03691374137997627,-0.0013579577207565308
6,2020-02-12,7,0.023138081654906273,0.023195022717118263,0.020317377522587776,0.05316948518157005,-5.6941062211990356e-05
7,2020-02-19,8,0.025012116879224777,0.036464106291532516,0.02128971740603447,0.051312707364559174,-0.01145198941230774
8,2020-02-26,9,0.021218376234173775,0.029579104855656624,0.009576402604579926,0.039651304483413696,-0.008360728621482849
9,2020-03-04,10,0.01634252443909645,0.021704914048314095,0.018993539735674858,0.03787831962108612,-0.005362389609217644
10,2020-03-11,11,0.018196837976574898,0.0283624567091465,0.021903397515416145,0.042506132274866104,-0.010165618732571602
11,2020-03-18,2020w12,0.013742383569478989,0.0167862456291914,0.009588921442627907,0.032365016639232635,-0.00304386205971241
12,2020-03-25,13,0.022036761045455933,0.03623051196336746,0.029703864827752113,0.03763115778565407,-0.01419375091791153
13,2020-04-01,14,0.018132304772734642,0.03755773603916168,0.014698670245707035,0.053482335060834885,-0.01942543126642704
14,2020-04-08,15,0.017523957416415215,0.029981302097439766,0.02718619629740715,0.037460967898368835,-0.012457344681024551
15,2020-04-15,16,0.027021750807762146,0.03161223605275154,0.011295661330223083,0.042705874890089035,-0.004590485244989395
16,2020-04-22,17,0.020911723375320435,0.037088945508003235,0.004384450614452362,0.048386067152023315,-0.0161772221326828
17,2020-04-29,18,0.023022335022687912,0.018919819965958595,0.011115866713225842,0.03412061929702759,0.004102515056729317
18,2020-05-06,19,0.0372607447206974,0.025530748069286346,0.013610742054879665,0.03875424340367317,0.011729996651411057
19,2020-05-13,20,0.02755514346063137,0.024707864969968796,0.013731817714869976,0.02583133988082409,0.0028472784906625748
20,2020-05-20,21,0.021594928577542305,0.025828924030065536,0.018920952454209328,0.029960129410028458,-0.0042339954525232315
21,2020-05-27,2020w22,0.03328041359782219,0.022567585110664368,0.004660623613744974,0.04574844613671303,0.010712828487157822
22,2020-06-03,23,0.05852911248803139,0.017575737088918686,0.015762610360980034,0.03612511232495308,0.0409533753991127
23,2020-06-10,24,0.04337705299258232,0.019667578861117363,0.01191138755530119,0.026303280144929886,0.023709474131464958
24,2020-06-17,25,0.035344596952199936,0.03437821939587593,0.01962248608469963,0.04557802155613899,0.0009663775563240051
25,2020-06-24,26,0.03101569227874279,0.027786390855908394,0.022646768018603325,0.043924663215875626,0.0032293014228343964
26,2020-07-01,27,0.03411319479346275,0.02883857861161232,0.018494298681616783,0.03366178274154663,0.005274616181850433
27,2020-07-08,28,0.034915994852781296,0.022003822028636932,0.011066289618611336,0.02416059374809265,0.012912172824144363
28,2020-07-15,29,0.04249275475740433,0.02517429180443287,0.01289739552885294,0.04306289926171303,0.01731846295297146
29,2020-07-22,30,0.04829726740717888,0.031537946313619614,0.019698984920978546,0.049188897013664246,0.016759321093559265
30,2020-07-29,31,0.05311313271522522,0.024747852236032486,0.017329920083284378,0.04525270313024521,0.028365280479192734
31,2020-08-05,2020w32,0.06461746245622635,0.02058798260986805,0.018877526745200157,0.03202861547470093,0.04402948170900345
32,2020-08-12,33,0.0664040669798851,0.029927395284175873,0.02400810457766056,0.04503015801310539,0.03647667169570923
33,2020-08-19,34,0.06021434813737869,0.02076966129243374,0.017930831760168076,0.03818366304039955,0.039444684982299805
34,2020-08-26,35,0.07003001868724823,0.03449145704507828,0.02233877405524254,0.048809200525283813,0.03553856164216995
35,2020-09-02,36,0.07370452582836151,0.025075271725654602,0.01480470784008503,0.04086625948548317,0.04862925410270691
36,2020-09-09,37,0.0826086476445198,0.022197112441062927,0.02098238654434681,0.049359649419784546,0.06041153520345688
37,2020-09-16,38,0.092974454164505,0.028763694688677788,0.009617414325475693,0.030264578759670258,0.06421075761318207
38,2020-09-23,39,0.11214098334312439,0.02826041914522648,0.008687804453074932,0.049196455627679825,0.08388056606054306
39,2020-10-07,41,0.08426642417907715,0.026599034667015076,0.009068220853805542,0.05625379830598831,0.05766738951206207
40,2020-10-14,2020w42,0.08908599615097046,0.028691373765468597,0.014487496577203274,0.0366273932158947,0.06039462238550186
41,2020-10-21,43,0.0833902359008789,0.02210461162030697,0.01720363274216652,0.045347072184085846,0.06128562241792679
42,2020-10-28,44,0.06267213821411133,0.02603035792708397,0.018565241247415543,0.039908088743686676,0.03664178028702736
43,2020-11-04,45,0.06985381245613098,0.024605708196759224,0.02051619067788124,0.030325496569275856,0.04524810612201691
44,2020-11-11,46,0.08736121654510498,0.02973981946706772,0.021928509697318077,0.04294876009225845,0.05762139707803726
45,2020-11-18,47,0.07965432107448578,0.02492564357817173,0.015368280932307243,0.02857452817261219,0.0547286793589592
46,2020-11-25,48,0.09026888012886047,0.02447408065199852,0.014748685993254185,0.046551045030355453,0.06579479575157166
47,2020-12-02,49,0.08203756809234619,0.020240943878889084,0.008189446292817593,0.03443232923746109,0.06179662421345711
