,weekx,week3,ft,m_ft,min_ft,max_ft,excess1_ft
0,2020-01-01,2020w1,74.89187622070312,74.39575958251953,72.15287017822266,75.8267822265625,0.49611663818359375
1,2020-01-08,2,79.09800720214844,75.52705383300781,73.58651733398438,77.52313232421875,3.570953369140625
2,2020-01-15,3,76.17140197753906,75.84539794921875,74.29530334472656,78.0234146118164,0.3260040283203125
3,2020-01-22,4,77.30480194091797,75.26810455322266,73.86674499511719,76.94576263427734,2.0366973876953125
4,2020-01-29,2020w5,75.80624389648438,74.59893798828125,72.9946060180664,75.97120666503906,1.207305908203125
5,2020-02-05,6,76.19020080566406,75.6119384765625,72.54275512695312,76.49999237060547,0.5782623291015625
6,2020-02-12,7,74.27095794677734,75.35284423828125,73.24974822998047,75.9014892578125,-1.0818862915039062
7,2020-02-19,8,75.84684753417969,74.54586029052734,74.01890563964844,76.67149353027344,1.3009872436523438
8,2020-02-26,9,75.80145263671875,74.78518676757812,73.90788269042969,75.95904541015625,1.016265869140625
9,2020-03-04,10,74.01445770263672,75.63353729248047,74.83283996582031,75.91845703125,-1.61907958984375
10,2020-03-11,11,74.59674072265625,75.17704772949219,73.44094848632812,76.39329528808594,-0.5803070068359375
11,2020-03-18,2020w12,76.30408477783203,74.7860107421875,72.35240936279297,76.51384735107422,1.5180740356445312
12,2020-03-25,13,74.98993682861328,74.65950012207031,72.82420349121094,76.05303192138672,0.33043670654296875
13,2020-04-01,14,76.37213134765625,74.7001724243164,72.0723648071289,76.4210205078125,1.6719589233398438
14,2020-04-08,15,77.38613891601562,75.3097152709961,74.76798248291016,75.75322723388672,2.0764236450195312
15,2020-04-15,16,77.69962310791016,75.17841339111328,73.84207153320312,76.57640838623047,2.521209716796875
16,2020-04-22,17,77.75527954101562,74.81234741210938,74.31429290771484,75.68171691894531,2.94293212890625
17,2020-04-29,18,75.95896911621094,74.75760650634766,72.90613555908203,76.0721206665039,1.2013626098632812
18,2020-05-06,19,77.82301330566406,73.6427993774414,72.87370300292969,76.13880157470703,4.180213928222656
19,2020-05-13,20,75.43035125732422,73.31915283203125,71.96985626220703,77.11334991455078,2.1111984252929688
20,2020-05-20,21,76.33383178710938,75.09246063232422,74.20181274414062,75.61412811279297,1.2413711547851562
21,2020-05-27,2020w22,76.62313842773438,75.74649810791016,74.49575805664062,76.29613494873047,0.8766403198242188
22,2020-06-03,23,75.23243713378906,75.26701354980469,74.40953063964844,76.38066101074219,-0.034576416015625
23,2020-06-10,24,76.02447509765625,75.33642578125,74.3294448852539,76.62830352783203,0.68804931640625
24,2020-06-17,25,76.52745056152344,75.59436798095703,74.48347473144531,76.92581176757812,0.9330825805664062
25,2020-06-24,26,75.24742889404297,74.82880401611328,74.33430480957031,75.5074234008789,0.4186248779296875
26,2020-07-01,27,76.7475814819336,75.16859436035156,72.64785766601562,75.74585723876953,1.5789871215820312
27,2020-07-08,28,76.24712371826172,74.46029663085938,73.56593322753906,76.08345794677734,1.7868270874023438
28,2020-07-15,29,79.25980377197266,75.24658203125,74.42112731933594,76.09107208251953,4.013221740722656
29,2020-07-22,30,77.75656127929688,75.04878234863281,74.87408447265625,76.2477035522461,2.7077789306640625
30,2020-07-29,31,77.62303924560547,75.27796173095703,73.78057098388672,77.01306915283203,2.3450775146484375
31,2020-08-05,2020w32,77.00300598144531,76.25157165527344,75.03407287597656,78.93609619140625,0.751434326171875
32,2020-08-12,33,78.31022644042969,76.39218139648438,74.4620590209961,77.36515045166016,1.9180450439453125
33,2020-08-19,34,77.65853118896484,75.47323608398438,74.21688842773438,77.23805236816406,2.1852951049804688
34,2020-08-26,35,75.55953216552734,74.73884582519531,73.34981536865234,75.36186218261719,0.8206863403320312
35,2020-09-02,36,77.06895446777344,76.36526489257812,74.96231842041016,77.57949829101562,0.7036895751953125
36,2020-09-09,37,77.15676879882812,74.97567749023438,73.01763153076172,75.49752807617188,2.18109130859375
37,2020-09-16,38,77.2326889038086,76.46459197998047,73.62702178955078,77.35037994384766,0.768096923828125
38,2020-09-23,39,77.1189193725586,75.22997283935547,74.88265991210938,76.49504852294922,1.888946533203125
39,2020-10-07,41,78.20731353759766,75.5828857421875,74.128662109375,76.96768951416016,2.6244277954101562
40,2020-10-14,2020w42,76.55751037597656,75.64461517333984,75.40150451660156,76.9498519897461,0.9128952026367188
41,2020-10-21,43,78.6895751953125,76.05094146728516,73.66828918457031,76.80905151367188,2.6386337280273438
42,2020-10-28,44,78.31918334960938,75.94331359863281,75.16007232666016,76.23719787597656,2.3758697509765625
43,2020-11-04,45,76.22730255126953,74.44940185546875,73.57231140136719,76.67341613769531,1.7779006958007812
44,2020-11-11,46,78.46964263916016,74.97293090820312,72.87429809570312,76.21241760253906,3.4967117309570312
45,2020-11-18,47,79.31809997558594,75.21336364746094,72.08920288085938,75.47042846679688,4.104736328125
46,2020-11-25,48,78.65119934082031,74.22398376464844,73.5391845703125,75.24857330322266,4.427215576171875
47,2020-12-02,49,76.63594818115234,75.24376678466797,74.34156036376953,77.2984619140625,1.392181396484375
48,2020-12-09,50,77.97044372558594,75.1451416015625,72.95579528808594,75.99234008789062,2.8253021240234375
49,2020-12-16,51,77.16188049316406,74.79159545898438,72.00615692138672,75.67584228515625,2.3702850341796875
50,2020-12-23,2020w52,77.11597442626953,74.92744445800781,74.75955200195312,76.40444946289062,2.1885299682617188
51,2021-01-01,2021w1,75.62431335449219,74.39575958251953,72.15287017822266,75.8267822265625,1.2285537719726562
52,2021-01-08,54,78.9293441772461,75.52705383300781,73.58651733398438,77.52313232421875,3.4022903442382812
53,2021-01-15,55,77.60667419433594,75.84539794921875,74.29530334472656,78.0234146118164,1.7612762451171875
54,2021-01-22,56,78.9298324584961,75.26810455322266,73.86674499511719,76.94576263427734,3.6617279052734375
