,weekx,week3,temp,m_temp,min_temp,max_temp,excess1_temp
0,2020-01-01,2020w1,4.19099760055542,5.125138282775879,4.655290603637695,5.715394973754883,-0.934140682220459
1,2020-01-08,2,4.372333526611328,5.466251373291016,4.835482120513916,5.99997091293335,-1.0939178466796875
2,2020-01-15,3,4.172956466674805,5.024905204772949,4.351668357849121,6.726438522338867,-0.8519487380981445
3,2020-01-22,4,4.67317008972168,4.513339042663574,4.093756675720215,5.514436721801758,0.15983104705810547
4,2020-01-29,2020w5,4.156552314758301,5.428033828735352,4.861238479614258,5.631941318511963,-1.2714815139770508
5,2020-02-05,6,5.228277206420898,5.018190860748291,4.0936598777771,5.186293125152588,0.21008634567260742
6,2020-02-12,7,4.920708179473877,5.113804817199707,4.1220927238464355,5.692691802978516,-0.19309663772583008
7,2020-02-19,8,4.8457465171813965,5.724021911621094,4.111720561981201,6.163226127624512,-0.8782753944396973
8,2020-02-26,9,5.4806742668151855,4.945430755615234,3.857360363006592,6.049706935882568,0.5352435111999512
9,2020-03-04,10,4.694397926330566,4.3695573806762695,3.442856788635254,5.119394779205322,0.3248405456542969
10,2020-03-11,11,5.127012252807617,5.234840393066406,4.541884422302246,5.6274847984313965,-0.10782814025878906
11,2020-03-18,2020w12,4.0620012283325195,5.391204357147217,5.107161045074463,6.157423496246338,-1.3292031288146973
12,2020-03-25,13,4.446000099182129,4.332469463348389,4.1519598960876465,5.019620418548584,0.11353063583374023
13,2020-04-01,14,4.174469947814941,4.652029037475586,3.699887990951538,5.127041816711426,-0.47755908966064453
14,2020-04-08,15,4.691066265106201,4.808149337768555,4.345925807952881,5.621206760406494,-0.11708307266235352
15,2020-04-15,16,3.832306385040283,5.015430927276611,3.6444599628448486,5.624940395355225,-1.1831245422363281
16,2020-04-22,17,4.725916862487793,5.2536234855651855,3.7854697704315186,5.8982343673706055,-0.5277066230773926
17,2020-04-29,18,4.59688138961792,4.837002754211426,4.1398234367370605,5.825033187866211,-0.24012136459350586
18,2020-05-06,19,4.722299575805664,4.865160942077637,4.236807823181152,5.254431247711182,-0.14286136627197266
19,2020-05-13,20,4.798515319824219,5.6630859375,4.3048248291015625,6.4095282554626465,-0.8645706176757812
20,2020-05-20,21,4.915927410125732,4.694523811340332,3.9476611614227295,5.621284484863281,0.2214035987854004
21,2020-05-27,2020w22,4.999962329864502,4.834256172180176,4.0879011154174805,5.756745338439941,0.16570615768432617
22,2020-06-03,23,4.739660263061523,4.94901180267334,4.656733512878418,5.716413974761963,-0.2093515396118164
23,2020-06-10,24,4.948402404785156,5.340824604034424,4.685930252075195,6.154655933380127,-0.3924221992492676
24,2020-06-17,25,4.915328025817871,4.8759236335754395,4.190272808074951,6.334564685821533,0.03940439224243164
25,2020-06-24,26,4.27617073059082,5.147420406341553,3.7520787715911865,6.308731555938721,-0.8712496757507324
26,2020-07-01,27,4.5182271003723145,5.418193340301514,4.092630863189697,5.795312881469727,-0.8999662399291992
27,2020-07-08,28,4.570693492889404,5.132621765136719,4.482324600219727,6.0085530281066895,-0.5619282722473145
28,2020-07-15,29,3.100090742111206,5.340722560882568,4.174478530883789,5.851853847503662,-2.2406318187713623
29,2020-07-22,30,5.482997894287109,5.456851959228516,5.136995792388916,5.9310688972473145,0.02614593505859375
30,2020-07-29,31,5.209853172302246,5.010552883148193,4.586741924285889,6.351417541503906,0.19930028915405273
31,2020-08-05,2020w32,4.932732105255127,5.48785400390625,4.399995803833008,6.3455305099487305,-0.555121898651123
32,2020-08-12,33,4.7086005210876465,5.470178604125977,4.637959003448486,6.315668106079102,-0.7615780830383301
33,2020-08-19,34,4.557557582855225,4.818103313446045,4.287538051605225,6.015684604644775,-0.2605457305908203
34,2020-08-26,35,4.725576877593994,4.740787029266357,4.666913986206055,5.947456359863281,-0.015210151672363281
35,2020-09-02,36,4.719728469848633,4.785899639129639,4.106655120849609,5.249277591705322,-0.06617116928100586
36,2020-09-09,37,4.682703495025635,4.801898956298828,3.9390854835510254,6.295838356018066,-0.11919546127319336
37,2020-09-16,38,4.619163513183594,4.964663982391357,4.206910133361816,5.894621849060059,-0.34550046920776367
38,2020-09-23,39,4.180212020874023,4.57512903213501,3.940483570098877,5.915081977844238,-0.39491701126098633
39,2020-10-07,41,5.0315117835998535,4.888983726501465,4.130980491638184,5.449511528015137,0.14252805709838867
40,2020-10-14,2020w42,4.708527565002441,4.624279022216797,3.5227558612823486,6.163244247436523,0.08424854278564453
41,2020-10-21,43,3.8312575817108154,5.263100624084473,3.694059371948242,6.028596878051758,-1.4318430423736572
42,2020-10-28,44,5.144681930541992,4.529326915740967,4.020914077758789,5.687798976898193,0.6153550148010254
43,2020-11-04,45,4.656288146972656,5.466705799102783,3.8749146461486816,5.838870048522949,-0.810417652130127
44,2020-11-11,46,4.908673286437988,5.53342342376709,3.6100704669952393,6.2250518798828125,-0.6247501373291016
45,2020-11-18,47,4.671154975891113,4.764754295349121,4.650590896606445,5.990264415740967,-0.09359931945800781
46,2020-11-25,48,5.469548225402832,5.0354390144348145,4.635274410247803,6.269949913024902,0.4341092109680176
47,2020-12-02,49,5.580342769622803,5.319953441619873,5.06117057800293,5.673451900482178,0.2603893280029297
48,2020-12-09,50,4.9730143547058105,5.7290239334106445,5.378385066986084,6.1075334548950195,-0.756009578704834
49,2020-12-16,51,5.5110249519348145,5.148584842681885,4.170511245727539,7.010079383850098,0.3624401092529297
50,2020-12-23,2020w52,4.53240966796875,4.946819305419922,4.20203971862793,5.723125457763672,-0.4144096374511719
