,weekx,week3,quit_week,m_quit_week,min_quit_week,max_quit_week,excess1_quit_week
0,2020-01-01,2020w1,0.14035330712795258,0.1782051920890808,0.15583552420139313,0.19467580318450928,-0.037851884961128235
1,2020-01-08,2,0.13705480098724365,0.14877142012119293,0.11897529661655426,0.19384701550006866,-0.01171661913394928
2,2020-01-15,3,0.14179667830467224,0.18228930234909058,0.1531093567609787,0.21233980357646942,-0.040492624044418335
3,2020-01-22,4,0.15410873293876648,0.15614444017410278,0.12479773908853531,0.19477207958698273,-0.0020357072353363037
4,2020-01-29,2020w5,0.12783220410346985,0.16194503009319305,0.11495712399482727,0.19406837224960327,-0.034112825989723206
5,2020-02-05,6,0.15208186209201813,0.14834508299827576,0.12493597716093063,0.19541093707084656,0.0037367790937423706
6,2020-02-12,7,0.12653285264968872,0.17813338339328766,0.13645167648792267,0.1983974426984787,-0.05160053074359894
7,2020-02-19,8,0.15964683890342712,0.153386190533638,0.14553801715373993,0.16226910054683685,0.0062606483697891235
8,2020-02-26,9,0.16736917197704315,0.13229283690452576,0.11768709123134613,0.16591043770313263,0.035076335072517395
9,2020-03-04,10,0.10054413229227066,0.159506157040596,0.1364014744758606,0.1899259090423584,-0.05896202474832535
10,2020-03-11,11,0.09321330487728119,0.17992755770683289,0.1351751685142517,0.19435055553913116,-0.0867142528295517
11,2020-03-18,2020w12,0.1389499455690384,0.13980808854103088,0.10825169831514359,0.16188380122184753,-0.0008581429719924927
12,2020-03-25,13,0.1399926096200943,0.1535569131374359,0.14094199240207672,0.19745393097400665,-0.013564303517341614
13,2020-04-01,14,0.10147765278816223,0.14107245206832886,0.1368068903684616,0.2191057652235031,-0.039594799280166626
14,2020-04-08,15,0.11087314039468765,0.17722393572330475,0.13741062581539154,0.18959438800811768,-0.0663507953286171
15,2020-04-15,16,0.12009719759225845,0.13178947567939758,0.12932755053043365,0.1623118817806244,-0.01169227808713913
16,2020-04-22,17,0.16959187388420105,0.15874263644218445,0.13385993242263794,0.17934834957122803,0.010849237442016602
17,2020-04-29,18,0.1206333264708519,0.14735397696495056,0.0934411883354187,0.20754320919513702,-0.026720650494098663
18,2020-05-06,19,0.1727667897939682,0.1374865621328354,0.11122768372297287,0.2074757069349289,0.03528022766113281
19,2020-05-13,20,0.10726882517337799,0.1760459840297699,0.15112924575805664,0.18248873949050903,-0.0687771588563919
20,2020-05-20,21,0.14251480996608734,0.1624213457107544,0.13463620841503143,0.23295535147190094,-0.019906535744667053
21,2020-05-27,2020w22,0.1488414704799652,0.15596678853034973,0.14982843399047852,0.1795823872089386,-0.0071253180503845215
22,2020-06-03,23,0.0740668997168541,0.1823917180299759,0.1480637937784195,0.2227102369070053,-0.1083248183131218
23,2020-06-10,24,0.10047844797372818,0.1678793877363205,0.15244926512241364,0.2029574066400528,-0.06740093976259232
24,2020-06-17,25,0.12247295677661896,0.1807040125131607,0.1510734260082245,0.1958485245704651,-0.05823105573654175
25,2020-06-24,26,0.10921274125576019,0.15608717501163483,0.13166444003582,0.2270607054233551,-0.046874433755874634
26,2020-07-01,27,0.06908544152975082,0.1390235424041748,0.11361640691757202,0.17844538390636444,-0.06993810087442398
27,2020-07-08,28,0.08438214659690857,0.15573954582214355,0.13722684979438782,0.21236059069633484,-0.07135739922523499
28,2020-07-15,29,0.052519816905260086,0.2256208062171936,0.12035529315471649,0.22771337628364563,-0.17310099303722382
29,2020-07-22,30,0.08931541442871094,0.1911258101463318,0.17770561575889587,0.21663759648799896,-0.10181039571762085
30,2020-07-29,31,0.07946445792913437,0.16933387517929077,0.1430646777153015,0.21692970395088196,-0.0898694172501564
31,2020-08-05,2020w32,0.09476754069328308,0.18906711041927338,0.1574542075395584,0.2034020870923996,-0.0942995697259903
32,2020-08-12,33,0.07531769573688507,0.1866750568151474,0.16043032705783844,0.22146841883659363,-0.11135736107826233
33,2020-08-19,34,0.08494974672794342,0.20751261711120605,0.18060816824436188,0.23788243532180786,-0.12256287038326263
34,2020-08-26,35,0.09711048007011414,0.1867360919713974,0.15996037423610687,0.22532302141189575,-0.08962561190128326
35,2020-09-02,36,0.1248023733496666,0.2040134221315384,0.17874661087989807,0.23342809081077576,-0.0792110487818718
36,2020-09-09,37,0.08018285781145096,0.1961069405078888,0.17849598824977875,0.23365968465805054,-0.11592408269643784
37,2020-09-16,38,0.13120943307876587,0.23384732007980347,0.1676427721977234,0.25576239824295044,-0.1026378870010376
38,2020-09-23,39,0.15528467297554016,0.22964610159397125,0.21293093264102936,0.2829263210296631,-0.07436142861843109
39,2020-10-07,41,0.16898834705352783,0.20724108815193176,0.1978779137134552,0.23426873981952667,-0.03825274109840393
40,2020-10-14,2020w42,0.12484870105981827,0.2571563720703125,0.19157172739505768,0.3329319655895233,-0.13230767846107483
41,2020-10-21,43,0.15055102109909058,0.2144155502319336,0.1576560139656067,0.2864936888217926,-0.06386452913284302
42,2020-10-28,44,0.11501059681177139,0.21230341494083405,0.16311649978160858,0.29267024993896484,-0.09729281812906265
43,2020-11-04,45,0.1338539719581604,0.21500559151172638,0.2012174278497696,0.24587933719158173,-0.08115161955356598
44,2020-11-11,46,0.14196287095546722,0.2195219099521637,0.17746321856975555,0.2436857968568802,-0.07755903899669647
45,2020-11-18,47,0.1475231945514679,0.1968870908021927,0.1891934722661972,0.22352005541324615,-0.04936389625072479
46,2020-11-25,48,0.14077384769916534,0.206319198012352,0.1921529471874237,0.26080772280693054,-0.06554535031318665
47,2020-12-02,49,0.11833778023719788,0.18813565373420715,0.14431212842464447,0.20699580013751984,-0.06979787349700928
