,weekx,week3,away,m_away,min_away,max_away,excess1_away
0,2020-01-01,2020w1,15.478261947631836,12.929524421691895,7.314337730407715,26.482337951660156,2.5487375259399414
1,2020-01-08,2,5.791051387786865,5.3517303466796875,4.756484508514404,6.485308647155762,0.43932104110717773
2,2020-01-15,3,4.839868545532227,5.342045783996582,5.072072505950928,5.459476470947266,-0.5021772384643555
3,2020-01-22,4,5.3109564781188965,4.669629096984863,4.43278694152832,5.35154914855957,0.6413273811340332
4,2020-01-29,2020w5,5.35896635055542,4.3382768630981445,3.341444969177246,5.021066188812256,1.0206894874572754
5,2020-02-05,6,4.571891784667969,5.055383205413818,3.8736283779144287,5.378173828125,-0.4834914207458496
6,2020-02-12,7,5.563211441040039,5.420950889587402,5.164316177368164,6.8379034996032715,0.14226055145263672
7,2020-02-19,8,7.585321426391602,6.785198211669922,6.264413356781006,8.311330795288086,0.8001232147216797
8,2020-02-26,9,5.212204456329346,4.908651828765869,4.538589954376221,5.676849842071533,0.30355262756347656
9,2020-03-04,10,4.832970142364502,4.978480815887451,4.040956497192383,5.241281986236572,-0.14551067352294922
10,2020-03-11,11,6.655494689941406,5.138416767120361,4.715792179107666,5.48958158493042,1.517077922821045
11,2020-03-18,2020w12,11.197883605957031,5.351630210876465,5.07565975189209,7.114886283874512,5.846253395080566
12,2020-03-25,13,22.06798553466797,6.6747145652771,5.401727676391602,10.150127410888672,15.393270492553711
13,2020-04-01,14,23.096132278442383,10.765336036682129,6.224895000457764,13.040754318237305,12.330796241760254
14,2020-04-08,15,24.484724044799805,8.011734008789062,6.865912437438965,10.628836631774902,16.472990036010742
15,2020-04-15,16,24.556865692138672,6.747127532958984,5.40955924987793,10.129405975341797,17.809738159179688
16,2020-04-22,17,23.414180755615234,5.377223491668701,3.461519956588745,9.27769660949707,18.036956787109375
17,2020-04-29,18,23.54802703857422,5.164978504180908,4.7565107345581055,5.632765769958496,18.38304901123047
18,2020-05-06,19,22.61716651916504,4.843301773071289,3.649726152420044,4.966584205627441,17.77386474609375
19,2020-05-13,20,23.330446243286133,5.108119487762451,4.51617431640625,5.690304756164551,18.222326278686523
20,2020-05-20,21,20.081153869628906,5.981603145599365,5.338573455810547,6.118560791015625,14.099550247192383
21,2020-05-27,2020w22,19.562719345092773,7.485601902008057,5.898283004760742,9.586969375610352,12.077117919921875
22,2020-06-03,23,19.238277435302734,5.868990421295166,5.349274158477783,9.95588493347168,13.369287490844727
23,2020-06-10,24,18.76983070373535,5.7085418701171875,5.318596839904785,6.33571720123291,13.061288833618164
24,2020-06-17,25,18.89594268798828,6.396751880645752,5.8643999099731445,6.921445369720459,12.499191284179688
25,2020-06-24,26,21.07564926147461,5.843400001525879,5.612001419067383,7.751923084259033,15.23224925994873
26,2020-07-01,27,19.03569793701172,7.157993316650391,6.360690116882324,8.213438034057617,11.877704620361328
27,2020-07-08,28,19.828107833862305,7.616204261779785,7.100635051727295,9.193108558654785,12.21190357208252
28,2020-07-15,29,19.00853157043457,8.074793815612793,7.496764659881592,8.833309173583984,10.933737754821777
29,2020-07-22,30,19.044864654541016,10.589156150817871,8.76938533782959,11.227653503417969,8.455708503723145
30,2020-07-29,31,20.781034469604492,12.001153945922852,11.422935485839844,13.765525817871094,8.77988052368164
31,2020-08-05,2020w32,19.157691955566406,13.035551071166992,11.872139930725098,15.546490669250488,6.122140884399414
32,2020-08-12,33,19.328914642333984,12.656204223632812,12.514239311218262,13.276817321777344,6.672710418701172
33,2020-08-19,34,18.67155647277832,13.202333450317383,12.036567687988281,13.29704475402832,5.4692230224609375
34,2020-08-26,35,17.58344268798828,10.918142318725586,10.176871299743652,12.917299270629883,6.665300369262695
35,2020-09-02,36,12.36657428741455,7.866957187652588,6.394381999969482,11.456392288208008,4.499617099761963
36,2020-09-09,37,10.040082931518555,6.355494499206543,5.072540283203125,7.101229667663574,3.6845884323120117
37,2020-09-16,38,10.348847389221191,7.15719747543335,5.382404804229736,7.679208278656006,3.191649913787842
38,2020-09-23,39,9.269729614257812,6.019903659820557,5.652662754058838,6.298234462738037,3.249825954437256
39,2020-10-07,41,9.568875312805176,5.563545227050781,4.872682094573975,6.039855480194092,4.0053300857543945
40,2020-10-14,2020w42,10.418035507202148,5.096053600311279,4.954608917236328,6.445631504058838,5.321981906890869
41,2020-10-21,43,10.731789588928223,6.478707313537598,5.487270355224609,8.448062896728516,4.253082275390625
42,2020-10-28,44,11.499448776245117,8.061014175415039,5.469961643218994,9.733280181884766,3.438434600830078
43,2020-11-04,45,12.125167846679688,5.406615734100342,4.718096733093262,5.885005950927734,6.718552112579346
44,2020-11-11,46,12.744847297668457,5.440630912780762,4.346156120300293,6.520162582397461,7.304216384887695
45,2020-11-18,47,12.178964614868164,5.340176105499268,4.5091705322265625,5.485659122467041,6.8387885093688965
46,2020-11-25,48,11.324026107788086,4.940773010253906,4.248600006103516,5.752536296844482,6.38325309753418
47,2020-12-02,49,9.54979133605957,4.701779842376709,3.1413774490356445,5.603486061096191,4.848011493682861
48,2020-12-09,50,8.324844360351562,5.200995445251465,4.937398910522461,6.009280681610107,3.1238489151000977
49,2020-12-16,51,8.434893608093262,5.8655266761779785,5.1072797775268555,13.531041145324707,2.569366931915283
50,2020-12-23,2020w52,25.4147891998291,23.581710815429688,10.813135147094727,26.225852966308594,1.833078384399414
51,2021-01-01,2021w1,31.490432739257812,12.929524421691895,7.314337730407715,26.482337951660156,18.560909271240234
52,2021-01-08,54,12.356956481933594,5.3517303466796875,4.756484508514404,6.485308647155762,7.005226135253906
