,t,d1,d2
0,2016-11-30,-6670.1900000000005,6.670190000000001
1,2016-12-31,-8642.18,8.64218
2,2017-01-31,-8114.14,8.11414
3,2017-02-28,-8029.2699999999995,8.02927
4,2017-03-31,-8165.76,8.16576
5,2017-04-30,-8080.34,8.08034
6,2017-05-31,-7193.37,7.19337
7,2017-06-30,-6146.68,6.14668
8,2017-07-31,-6075.299999999999,6.0752999999999995
9,2017-08-31,-5897.5599999999995,5.8975599999999995
10,2017-09-30,-5810.71,5.81071
11,2017-10-31,-5810.44,5.81044
12,2017-11-30,-5812.81,5.812810000000001
13,2017-12-31,-7723.48,7.7234799999999995
14,2018-01-31,-8168.66,8.16866
15,2018-02-28,-8161.72,8.16172
16,2018-03-31,-8008.549999999999,8.00855
17,2018-04-30,-8988.74,8.98874
18,2018-05-31,-9464.08,9.46408
19,2018-06-30,-10991.550000000001,10.991550000000002
20,2018-07-31,-10989.736,10.989736
21,2018-08-31,-10976.79,10.976790000000001
22,2018-09-30,-11203.4,11.2034
23,2018-10-31,-10929.75,10.92975
24,2018-11-30,-11643.8,11.643799999999999
25,2018-12-31,-13781.679999999998,13.781679999999998
26,2019-01-31,-14661.279999999999,14.66128
27,2019-02-28,-14655.869999999999,14.655869999999998
28,2019-03-31,-14742.240000000002,14.742240000000002
29,2019-04-30,-13727.24,13.72724
30,2019-05-31,-14736.73,14.73673
31,2019-06-30,-15866.91,15.86691
32,2019-07-31,-15484.039999999999,15.484039999999998
33,2019-08-31,-17618.66,17.61866
34,2019-09-30,-17166.63,17.16663
35,2019-10-31,-17260.29,17.26029
36,2019-11-30,-17113.83,17.11383
37,2019-12-31,-16730.879999999997,16.73088
38,2020-01-31,-17858.399999999998,17.858399999999996
39,2020-02-29,-18045.31,18.04531
40,2020-03-31,-18085.800000000003,18.085800000000003
41,2020-04-30,-17666.05,17.66605
42,2020-05-31,-17199.123999999996,17.199123999999998
43,2020-06-30,-16788.456000000002,16.788456000000004
44,2020-07-31,-15122.665263307334,15.122665263307333
45,2020-08-31,-15239.970000000001,15.239970000000001
46,2020-09-30,-14268.286248921999,14.268286248922
47,2020-10-31,-15291.220000000001,15.291220000000001
48,2020-11-30,-15369.06,15.36906
49,2020-12-31,-15491.406248922001,15.491406248922
50,2021-01-31,-16087.842915588668,16.087842915588666
51,2021-02-28,-20868.295666666665,20.868295666666665
52,2021-03-31,-20550.039999999997,20.550039999999996
53,2021-04-30,-19979.961333333333,19.979961333333332
54,2021-05-31,-19446.35266666667,19.44635266666667
55,2021-06-30,-18687.843999999997,18.687844
56,2021-07-30,-18452.134000000002,18.452134
57,2021-08-30,-18145.724,18.145723999999998
58,2021-09-30,-17848.894,17.848894
59,2021-10-21,-17960.458000000002,17.960458000000003
60,2021-11-21,-20115.833000000002,20.115833000000002
61,2021-12-31,-19990.992,19.990992
62,2022-01-31,-19512.753999999997,19.512753999999997
63,2022-02-01,-19165.494,19.165494
64,2022-03-01,-20938.076000000005,20.938076000000006
65,2022-04-01,-20849.84497033334,20.84984497033334
66,2022-05-01,-20943.819669666667,20.943819669666667
67,2022-06-01,-21112.733704000002,21.112733704000004
68,2022-07-01,-21193.374918666672,21.19337491866667
69,2022-08-01,-21392.68249633334,21.39268249633334
70,2022-09-01,-21372.830822000004,21.372830822000005
71,2022-10-01,-26253.234775,26.253234775
72,2022-11-01,-24184.991714000003,24.184991714000002
73,2022-12-01,-21952.293849,21.952293849
74,2023-01-01,-23650.545401666663,23.650545401666662
75,2023-02-01,-21998.37892633333,21.99837892633333
76,2023-03-01,-20551.568528,20.551568528
77,2023-04-01,-20679.81881333333,20.67981881333333
78,2023-05-01,-20699.104982256664,20.699104982256664
79,2023-06-01,-20372.68978032,20.37268978032
80,2023-07-01,-21153.403511246666,21.153403511246665
81,2023-08-01,-20675.872002533335,20.675872002533335
82,2023-09-23,-20148.19037929,20.14819037929
83,2023-10-01,-19997.71,19.997709999999998
84,2023-11-01,-27466.899020560002,27.466899020560003
85,2023-12-01,-26066.949553389997,26.066949553389996
86,2024-01-01,-29610.48,29.61048
