,cycle,state,ballot_party,percent_sen,percent_gov,votes_gov,candidate_name_gov,percent_hou,percent_pres,votes_pres,candidate_name_pres
84,1998,New York,RTL,2.24,1.136858665541367,56683.0,Michael Reynolds,2.05,,,
85,1998,New York,SWP,0.08,0.050923277734233,2539.0,Alfred Duncan,,,,
86,1998,North Carolina,DEM,51.15,,,,43.44,,,
87,1998,North Carolina,LIB,1.84,,,,3.29,,,
88,1998,North Carolina,REP,47.01,,,,53.26,,,
89,1998,North Dakota,DEM,63.16,,,,56.21,,,
90,1998,North Dakota,REF,1.69,,,,,,,
91,1998,North Dakota,REP,35.16,,,,41.11,,,
92,1998,Ohio,DEM,43.54,44.68875411311088,1498956.0,Lee Fisher,47.23,,,
93,1998,Ohio,REP,56.46,50.04813349659071,1678721.0,Bob Taft,51.93,,,
94,1998,Oklahoma,DEM,31.28,40.92927419770257,357552.0,Laura Boyd,36.61,,,
95,1998,Oklahoma,IND,2.34,,,,0.71,,,
96,1998,Oklahoma,REP,66.38,57.864775608555554,505498.0,Frank Keating,62.68,,,
97,1998,Oregon,DEM,61.13,64.42029363092917,717061.0,John Kitzhaber,58.08,,,
98,1998,Oregon,LIB,1.63,1.814754855367632,20200.0,Richard Burke,2.66,,,
99,1998,Oregon,NLP,0.75,0.7028132293832169,7823.0,Patti Steurer,0.21,,,
100,1998,Oregon,PG,1.97,1.423324810573732,15843.0,Blair Bobier,0.33,,,
101,1998,Oregon,REP,33.84,30.006432497408134,334001.0,Bill Sizemore,36.94,,,
102,1998,Oregon,SUS,0.68,0.5185527240189094,5772.0,Trey Smith,1.77,,,
103,1998,Pennsylvania,CON,2.31,10.438583760807235,315761.0,Peg Luksik,0.13,,,
104,1998,Pennsylvania,DEM,34.79,31.03349784342901,938745.0,Ivan Itkin,47.87,,,
105,1998,Pennsylvania,LIB,1.56,1.1104679397052704,33591.0,Ken Krawchuk,0.37,,,
106,1998,Pennsylvania,REP,61.34,57.41745045605848,1736844.0,Thomas Ridge,50.61,,,
107,1998,South Carolina,DEM,52.72,53.23433585247122,570070.0,James H. Hodges,38.05,,,
108,1998,South Carolina,LIB,1.59,1.390833052408838,14894.0,Timothy Moultrie,,,,
109,1998,South Carolina,REP,45.69,45.20515581270912,484088.0,David M. Beasley,59.6,,,
110,1998,South Dakota,DEM,62.14,32.85060360433073,85473.0,Bernie Hunhoff,24.92,,,
111,1998,South Dakota,LIB,1.45,1.686863678815621,4389.0,Bob Newland,,,,
112,1998,South Dakota,REP,36.41,64.03894122304342,166621.0,William J. Janklow,75.08,,,
113,1998,Utah,DEM,32.97,,,,26.87,,,
114,1998,Utah,IAP,3.05,,,,4.57,,,
115,1998,Utah,REP,63.98,,,,64.62,,,
116,1998,Vermont,DEM,72.43,55.66889785439207,121425.0,Howard Dean,,,,
117,1998,Vermont,GRT,1.15,1.515220979277462,3305.0,Joel Williams,1.61,,,
118,1998,Vermont,IND,1.36,,,,63.49,,,
119,1998,Vermont,LBU,0.58,0.539611223179901,1177.0,Richard Gottlieb,1.0,,,
120,1998,Vermont,LIB,1.97,0.981569778103796,2141.0,Amy Berkey,0.98,,,
121,1998,Vermont,REP,22.52,41.13607188703466,89726.0,Ruth Dwyer,32.92,,,
122,1998,Washington,DEM,58.41,,,,52.75,,,
123,1998,Washington,REP,41.59,,,,44.05,,,
124,1998,Wisconsin,DEM,50.57,38.69860946438924,679553.0,Ed Garvey,45.62,,,
125,1998,Wisconsin,IND,0.24,0.2838815635866228,4985.0,Mike Mangan,0.98,,,
126,1998,Wisconsin,LIB,0.32,0.6304619439252762,11071.0,Jim Mueller,,,,
127,1998,Wisconsin,REP,48.42,59.664444588710566,1047716.0,Tommy Thompson,52.72,,,
128,1998,Wisconsin,UST,0.45,0.5847903262730252,10269.0,Edward Frami,0.67,,,
129,2000,Arizona,GRE,7.8,,,,0.61,2.979407525769966,45645.0,Ralph Nader
130,2000,Arizona,IND,7.82,,,,,,,
131,2000,Arizona,LIB,5.06,,,,2.84,0.3769542876836795,5775.0,Harry Browne
132,2000,Arizona,REP,79.32,,,,58.32,51.02113816043696,781652.0,George W. Bush
133,2000,California,AIP,1.27,,,,0.07,,,
134,2000,California,DEM,55.84,,,,51.8,53.44973682775446,5861203.0,Al Gore
135,2000,California,GRE,3.08,,,,0.36,3.818291050137418,418707.0,Ralph Nader
136,2000,California,LIB,1.77,,,,2.66,0.4151079599869485,45520.0,Harry Browne
137,2000,California,NLP,0.55,,,,2.18,0.0997098074362323,10934.0,John Hagelin
138,2000,California,REF,0.91,,,,0.32,0.410247403249843,44987.0,Patrick J. Buchanan
139,2000,California,REP,36.59,,,,42.6,41.651496805255455,4567429.0,George W. Bush
140,2000,Connecticut,CNC,1.95,,,,0.59,0.6642572069680205,9695.0,Howard Phillips
141,2000,Connecticut,DEM,63.21,,,,53.24,55.909628132440346,816015.0,Al Gore
142,2000,Connecticut,LIB,0.67,,,,0.15,0.2387077987701478,3484.0,Harry Browne
143,2000,Connecticut,REP,34.17,,,,44.97,38.4436032270773,561094.0,George W. Bush
144,2000,Delaware,CON,0.32,,,,0.8,0.0635058269649405,208.0,Howard Phillips
145,2000,Delaware,DEM,55.53,59.243932515166776,191695.0,Ruth Minner,30.81,54.9777271630909,180068.0,Al Gore
146,2000,Delaware,LIB,0.34,,,,0.75,0.236314952263769,774.0,Harry Browne
147,2000,Delaware,NLP,0.12,,,,,0.0326688629098492,107.0,John Hagelin
148,2000,Delaware,REP,43.7,39.74515482014655,128603.0,John Burris,67.64,41.91628832866708,137288.0,George W. Bush
149,2000,Florida,DEM,51.04,,,,39.45,48.83782120403615,2912253.0,Al Gore
150,2000,Florida,IND,2.02,,,,0.63,,,
151,2000,Florida,NLP,0.45,,,,1.38,0.0382518518021636,2281.0,John Hagelin
152,2000,Florida,REF,0.3,,,,1.08,0.293202707982915,17484.0,Patrick J. Buchanan
153,2000,Florida,REP,46.19,,,,56.92,48.84682657204043,2912790.0,George W. Bush
154,2000,Hawaii,CON,0.68,,,,,0.093218934042848,343.0,Howard Phillips
155,2000,Hawaii,DEM,72.68,,,,65.03,55.791667912303545,205286.0,Al Gore
156,2000,Hawaii,LIB,0.9,,,,2.4,0.4014121445518561,1477.0,Harry Browne
157,2000,Hawaii,NLP,1.22,,,,,0.0831632472802085,306.0,John Hagelin
158,2000,Hawaii,REP,24.51,,,,32.58,37.46286869719066,137845.0,George W. Bush
159,2000,Indiana,DEM,31.85,56.55683468026879,1232525.0,Frank L. O'Bannon,44.2,41.01210293083896,901980.0,Al Gore
160,2000,Indiana,LIB,1.58,1.7647209980598992,38458.0,Andy Horning,2.02,0.7061331276923315,15530.0,Harry Browne
161,2000,Indiana,REP,66.56,41.678444321671314,908285.0,David McIntosh,52.89,56.6468816015263,1245836.0,George W. Bush
162,2000,Maine,DEM,31.06,,,,66.2,49.08601647394898,319951.0,Al Gore
163,2000,Maine,REP,68.94,,,,31.87,43.971850994987854,286616.0,George W. Bush
164,2000,Maryland,DEM,63.23,,,,55.12,56.488308384504926,1144008.0,Al Gore
165,2000,Maryland,REP,36.76,,,,44.49,40.18478065506228,813827.0,George W. Bush
166,2000,Maryland,W,0.01,,,,,,,
167,2000,Massachusetts,CON,1.62,,,,,,,
168,2000,Massachusetts,DEM,72.76,,,,84.31,59.12521772080969,1616487.0,Al Gore
169,2000,Massachusetts,LIB,11.89,,,,0.45,0.5986087813998945,16366.0,Harry Browne
170,2000,Massachusetts,OTH,0.33,,,,,,,
171,2000,Massachusetts,REP,12.87,,,,14.72,32.13240936559759,878502.0,George W. Bush
172,2000,Massachusetts,UN,0.53,,,,0.52,0.1054862352167478,2884.0,John Hagelin
173,2000,Michigan,DEM,49.47,,,,53.51,51.27979887069135,2170418.0,Al Gore
174,2000,Michigan,GRE,0.9,,,,0.38,1.988540581561587,84165.0,Ralph Nader
175,2000,Michigan,LIB,0.72,,,,1.18,0.3948256598167372,16711.0,Harry Browne
