,employees,year,value
0,All firms,2018,11.6
1,All firms,2019,28.6
2,Retail,2018,36.1
3,Retail,2019,48.3
4,Other services,2018,6.7
5,Other services,2019,18.4
6,Information and communication,2018,5.4
7,Information and communication,2019,24.4
8,Wholesale,2018,19.1
9,Wholesale,2019,44.1
10,Construction,2018,4.1
11,Construction,2019,5.5
12,Manufacturing,2018,20.1
13,Manufacturing,2019,22.8
