,year,pol,value
0,2001,d4,110.6736031734162
1,2001,d3,17.148981779206864
2,2001,d2,6.859592711682751
3,2001,d1,81.02893890675239
4,2001,d0,44.15862808145761
5,2001,d5,17.08631108167492
6,2002,d4,114.9654777038312
7,2002,d3,17.14898177920685
8,2002,d2,7.7170418006431305
9,2002,d1,81.02893890675242
10,2002,d0,44.15862808145758
11,2002,d5,17.081681996061604
12,2003,d4,120.5556327069823
13,2003,d3,17.14898177920685
14,2003,d2,11.14683815648442
15,2003,d1,82.31511254019293
16,2003,d0,45.444801714898205
17,2003,d5,17.493670615632936
18,2004,d4,132.95446048007176
19,2004,d3,18.00643086816723
20,2004,d2,13.719185423365445
21,2004,d1,85.7449088960343
22,2004,d0,47.15969989281888
23,2004,d5,17.956579176948594
24,2005,d4,133.96858631286221
25,2005,d3,18.863879957127494
26,2005,d2,20.578778135048225
27,2005,d1,85.74490889603433
28,2005,d0,48.017148981779144
29,2005,d5,19.51480061103922
30,2006,d4,141.4561679004958
31,2006,d3,19.721329046087874
32,2006,d2,27.438370846731004
33,2006,d1,83.17256162915322
34,2006,d0,50.589496248660225
35,2006,d5,21.45915900196934
36,2007,d4,142.7239676248874
37,2007,d3,18.863879957127494
38,2007,d2,37.72775991425513
39,2007,d1,79.7427652733119
40,2007,d0,50.589496248660225
41,2007,d5,21.04880836653814
42,2008,d4,141.06364392998495
43,2008,d3,17.14898177920685
44,2008,d2,44.58735262593788
45,2008,d1,71.16827438370845
46,2008,d0,47.588424437298954
47,2008,d5,20.994233883519883
48,2009,d4,134.2548774538605
49,2009,d3,17.14898177920685
50,2009,d2,47.15969989281882
51,2009,d1,62.59378349410508
52,2009,d0,37.7277599142551
53,2009,d5,20.085958559001256
54,2010,d4,142.86640102836918
55,2010,d3,16.291532690246527
56,2010,d2,54.0192926045016
57,2010,d1,60.02143622722397
58,2010,d0,36.87031082529478
59,2010,d5,20.04892587409597
60,2011,d4,144.75149962934617
61,2011,d3,18.00643086816723
62,2011,d2,59.16398713826362
63,2011,d1,56.591639871382654
64,2011,d0,34.2979635584137
65,2011,d5,20.73617454
66,2012,d4,147.73180223617345
67,2012,d3,17.14898177920682
68,2012,d2,66.88102893890681
69,2012,d1,52.3043944265809
70,2012,d0,33.44051446945332
71,2012,d5,21.18566828901413
72,2013,d4,149.14130461875936
73,2013,d3,17.14898177920682
74,2013,d2,76.3129689174705
75,2013,d1,48.0171489817792
76,2013,d0,31.725616291532674
77,2013,d5,21.49106408434892
78,2014,d4,149.28692403258208
79,2014,d3,17.14898177920682
80,2014,d2,86.17363344051446
81,2014,d1,45.01607717041799
82,2014,d0,30.01071811361203
83,2014,d5,22.20289375948653
84,2015,d4,147.57635716283744
85,2015,d3,18.0064308681672
86,2015,d2,101.17899249732037
87,2015,d1,40.728831725616374
88,2015,d0,27.438370846731004
89,2015,d5,22.198562451310465
90,2016,d4,150.76632731908296
91,2016,d3,15.862808145766309
92,2016,d2,114.46945337620579
93,2016,d1,36.87031082529472
94,2016,d0,26.580921757770682
95,2016,d5,22.00966410642616
96,2017,d4,150.88568651120056
97,2017,d3,16.2915326902465
98,2017,d2,126.04501607717046
99,2017,d1,33.44051446945332
100,2017,d0,24.86602357984998
101,2017,d5,22.31902945878869
