,output,y2,month,y
1,1.3285919992800252,1.4015906943256984,-11,1.2555933042343521
2,1.543254736084237,1.6276672816451423,-10,1.4588421905233317
3,1.4476443324483643,1.516080187193448,-9,1.3792084777032807
4,1.1717949871754487,1.2265490707825224,-8,1.117040903568375
5,1.5028101516446923,1.564401745938892,-7,1.4412185573504928
6,1.2748773792917247,1.3319128830490932,-6,1.2178418755343563
7,1.3480920667776624,1.4074089906853258,-5,1.288775142869999
8,1.3049475768348107,1.3642712505062322,-4,1.2456239031633891
9,1.3005939792107273,1.3530666426675062,-3,1.2481213157539484
10,1.3350177743778966,1.3966228681996127,-2,1.2734126805561805
11,1.3854182603608873,1.5839018134365297,-1,1.186934707285245
12,1.5339130630427933,1.609206677766278,0,1.4586194483193087
13,1.1166291679791203,1.1828038518651844,1,1.050454484093056
14,1.2468726094586686,1.3312919047833325,2,1.1624533141340048
15,1.1763645772397964,1.242532511362102,3,1.1101966431174908
16,0.9963416280430182,1.0625028124015656,4,0.9301804436844707
17,1.0490235341763037,1.103770868019619,5,0.9942762003329884
