,output,month,y,y2
0,100.2202090326518,-11,99.96965851007018,100.47075955523341
1,102.45846048214833,-10,102.0,103.0
2,100.6621910283796,-9,100.41053555080865,100.91384650595054
3,100.76682178822094,-8,100.51490473375038,101.01873884269149
4,100.87141440341776,-7,100.61923586740922,101.1235929394263
5,100.82087274946598,-6,100.56882056759231,101.07292493133964
6,100.92557979859627,-5,100.67326584909979,101.17789374809276
7,100.79741379310344,-4,100.5454202586207,101.0494073275862
8,101.03139304241684,-3,100.7788145598108,101.28397152502288
9,100.46349557522124,-2,100.2123368362832,100.71465431415929
10,100.36126792798292,-1,100.11036475816297,100.61217109780287
11,99.89697131522736,0,99.6472288869393,100.14671374351542
12,100.13091241989623,1,99.8805851388465,100.38123970094597
13,100.40360848336891,2,100.1525994621605,100.65461750457733
14,100.7797146780592,3,100.52776539136406,101.03166396475433
15,100.06972841013122,4,99.81955408910589,100.31990273115655
16,100.2131522734208,5,99.96261939273725,100.46368515410435
