,hours,month
0,5.1034482758620685,-11
1,4.818965517241379,-10
2,4.961206896551724,-9
3,5.116379310344827,-8
4,4.586206896551724,-7
5,5.206896551724137,-6
6,4.702586206896552,-5
7,5.232758620689655,-4
8,5.297413793103448,-3
9,5.09051724137931,-2
10,5.594827586206896,-1
11,4.974137931034482,0
12,7.612068965517241,1
13,6.849137931034482,2
14,6.771551724137931,3
15,7.030172413793103,4
16,6.926724137931034,5
