,Year,Total,65+
0,2006.0,19.0,2222
1,2007.0,19.2,2224
2,2008.0,19.1,2186
3,2009.0,19.6,2202
4,2010.0,20.2,2225
5,2011.0,20.1,2175
6,2012.0,20.0,2092
7,2013.0,19.5,1990
8,2014.0,19.3,1920
9,2015.0,18.8,1839
10,2016.0,18.5,1786
11,2017.0,18.7,1775
12,2018.0,18.8,1760
13,2019.0,19.2,1768
14,2020.0,19.7,1786
