,year,normalized_2020USD_price_1990_2000_100
1,1861.0,42.55543316651576
2,1862.0,82.07119253542326
3,1863.0,199.63263049157004
4,1864.0,402.1238977723474
5,1865.0,335.9311545394032
6,1866.0,199.31575330031362
7,1867.0,134.55209116351702
8,1868.0,212.79887778827595
9,1869.0,213.3851005921004
10,1870.0,238.19158134340879
11,1871.0,282.68966317756895
12,1872.0,237.09455621344492
13,1873.0,119.19863677763851
14,1874.0,80.69184476171863
15,1875.0,95.92736789854665
16,1876.0,187.59129722382454
17,1877.0,177.3323981568966
18,1878.0,96.22139814497895
19,1879.0,72.02165875557547
20,1880.0,76.81540188044539
21,1881.0,69.53815328124529
22,1882.0,63.06948785973411
23,1883.0,83.74611483206453
24,1884.0,72.95217114259843
25,1885.0,76.42608405415073
26,1886.0,61.66195418005343
27,1887.0,58.18804126850113
28,1888.0,76.42608405415073
29,1889.0,81.6369534214792
30,1890.0,75.55760582626266
31,1891.0,58.18804126850113
32,1892.0,48.634780761732294
33,1893.0,55.58260658483691
34,1894.0,75.75802387885221
35,1895.0,127.5620821122007
36,1896.0,110.67886536205648
37,1897.0,74.09856240341071
38,1898.0,85.35404023684016
39,1899.0,120.99638670936683
40,1900.0,111.6168218481756
41,1901.0,90.04382266743578
42,1902.0,72.15049893224021
43,1903.0,81.6369534214792
44,1904.0,74.68912759837458
45,1905.0,53.84565012906075
46,1906.0,63.39891063582959
47,1907.0,60.29720267908646
48,1908.0,62.53043240794152
49,1909.0,60.79347595216535
50,1910.0,51.08513004755937
51,1911.0,51.08513004755938
52,1912.0,59.83515514897852
53,1913.0,75.00493786306119
54,1914.0,63.09482925787114
55,1915.0,49.356283581382435
56,1916.0,78.87578388043744
57,1917.0,95.24984252793114
58,1918.0,102.92979533261189
59,1919.0,91.00887452723163
60,1920.0,120.00155428948187
61,1921.0,75.70146293328636
62,1922.0,75.20606045645467
63,1923.0,61.491489658648646
64,1924.0,65.48706772459613
65,1925.0,75.04043008542473
66,1926.0,83.1784127619319
67,1927.0,58.61701139358437
68,1928.0,53.47032575376193
69,1929.0,58.040439066049274
70,1930.0,55.81085369783805
71,1931.0,33.42340971121584
72,1932.0,49.875504238343304
73,1933.0,40.48338468904714
74,1934.0,58.47990015928808
75,1935.0,55.33472514308456
76,1936.0,61.59953331127412
77,1937.0,64.3559392162901
78,1938.0,62.79765045119351
79,1939.0,57.499750707261434
80,1940.0,56.94832849756012
81,1941.0,60.62917751884005
82,1942.0,57.17209403193164
83,1943.0,54.33365643416814
84,1944.0,53.847890918375555
85,1945.0,45.674494368781595
86,1946.0,44.88473365923494
87,1947.0,66.60158618623316
88,1948.0,64.72034170241125
89,1949.0,58.47629609255801
90,1950.0,55.61396196538856
91,1951.0,51.527655436975294
92,1952.0,50.44243960483931
93,1953.0,56.47846788494589
94,1954.0,56.206282497548564
95,1955.0,56.43310365371299
96,1956.0,55.616547491521004
97,1957.0,52.831700799048164
98,1958.0,56.3375175360893
99,1959.0,55.848618049227085
100,1960.0,50.21170098483784
101,1961.0,47.103585176532675
102,1962.0,46.59588186325269
103,1963.0,46.045869940532704
104,1964.0,45.41124079893271
105,1965.0,44.64968582901272
106,1966.0,43.43683902506607
107,1967.0,42.20988935130608
108,1968.0,40.517544973706116
109,1969.0,38.444423111146136
110,1970.0,36.300786899519494
111,1971.0,43.278886883156744
112,1972.0,46.45861393040292
113,1973.0,58.02382901938024
114,1974.0,184.08805034306056
115,1975.0,167.9359551965734
116,1976.0,176.2043894188539
117,1977.0,179.84355662490773
118,1978.0,168.47497851306287
119,1979.0,341.13231925272464
120,1980.0,350.1946434904662
121,1981.0,309.69081554397974
122,1982.0,267.68659628416447
123,1983.0,232.45192045068848
124,1984.0,217.02523432131738
125,1985.0,200.67900250695027
126,1986.0,103.15511527088262
127,1987.0,127.1454226525288
128,1988.0,98.83957762447496
129,1989.0,115.16151559521992
130,1990.0,142.22653875785196
131,1991.0,115.05559303594417
132,1992.0,107.8954790980666
133,1993.0,92.02181784843775
134,1994.0,83.62345430695812
135,1995.0,87.48323792942656
136,1996.0,103.20975878125394
137,1997.0,93.20189567258859
138,1998.0,61.12042209376267
139,1999.0,84.51036015912807
140,2000.0,129.65144231658175
141,2001.0,108.1401007646907
142,2002.0,108.980210935062
143,2003.0,122.76438792232243
144,2004.0,158.7101680510536
145,2005.0,218.72442032692481
146,2006.0,253.17411611252686
147,2007.0,273.53994555018824
148,2008.0,353.9168114085912
149,2009.0,225.22450647211673
150,2010.0,285.63385375460564
151,2011.0,387.5181985368454
152,2012.0,381.0744364138978
153,2013.0,365.4458239202021
154,2014.0,327.4680722725355
155,2015.0,173.17174169279193
156,2016.0,142.768360308647
157,2017.0,173.2187710560179
158,2018.0,222.49844116690656
159,2019.0,196.7813110244809
160,2020.0,126.65629300572145
