,year,co2_emissions_1990_100,population_1990_100
0,1965,51.92703922655678,62.917003651098426
1,1966,54.271398286801656,64.24371430336087
2,1967,55.94504502184057,65.56040725898995
3,1968,58.94256741023117,66.90818467809073
4,1969,62.57251813602937,68.3053459652978
5,1970,66.32219327138148,69.73378339990917
6,1971,68.50646251545527,71.22128649310187
7,1972,71.75801720521602,72.66794136336647
8,1973,75.79101308447622,74.10890548785845
9,1974,75.36167488722394,75.53887340153251
10,1975,76.83550369981049,76.94074924985276
11,1976,81.11558383553201,78.32189700262042
12,1977,83.62175553484019,79.69222892178325
13,1978,85.2159977515075,81.08526516924559
14,1979,87.90464051356594,82.51402142683112
15,1980,86.86883566341285,83.9569119738988
16,1981,85.45784923843748,85.43796872185489
17,1982,84.55417347548577,86.97627122003824
18,1983,85.10936762834851,88.52820973553864
19,1984,88.3324201646828,90.07490848617775
20,1985,90.2183827503582,91.65027437290767
21,1986,91.73091926410736,93.27092689078675
22,1987,94.48344438473171,94.93394862210309
23,1988,97.61494193941671,96.6144534015447
24,1989,99.48703016224813,98.29416197581621
25,1990,100.0,100.0
26,1991,100.2573381991978,101.66842050994094
27,1992,100.4284256088517,103.26759175702469
28,1993,100.69541975108353,104.88328039778536
29,1994,101.69213521369463,106.47796791507405
30,1995,103.02669978513397,108.08151664288049
31,1996,105.82265624015304,109.65161106048042
32,1997,106.61069660459776,111.21657985994977
33,1998,106.87881973710283,112.7642789048863
34,1999,108.19105217546436,114.2886162408988
35,2000,110.66885552147367,115.80074124034692
36,2001,112.1878551144534,117.30336405002477
37,2002,114.77968362230808,118.80110315233885
38,2003,120.47176831806763,120.29975249291837
39,2004,126.72741360701185,121.80862825936964
40,2005,131.78705059733343,123.32748909016343
41,2006,135.88411281517517,124.86130687371183
42,2007,140.75121309941557,126.40426950166534
43,2008,142.03753851156694,127.97276202037158
44,2009,139.05139520004,129.53625988571292
45,2010,145.21119336211717,131.09501214854546
46,2011,149.29993683754043,132.62916244813027
47,2012,150.83824590153162,134.19940487580166
48,2013,153.47018888308492,135.78811750207115
49,2014,153.79278185062313,137.39071053746346
50,2015,154.09663907809968,138.99645042038284
51,2016,154.81934313393987,140.61401370386824
52,2017,156.51310906639347,142.22243691563406
53,2018,159.40991820276972,143.79563126829186
54,2019,159.43550110974036,145.32724244231673
55,2020,149.81797087590968,146.8328193739315
