,value,time
0,-3.387909611448112,2006-01-01 00:36:40.088009914
1,-3.6313620658058983,2006-01-13 04:55:21.009142108
2,-3.91733822112878,2006-01-18 17:47:28.700565827
3,-4.330396790335474,2006-01-27 14:22:53.006843784
4,-4.553006270506252,2006-01-23 04:05:10.853704806
5,-4.913084745296388,2006-02-01 00:40:35.159982770
6,-5.2733493873289845,2006-02-01 00:40:35.159982770
7,-5.675905021273604,2006-02-05 10:58:17.313121748
8,-6.173824825168023,2006-02-09 21:15:59.466260726
9,-6.698234676270722,2006-02-14 07:33:41.619399705
10,-7.01063106608596,2006-02-23 04:09:05.925677662
11,-6.602567984551918,2006-02-28 17:01:13.617101386
12,-6.205124192806501,2006-03-05 03:18:55.770240367
13,-5.6582811889874485,2006-03-09 08:17:44.815722398
14,-5.035142195027493,2006-03-13 18:35:26.968861377
15,-4.488289882846317,2006-03-18 10:12:02.229657305
16,-4.106595839812961,2006-03-29 17:15:10.720161695
17,-4.106391055846256,2006-04-08 11:06:07.457067453
18,-4.646206246262466,2006-05-06 03:26:45.914186070
19,-4.181826022490782,2006-05-19 05:00:59.265946060
20,-4.550679179975511,2006-05-13 21:27:44.682179280
21,-3.893353674725265,2006-05-31 14:38:33.294735200
22,-3.914243190722893,2006-06-15 00:06:05.292436884
23,-4.041185979174866,2006-06-24 23:15:55.136999582
24,-4.4543609029081,2006-06-28 06:59:11.751853818
25,-5.503203876018805,2006-07-06 01:00:10.519847036
26,-5.8634685180514055,2006-07-06 01:00:10.519847036
27,-6.266024151996017,2006-07-10 11:17:52.672986014
28,-6.626288794028618,2006-07-10 11:17:52.672986014
29,-7.092443812178406,2006-07-13 19:01:09.287840244
30,-7.494976175217715,2006-07-19 07:53:16.979263972
31,-7.759923189111124,2006-07-17 02:44:25.902694482
32,-8.109428915923257,2006-07-24 20:45:24.670687690
33,-7.966126681040169,2006-08-06 01:04:05.591819876
34,-7.473225635723715,2006-08-14 21:39:29.898097840
35,-6.98032459040726,2006-08-23 18:14:54.204375800
36,-6.646394856214226,2006-08-31 03:24:24.459607428
37,-5.565383735000228,2006-09-10 11:25:42.816931720
38,-6.010463069909935,2006-09-08 06:16:51.740362228
39,-6.328390178219902,2006-09-06 01:08:00.663792740
40,-5.132861380594406,2006-09-20 05:16:39.553837468
41,-5.183508178905473,2006-09-30 09:45:22.506057120
42,-5.501342203594209,2006-10-02 14:54:13.582626612
43,-5.628308262951492,2006-10-11 11:29:37.888904568
44,-6.518280765528445,2006-10-15 21:47:20.042043552
