,year,value,country,kind
148,2002,,Hungary,creation
149,2002,,Italy,creation
150,2002,,Latvia,creation
151,2002,150.0854,Lithuania,creation
152,2002,,Malta,creation
153,2002,,Netherlands,creation
154,2002,,Poland,creation
155,2002,,Portugal,creation
156,2002,,Romania,creation
157,2002,225.0188,Slovakia,creation
158,2002,,Slovenia,creation
159,2002,,Spain,creation
160,2002,,Switzerland,creation
161,2002,252.4087,United Kingdom,creation
162,2002,72.48106,Belgium,destruction
163,2002,,Croatia,destruction
164,2002,,Czech Republic,destruction
165,2002,56.40313,Germany,destruction
166,2002,,Hungary,destruction
167,2002,,Italy,destruction
168,2002,,Latvia,destruction
169,2002,150.3195,Lithuania,destruction
170,2002,,Malta,destruction
171,2002,,Netherlands,destruction
172,2002,,Poland,destruction
173,2002,,Portugal,destruction
174,2002,,Romania,destruction
175,2002,78.24751,Slovakia,destruction
176,2002,,Slovenia,destruction
177,2002,,Spain,destruction
178,2002,,Switzerland,destruction
179,2002,144.2505,United Kingdom,destruction
180,2003,147.5941,Belgium,creation
181,2003,98.38583,Croatia,creation
182,2003,,Czech Republic,creation
183,2003,408.1968,Germany,creation
184,2003,,Hungary,creation
185,2003,,Italy,creation
186,2003,,Latvia,creation
187,2003,118.3991,Lithuania,creation
188,2003,,Malta,creation
189,2003,,Netherlands,creation
190,2003,119.2928,Poland,creation
191,2003,,Portugal,creation
192,2003,,Romania,creation
193,2003,137.6899,Slovakia,creation
194,2003,105.4307,Slovenia,creation
195,2003,,Spain,creation
196,2003,,Switzerland,creation
197,2003,191.7617,United Kingdom,creation
198,2003,71.41135,Belgium,destruction
199,2003,132.8347,Croatia,destruction
200,2003,,Czech Republic,destruction
201,2003,56.09869,Germany,destruction
202,2003,,Hungary,destruction
203,2003,,Italy,destruction
204,2003,,Latvia,destruction
205,2003,157.1333,Lithuania,destruction
206,2003,,Malta,destruction
207,2003,,Netherlands,destruction
208,2003,103.2842,Poland,destruction
209,2003,,Portugal,destruction
210,2003,,Romania,destruction
211,2003,69.64293,Slovakia,destruction
212,2003,63.66752,Slovenia,destruction
213,2003,,Spain,destruction
214,2003,,Switzerland,destruction
215,2003,120.5477,United Kingdom,destruction
216,2004,120.1229,Belgium,creation
217,2004,86.16207,Croatia,creation
218,2004,,Czech Republic,creation
219,2004,152.2629,Germany,creation
220,2004,132.2546,Hungary,creation
221,2004,,Italy,creation
222,2004,,Latvia,creation
223,2004,144.1708,Lithuania,creation
224,2004,,Malta,creation
225,2004,,Netherlands,creation
226,2004,103.9999,Poland,creation
227,2004,,Portugal,creation
228,2004,,Romania,creation
229,2004,151.3859,Slovakia,creation
230,2004,84.64706,Slovenia,creation
231,2004,,Spain,creation
232,2004,,Switzerland,creation
233,2004,160.5175,United Kingdom,creation
234,2004,76.04073,Belgium,destruction
235,2004,125.4229,Croatia,destruction
236,2004,,Czech Republic,destruction
237,2004,80.14414,Germany,destruction
238,2004,93.4511,Hungary,destruction
239,2004,,Italy,destruction
240,2004,,Latvia,destruction
241,2004,131.1338,Lithuania,destruction
242,2004,,Malta,destruction
243,2004,,Netherlands,destruction
244,2004,122.337,Poland,destruction
245,2004,,Portugal,destruction
246,2004,,Romania,destruction
247,2004,79.7923,Slovakia,destruction
248,2004,103.0826,Slovenia,destruction
249,2004,,Spain,destruction
250,2004,,Switzerland,destruction
251,2004,124.6777,United Kingdom,destruction
252,2005,111.5592,Belgium,creation
253,2005,83.0163,Croatia,creation
254,2005,,Czech Republic,creation
255,2005,154.5492,Germany,creation
256,2005,142.9818,Hungary,creation
257,2005,,Italy,creation
258,2005,,Latvia,creation
259,2005,143.8232,Lithuania,creation
260,2005,,Malta,creation
261,2005,,Netherlands,creation
262,2005,88.51353,Poland,creation
263,2005,60.00615,Portugal,creation
264,2005,,Romania,creation
265,2005,127.7299,Slovakia,creation
266,2005,80.84386,Slovenia,creation
267,2005,,Spain,creation
268,2005,,Switzerland,creation
269,2005,152.4328,United Kingdom,creation
270,2005,84.5915,Belgium,destruction
271,2005,115.7549,Croatia,destruction
272,2005,,Czech Republic,destruction
273,2005,79.54293,Germany,destruction
274,2005,95.34241,Hungary,destruction
275,2005,,Italy,destruction
276,2005,,Latvia,destruction
277,2005,112.0921,Lithuania,destruction
278,2005,,Malta,destruction
279,2005,,Netherlands,destruction
280,2005,122.5882,Poland,destruction
281,2005,83.83519,Portugal,destruction
282,2005,,Romania,destruction
283,2005,77.2752,Slovakia,destruction
284,2005,96.57948,Slovenia,destruction
285,2005,,Spain,destruction
286,2005,,Switzerland,destruction
287,2005,133.3336,United Kingdom,destruction
288,2006,105.7981,Belgium,creation
289,2006,64.4459,Croatia,creation
290,2006,95.03896,Czech Republic,creation
291,2006,119.9653,Germany,creation
292,2006,126.0884,Hungary,creation
293,2006,,Italy,creation
294,2006,,Latvia,creation
295,2006,136.7283,Lithuania,creation
296,2006,,Malta,creation
297,2006,,Netherlands,creation
298,2006,70.62592,Poland,creation
299,2006,103.0697,Portugal,creation
300,2006,156.3924,Romania,creation
301,2006,91.56709,Slovakia,creation
302,2006,98.54941,Slovenia,creation
303,2006,,Spain,creation
304,2006,,Switzerland,creation
305,2006,160.8804,United Kingdom,creation
306,2006,97.78417,Belgium,destruction
307,2006,140.0027,Croatia,destruction
308,2006,103.2423,Czech Republic,destruction
309,2006,93.45069,Germany,destruction
310,2006,111.5086,Hungary,destruction
311,2006,,Italy,destruction
312,2006,,Latvia,destruction
313,2006,119.3492,Lithuania,destruction
314,2006,,Malta,destruction
315,2006,,Netherlands,destruction
316,2006,152.5079,Poland,destruction
317,2006,167.7786,Portugal,destruction
318,2006,90.82314,Romania,destruction
319,2006,90.06963,Slovakia,destruction
320,2006,127.6074,Slovenia,destruction
321,2006,,Spain,destruction
322,2006,,Switzerland,destruction
323,2006,124.889,United Kingdom,destruction
324,2007,103.7698,Belgium,creation
325,2007,59.05064,Croatia,creation
326,2007,90.57666,Czech Republic,creation
327,2007,104.7094,Germany,creation
328,2007,128.8011,Hungary,creation
329,2007,163.3013,Italy,creation
330,2007,,Latvia,creation
331,2007,137.6386,Lithuania,creation
332,2007,,Malta,creation
333,2007,,Netherlands,creation
334,2007,67.14157,Poland,creation
335,2007,81.5931,Portugal,creation
336,2007,140.1897,Romania,creation
337,2007,90.25753,Slovakia,creation
338,2007,74.06882,Slovenia,creation
339,2007,,Spain,creation
340,2007,,Switzerland,creation
341,2007,128.3268,United Kingdom,creation
342,2007,98.70531,Belgium,destruction
343,2007,154.041,Croatia,destruction
344,2007,107.8708,Czech Republic,destruction
345,2007,99.12491,Germany,destruction
346,2007,110.5159,Hungary,destruction
347,2007,118.7835,Italy,destruction
348,2007,,Latvia,destruction
349,2007,109.7299,Lithuania,destruction
350,2007,,Malta,destruction
351,2007,,Netherlands,destruction
352,2007,153.312,Poland,destruction
353,2007,157.9482,Portugal,destruction
354,2007,101.3961,Romania,destruction
355,2007,106.1306,Slovakia,destruction
356,2007,100.8583,Slovenia,destruction
357,2007,,Spain,destruction
358,2007,,Switzerland,destruction
359,2007,133.7746,United Kingdom,destruction
360,2008,111.4356,Belgium,creation
361,2008,71.55101,Croatia,creation
362,2008,125.5924,Czech Republic,creation
363,2008,131.8869,Germany,creation
364,2008,149.0147,Hungary,creation
365,2008,91.20441,Italy,creation
366,2008,186.9102,Latvia,creation
367,2008,186.8304,Lithuania,creation
368,2008,,Malta,creation
369,2008,111.7189,Netherlands,creation
370,2008,105.2789,Poland,creation
371,2008,84.42881,Portugal,creation
372,2008,141.5237,Romania,creation
373,2008,93.43531,Slovakia,creation
374,2008,83.13927,Slovenia,creation
375,2008,,Spain,creation
376,2008,,Switzerland,creation
377,2008,124.9868,United Kingdom,creation
378,2008,86.70994,Belgium,destruction
379,2008,134.07,Croatia,destruction
380,2008,91.59636,Czech Republic,destruction
381,2008,85.96924,Germany,destruction
382,2008,104.0472,Hungary,destruction
383,2008,110.3392,Italy,destruction
384,2008,77.43906,Latvia,destruction
385,2008,79.10476,Lithuania,destruction
386,2008,,Malta,destruction
387,2008,141.7363,Netherlands,destruction
388,2008,121.0587,Poland,destruction
389,2008,167.5922,Portugal,destruction
390,2008,87.72157,Romania,destruction
391,2008,90.39552,Slovakia,destruction
392,2008,87.75087,Slovenia,destruction
393,2008,,Spain,destruction
394,2008,,Switzerland,destruction
395,2008,121.2278,United Kingdom,destruction
396,2009,206.6262,Belgium,creation
397,2009,133.0495,Croatia,creation
398,2009,238.1123,Czech Republic,creation
399,2009,190.798,Germany,creation
400,2009,207.0919,Hungary,creation
401,2009,152.2361,Italy,creation
402,2009,356.8982,Latvia,creation
403,2009,385.9839,Lithuania,creation
404,2009,,Malta,creation
405,2009,181.4756,Netherlands,creation
406,2009,135.1131,Poland,creation
407,2009,111.3635,Portugal,creation
408,2009,244.7208,Romania,creation
409,2009,220.7025,Slovakia,creation
410,2009,173.0696,Slovenia,creation
411,2009,171.0477,Spain,creation
412,2009,,Switzerland,creation
413,2009,173.6086,United Kingdom,creation
414,2009,56.99038,Belgium,destruction
415,2009,71.5303,Croatia,destruction
416,2009,57.38903,Czech Republic,destruction
417,2009,68.65943,Germany,destruction
418,2009,53.76946,Hungary,destruction
419,2009,80.40014,Italy,destruction
420,2009,24.8115,Latvia,destruction
421,2009,37.66011,Lithuania,destruction
422,2009,,Malta,destruction
423,2009,93.31199,Netherlands,destruction
424,2009,75.63647,Poland,destruction
425,2009,112.4167,Portugal,destruction
426,2009,42.89532,Romania,destruction
427,2009,50.2653,Slovakia,destruction
428,2009,45.56646,Slovenia,destruction
429,2009,53.84429,Spain,destruction
430,2009,,Switzerland,destruction
431,2009,100.7881,United Kingdom,destruction
432,2010,121.2633,Belgium,creation
433,2010,132.6921,Croatia,creation
434,2010,128.9944,Czech Republic,creation
435,2010,127.495,Germany,creation
436,2010,127.454,Hungary,creation
437,2010,150.4475,Italy,creation
438,2010,190.1294,Latvia,creation
439,2010,209.7026,Lithuania,creation
440,2010,,Malta,creation
441,2010,153.3463,Netherlands,creation
442,2010,83.51929,Poland,creation
443,2010,92.46149,Portugal,creation
444,2010,173.7491,Romania,creation
445,2010,122.9135,Slovakia,creation
446,2010,120.2032,Slovenia,creation
447,2010,106.1134,Spain,creation
448,2010,139.9596,Switzerland,creation
449,2010,164.8145,United Kingdom,creation
450,2010,79.94159,Belgium,destruction
451,2010,79.6053,Croatia,destruction
452,2010,82.77228,Czech Republic,destruction
453,2010,98.13952,Germany,destruction
454,2010,88.8656,Hungary,destruction
455,2010,89.35237,Italy,destruction
456,2010,64.10793,Latvia,destruction
457,2010,59.6956,Lithuania,destruction
458,2010,,Malta,destruction
459,2010,88.42707,Netherlands,destruction
460,2010,105.8101,Poland,destruction
461,2010,129.4319,Portugal,destruction
462,2010,67.19315,Romania,destruction
463,2010,85.91089,Slovakia,destruction
464,2010,65.33866,Slovenia,destruction
465,2010,88.59966,Spain,destruction
466,2010,92.15437,Switzerland,destruction
467,2010,97.82392,United Kingdom,destruction
468,2011,100.0,Belgium,creation
469,2011,100.0,Croatia,creation
470,2011,100.0,Czech Republic,creation
471,2011,100.0,Germany,creation
472,2011,100.0,Hungary,creation
473,2011,100.0,Italy,creation
474,2011,100.0,Latvia,creation
475,2011,100.0,Lithuania,creation
476,2011,100.0,Malta,creation
477,2011,100.0,Netherlands,creation
478,2011,100.0,Poland,creation
479,2011,100.0,Portugal,creation
480,2011,100.0,Romania,creation
481,2011,100.0,Slovakia,creation
482,2011,100.0,Slovenia,creation
483,2011,100.0,Spain,creation
484,2011,100.0,Switzerland,creation
485,2011,100.0,United Kingdom,creation
486,2011,100.0,Belgium,destruction
487,2011,100.0,Croatia,destruction
488,2011,100.0,Czech Republic,destruction
489,2011,100.0,Germany,destruction
490,2011,100.0,Hungary,destruction
491,2011,100.0,Italy,destruction
492,2011,100.0,Latvia,destruction
493,2011,100.0,Lithuania,destruction
494,2011,100.0,Malta,destruction
495,2011,100.0,Netherlands,destruction
496,2011,100.0,Poland,destruction
497,2011,100.0,Portugal,destruction
498,2011,100.0,Romania,destruction
499,2011,100.0,Slovakia,destruction
500,2011,100.0,Slovenia,destruction
501,2011,100.0,Spain,destruction
502,2011,100.0,Switzerland,destruction
503,2011,100.0,United Kingdom,destruction
504,2012,127.9664,Belgium,creation
505,2012,112.8998,Croatia,creation
506,2012,108.7311,Czech Republic,creation
507,2012,107.1262,Germany,creation
508,2012,124.4199,Hungary,creation
509,2012,95.02731,Italy,creation
510,2012,87.86326,Latvia,creation
511,2012,105.4184,Lithuania,creation
512,2012,85.92812,Malta,creation
513,2012,103.3208,Netherlands,creation
514,2012,106.9654,Poland,creation
515,2012,131.2304,Portugal,creation
516,2012,108.0725,Romania,creation
517,2012,98.88348,Slovakia,creation
518,2012,94.13531,Slovenia,creation
519,2012,116.1699,Spain,creation
520,2012,113.7806,Switzerland,creation
521,2012,111.1652,United Kingdom,creation
522,2012,71.21366,Belgium,destruction
523,2012,106.5732,Croatia,destruction
524,2012,76.39828,Czech Republic,destruction
525,2012,83.17487,Germany,destruction
526,2012,75.66786,Hungary,destruction
527,2012,92.85867,Italy,destruction
528,2012,94.50889,Latvia,destruction
529,2012,90.57866,Lithuania,destruction
530,2012,84.54468,Malta,destruction
531,2012,93.42451,Netherlands,destruction
532,2012,82.32701,Poland,destruction
533,2012,82.23286,Portugal,destruction
534,2012,75.61682,Romania,destruction
535,2012,84.31579,Slovakia,destruction
536,2012,80.91383,Slovenia,destruction
537,2012,77.7826,Spain,destruction
538,2012,88.61222,Switzerland,destruction
539,2012,119.6588,United Kingdom,destruction
540,2013,141.4889,Belgium,creation
541,2013,108.9884,Croatia,creation
542,2013,114.4799,Czech Republic,creation
543,2013,109.7576,Germany,creation
544,2013,110.4655,Hungary,creation
545,2013,109.2058,Italy,creation
546,2013,93.83912,Latvia,creation
547,2013,95.7083,Lithuania,creation
548,2013,70.15897,Malta,creation
549,2013,137.6498,Netherlands,creation
550,2013,87.42358,Poland,creation
551,2013,105.4112,Portugal,creation
552,2013,114.2184,Romania,creation
553,2013,110.2971,Slovakia,creation
554,2013,97.56469,Slovenia,creation
555,2013,106.2365,Spain,creation
556,2013,109.0172,Switzerland,creation
557,2013,118.7864,United Kingdom,creation
558,2013,68.41269,Belgium,destruction
559,2013,126.7824,Croatia,destruction
560,2013,78.13949,Czech Republic,destruction
561,2013,78.20822,Germany,destruction
562,2013,72.7729,Hungary,destruction
563,2013,85.00407,Italy,destruction
564,2013,78.90062,Latvia,destruction
565,2013,84.73335,Lithuania,destruction
566,2013,95.04012,Malta,destruction
567,2013,84.59724,Netherlands,destruction
568,2013,103.7219,Poland,destruction
569,2013,108.1859,Portugal,destruction
570,2013,73.53156,Romania,destruction
571,2013,72.72185,Slovakia,destruction
572,2013,60.26106,Slovenia,destruction
573,2013,83.53213,Spain,destruction
574,2013,96.60526,Switzerland,destruction
575,2013,114.7315,United Kingdom,destruction
576,2014,123.1388,Belgium,creation
577,2014,122.6974,Croatia,creation
578,2014,82.58636,Czech Republic,creation
579,2014,109.0203,Germany,creation
580,2014,89.89478,Hungary,creation
581,2014,103.4725,Italy,creation
582,2014,96.00191,Latvia,creation
583,2014,92.5207,Lithuania,creation
584,2014,63.81353,Malta,creation
585,2014,111.1877,Netherlands,creation
586,2014,73.075,Poland,creation
587,2014,72.28692,Portugal,creation
588,2014,108.2361,Romania,creation
589,2014,77.43613,Slovakia,creation
590,2014,61.9123,Slovenia,creation
591,2014,92.73211,Spain,creation
592,2014,137.419,Switzerland,creation
593,2014,90.83952,United Kingdom,creation
594,2014,83.32635,Belgium,destruction
595,2014,129.1414,Croatia,destruction
596,2014,84.82129,Czech Republic,destruction
597,2014,82.71318,Germany,destruction
598,2014,104.4168,Hungary,destruction
599,2014,98.77893,Italy,destruction
600,2014,81.26984,Latvia,destruction
601,2014,89.5537,Lithuania,destruction
602,2014,119.7914,Malta,destruction
603,2014,105.3274,Netherlands,destruction
604,2014,115.9582,Poland,destruction
605,2014,149.9187,Portugal,destruction
606,2014,81.39353,Romania,destruction
607,2014,88.81208,Slovakia,destruction
608,2014,80.01201,Slovenia,destruction
609,2014,102.8059,Spain,destruction
610,2014,87.42704,Switzerland,destruction
611,2014,104.3649,United Kingdom,destruction
612,2015,105.9027,Belgium,creation
613,2015,73.39417,Croatia,creation
614,2015,78.75599,Czech Republic,creation
615,2015,114.6924,Germany,creation
616,2015,83.22565,Hungary,creation
617,2015,83.68153,Italy,creation
618,2015,110.6421,Latvia,creation
619,2015,102.88,Lithuania,creation
620,2015,70.9445,Malta,creation
621,2015,84.13204,Netherlands,creation
622,2015,70.5703,Poland,creation
623,2015,61.59535,Portugal,creation
624,2015,96.09879,Romania,creation
625,2015,64.38232,Slovakia,creation
626,2015,59.56815,Slovenia,creation
627,2015,52.20938,Spain,creation
628,2015,123.9878,Switzerland,creation
629,2015,87.4026,United Kingdom,creation
630,2015,85.43295,Belgium,destruction
631,2015,124.1507,Croatia,destruction
632,2015,91.92484,Czech Republic,destruction
633,2015,82.87281,Germany,destruction
634,2015,80.74916,Hungary,destruction
635,2015,102.3609,Italy,destruction
636,2015,74.85842,Latvia,destruction
637,2015,79.35901,Lithuania,destruction
638,2015,134.9021,Malta,destruction
639,2015,131.7246,Netherlands,destruction
640,2015,111.6894,Poland,destruction
641,2015,149.5675,Portugal,destruction
642,2015,90.23978,Romania,destruction
643,2015,96.78902,Slovakia,destruction
644,2015,88.96739,Slovenia,destruction
645,2015,127.7391,Spain,destruction
646,2015,85.42413,Switzerland,destruction
647,2015,120.1917,United Kingdom,destruction
648,2016,100.9169,Belgium,creation
649,2016,64.26189,Croatia,creation
650,2016,80.45763,Czech Republic,creation
651,2016,111.9817,Germany,creation
652,2016,89.91605,Hungary,creation
653,2016,74.56528,Italy,creation
654,2016,113.664,Latvia,creation
655,2016,104.8386,Lithuania,creation
656,2016,94.04048,Malta,creation
657,2016,79.87478,Netherlands,creation
658,2016,62.85767,Poland,creation
659,2016,65.31464,Portugal,creation
660,2016,97.32671,Romania,creation
