,year,cost markup index
0,1997,100.0
1,1998,100.9796
2,1999,98.4802
3,2000,97.53168
4,2001,98.06936
5,2002,94.17562
6,2003,95.83447
7,2004,100.2564
8,2005,102.7608
9,2006,97.16475
10,2007,105.7881
11,2008,107.7403
12,2009,102.5515
13,2010,109.901
14,2011,104.3553
15,2012,109.6453
16,2013,111.2783
17,2014,113.6355
18,2015,111.481
19,2016,108.3071
20,2017,105.0468
21,2018,104.5186
22,2019,106.2053
23,2020,105.1236
24,2021,110.9014
