,medalType,participantType,eventId,eventGender,eventName,disciplineId,disciplineName,gameId,gameName,gameSeason,name,country,ico2,ico3,year,sport,ico3eq
0,Gold,Athlete,foil-individual-men,Men,foil individual men,fencing,Fencing,athens-1896,Athens 1896,Summer,Eugène-Henri GRAVELOTTE,France,FR,FRA,1896,Fencing,FRA
1,Silver,Athlete,foil-individual-men,Men,foil individual men,fencing,Fencing,athens-1896,Athens 1896,Summer,Henri CALLOT,France,FR,FRA,1896,Fencing,FRA
2,Bronze,Athlete,foil-individual-men,Men,foil individual men,fencing,Fencing,athens-1896,Athens 1896,Summer,Athanasios Vouros,Greece,GR,GRE,1896,Fencing,GRE
3,Bronze,Athlete,foil-individual-men,Men,foil individual men,fencing,Fencing,athens-1896,Athens 1896,Summer,Periklis Pierrakos-Mavromikhalis,Greece,GR,GRE,1896,Fencing,GRE
4,Gold,Athlete,sabre-individual-men,Men,sabre individual men,fencing,Fencing,athens-1896,Athens 1896,Summer,Ioannis GEORGIADIS,Greece,GR,GRE,1896,Fencing,GRE
5,Silver,Athlete,sabre-individual-men,Men,sabre individual men,fencing,Fencing,athens-1896,Athens 1896,Summer,Tilemakhos Karakalos,Greece,GR,GRE,1896,Fencing,GRE
6,Bronze,Athlete,sabre-individual-men,Men,sabre individual men,fencing,Fencing,athens-1896,Athens 1896,Summer,Holger NIELSEN,Denmark,DK,DEN,1896,Fencing,DEN
7,Gold,Athlete,foil-masters-men,Men,foil masters men,fencing,Fencing,athens-1896,Athens 1896,Summer,Leon Pyrgos,Greece,GR,GRE,1896,Fencing,GRE
8,Silver,Athlete,foil-masters-men,Men,foil masters men,fencing,Fencing,athens-1896,Athens 1896,Summer,Joanni Perronet,France,FR,FRA,1896,Fencing,FRA
9,Gold,Athlete,marathon-men,Men,marathon men,athletics,Athletics,athens-1896,Athens 1896,Summer,Spyridon LOUIS,Greece,GR,GRE,1896,Athletics,GRE
10,Silver,Athlete,marathon-men,Men,marathon men,athletics,Athletics,athens-1896,Athens 1896,Summer,Kharilaos VASILAKOS,Greece,GR,GRE,1896,Athletics,GRE
11,Bronze,Athlete,marathon-men,Men,marathon men,athletics,Athletics,athens-1896,Athens 1896,Summer,Gyula KELLNER,Hungary,HU,HUN,1896,Athletics,HUN
12,Gold,Athlete,100m-men,Men,100m men,athletics,Athletics,athens-1896,Athens 1896,Summer,Thomas BURKE,United States of America,US,USA,1896,Athletics,USA
13,Silver,Athlete,100m-men,Men,100m men,athletics,Athletics,athens-1896,Athens 1896,Summer,Fritz HOFMANN,Germany,DE,GER,1896,Athletics,GER
14,Bronze,Athlete,100m-men,Men,100m men,athletics,Athletics,athens-1896,Athens 1896,Summer,Alajos SZOKOLYI,Hungary,HU,HUN,1896,Athletics,HUN
15,Bronze,Athlete,100m-men,Men,100m men,athletics,Athletics,athens-1896,Athens 1896,Summer,Francis LANE,United States of America,US,USA,1896,Athletics,USA
16,Gold,Athlete,1500m-men,Men,1500m men,athletics,Athletics,athens-1896,Athens 1896,Summer,Edwin FLACK,Australia,AU,AUS,1896,Athletics,AUS
17,Silver,Athlete,1500m-men,Men,1500m men,athletics,Athletics,athens-1896,Athens 1896,Summer,Arthur BLAKE,United States of America,US,USA,1896,Athletics,USA
18,Bronze,Athlete,1500m-men,Men,1500m men,athletics,Athletics,athens-1896,Athens 1896,Summer,Albin LERMUSIAUX,France,FR,FRA,1896,Athletics,FRA
19,Gold,Athlete,discus-throw-men,Men,discus throw men,athletics,Athletics,athens-1896,Athens 1896,Summer,Bob Garrett,United States of America,US,USA,1896,Athletics,USA
20,Silver,Athlete,discus-throw-men,Men,discus throw men,athletics,Athletics,athens-1896,Athens 1896,Summer,Panagiotis PARASKEVOPOULOS,Greece,GR,GRE,1896,Athletics,GRE
21,Bronze,Athlete,discus-throw-men,Men,discus throw men,athletics,Athletics,athens-1896,Athens 1896,Summer,Sotirios VERSIS,Greece,GR,GRE,1896,Athletics,GRE
22,Gold,Athlete,shot-put-men,Men,shot put men,athletics,Athletics,athens-1896,Athens 1896,Summer,Bob Garrett,United States of America,US,USA,1896,Athletics,USA
23,Silver,Athlete,shot-put-men,Men,shot put men,athletics,Athletics,athens-1896,Athens 1896,Summer,Miltiadis GOUSKOS,Greece,GR,GRE,1896,Athletics,GRE
24,Bronze,Athlete,shot-put-men,Men,shot put men,athletics,Athletics,athens-1896,Athens 1896,Summer,Georgios PAPASIDERIS,Greece,GR,GRE,1896,Athletics,GRE
25,Gold,Athlete,pole-vault-men,Men,pole vault men,athletics,Athletics,athens-1896,Athens 1896,Summer,William Welles HOYT,United States of America,US,USA,1896,Athletics,USA
26,Silver,Athlete,pole-vault-men,Men,pole vault men,athletics,Athletics,athens-1896,Athens 1896,Summer,Albert TYLER,United States of America,US,USA,1896,Athletics,USA
27,Bronze,Athlete,pole-vault-men,Men,pole vault men,athletics,Athletics,athens-1896,Athens 1896,Summer,Evangelos DAMASKOS,Greece,GR,GRE,1896,Athletics,GRE
28,Bronze,Athlete,pole-vault-men,Men,pole vault men,athletics,Athletics,athens-1896,Athens 1896,Summer,Ioannis THEODOROPOULOS,Greece,GR,GRE,1896,Athletics,GRE
29,Gold,Athlete,high-jump-men,Men,high jump men,athletics,Athletics,athens-1896,Athens 1896,Summer,Ellery CLARK,United States of America,US,USA,1896,Athletics,USA
30,Silver,Athlete,high-jump-men,Men,high jump men,athletics,Athletics,athens-1896,Athens 1896,Summer,Bob Garrett,United States of America,US,USA,1896,Athletics,USA
31,Silver,Athlete,high-jump-men,Men,high jump men,athletics,Athletics,athens-1896,Athens 1896,Summer,James B. Connolly,United States of America,US,USA,1896,Athletics,USA
32,Gold,Athlete,triple-jump-men,Men,triple jump men,athletics,Athletics,athens-1896,Athens 1896,Summer,James B. Connolly,United States of America,US,USA,1896,Athletics,USA
33,Silver,Athlete,triple-jump-men,Men,triple jump men,athletics,Athletics,athens-1896,Athens 1896,Summer,Alexandre TUFFERI,France,FR,FRA,1896,Athletics,FRA
34,Bronze,Athlete,triple-jump-men,Men,triple jump men,athletics,Athletics,athens-1896,Athens 1896,Summer,Ioannis PERSAKIS,Greece,GR,GRE,1896,Athletics,GRE
35,Gold,Athlete,long-jump-men,Men,long jump men,athletics,Athletics,athens-1896,Athens 1896,Summer,Ellery CLARK,United States of America,US,USA,1896,Athletics,USA
36,Silver,Athlete,long-jump-men,Men,long jump men,athletics,Athletics,athens-1896,Athens 1896,Summer,Bob Garrett,United States of America,US,USA,1896,Athletics,USA
37,Bronze,Athlete,long-jump-men,Men,long jump men,athletics,Athletics,athens-1896,Athens 1896,Summer,James B. Connolly,United States of America,US,USA,1896,Athletics,USA
38,Gold,Athlete,400m-men,Men,400m men,athletics,Athletics,athens-1896,Athens 1896,Summer,Thomas BURKE,United States of America,US,USA,1896,Athletics,USA
39,Silver,Athlete,400m-men,Men,400m men,athletics,Athletics,athens-1896,Athens 1896,Summer,Herbert JAMISON,United States of America,US,USA,1896,Athletics,USA
40,Bronze,Athlete,400m-men,Men,400m men,athletics,Athletics,athens-1896,Athens 1896,Summer,Charles GMELIN,Great Britain,GB,GBR,1896,Athletics,GBR
41,Gold,Athlete,110m-hurdles-men,Men,110m hurdles men,athletics,Athletics,athens-1896,Athens 1896,Summer,Tom Curtis,United States of America,US,USA,1896,Athletics,USA
42,Silver,Athlete,110m-hurdles-men,Men,110m hurdles men,athletics,Athletics,athens-1896,Athens 1896,Summer,Grantley GOULDING,Great Britain,GB,GBR,1896,Athletics,GBR
43,Gold,Athlete,800m-men,Men,800m men,athletics,Athletics,athens-1896,Athens 1896,Summer,Edwin FLACK,Australia,AU,AUS,1896,Athletics,AUS
44,Silver,Athlete,800m-men,Men,800m men,athletics,Athletics,athens-1896,Athens 1896,Summer,Nandor DANI,Hungary,HU,HUN,1896,Athletics,HUN
45,Bronze,Athlete,800m-men,Men,800m men,athletics,Athletics,athens-1896,Athens 1896,Summer,Dimitrios GOLEMIS,Greece,GR,GRE,1896,Athletics,GRE
46,Gold,Athlete,rope-climbing-men,Men,rope climbing men,gymnastics-artistic,Gymnastics Artistic,athens-1896,Athens 1896,Summer,Nikolaos ANDRIAKOPOULOS,Greece,GR,GRE,1896,Gymnastics,GRE
47,Silver,Athlete,rope-climbing-men,Men,rope climbing men,gymnastics-artistic,Gymnastics Artistic,athens-1896,Athens 1896,Summer,Thomas Xenakis,Greece,GR,GRE,1896,Gymnastics,GRE
48,Bronze,Athlete,rope-climbing-men,Men,rope climbing men,gymnastics-artistic,Gymnastics Artistic,athens-1896,Athens 1896,Summer,Fritz HOFMANN,Germany,DE,GER,1896,Gymnastics,GER
49,Gold,Athlete,rings-men,Men,rings men,gymnastics-artistic,Gymnastics Artistic,athens-1896,Athens 1896,Summer,Ioannis MITROPOULOS,Greece,GR,GRE,1896,Gymnastics,GRE
50,Silver,Athlete,rings-men,Men,rings men,gymnastics-artistic,Gymnastics Artistic,athens-1896,Athens 1896,Summer,Hermann WEINGÄRTNER,Germany,DE,GER,1896,Gymnastics,GER
51,Bronze,Athlete,rings-men,Men,rings men,gymnastics-artistic,Gymnastics Artistic,athens-1896,Athens 1896,Summer,Petros PERSAKIS,Greece,GR,GRE,1896,Gymnastics,GRE
52,Gold,Athlete,vault-men,Men,vault men,gymnastics-artistic,Gymnastics Artistic,athens-1896,Athens 1896,Summer,Carl SCHUHMANN,Germany,DE,GER,1896,Gymnastics,GER
53,Silver,Athlete,vault-men,Men,vault men,gymnastics-artistic,Gymnastics Artistic,athens-1896,Athens 1896,Summer,Louis ZUTTER,Switzerland,CH,SUI,1896,Gymnastics,SUI
54,Bronze,Athlete,vault-men,Men,vault men,gymnastics-artistic,Gymnastics Artistic,athens-1896,Athens 1896,Summer,Hermann WEINGÄRTNER,Germany,DE,GER,1896,Gymnastics,GER
55,Gold,Athlete,horizontal-bar-men,Men,horizontal bar men,gymnastics-artistic,Gymnastics Artistic,athens-1896,Athens 1896,Summer,Hermann WEINGÄRTNER,Germany,DE,GER,1896,Gymnastics,GER
56,Silver,Athlete,horizontal-bar-men,Men,horizontal bar men,gymnastics-artistic,Gymnastics Artistic,athens-1896,Athens 1896,Summer,Alfred FLATOW,Germany,DE,GER,1896,Gymnastics,GER
57,Gold,Athlete,parallel-bars-men,Men,parallel bars men,gymnastics-artistic,Gymnastics Artistic,athens-1896,Athens 1896,Summer,Alfred FLATOW,Germany,DE,GER,1896,Gymnastics,GER
58,Silver,Athlete,parallel-bars-men,Men,parallel bars men,gymnastics-artistic,Gymnastics Artistic,athens-1896,Athens 1896,Summer,Louis ZUTTER,Switzerland,CH,SUI,1896,Gymnastics,SUI
59,Gold,GameTeam,team-parallel-bars-men,Men,team parallel bars men,gymnastics-artistic,Gymnastics Artistic,athens-1896,Athens 1896,Summer,Germany team,Germany,DE,GER,1896,Gymnastics,GER
60,Silver,GameTeam,team-parallel-bars-men,Men,team parallel bars men,gymnastics-artistic,Gymnastics Artistic,athens-1896,Athens 1896,Summer,Panellinios Gymnastikos Syllogos #1,Greece,GR,GRE,1896,Gymnastics,GRE
61,Bronze,GameTeam,team-parallel-bars-men,Men,team parallel bars men,gymnastics-artistic,Gymnastics Artistic,athens-1896,Athens 1896,Summer,Ethnikos Gymnastikos Syllogos #2,Greece,GR,GRE,1896,Gymnastics,GRE
62,Gold,GameTeam,team-horizontal-bar-men,Men,team horizontal bar men,gymnastics-artistic,Gymnastics Artistic,athens-1896,Athens 1896,Summer,Germany team,Germany,DE,GER,1896,Gymnastics,GER
63,Gold,Athlete,pommel-horse-men,Men,pommel horse men,gymnastics-artistic,Gymnastics Artistic,athens-1896,Athens 1896,Summer,Louis ZUTTER,Switzerland,CH,SUI,1896,Gymnastics,SUI
64,Silver,Athlete,pommel-horse-men,Men,pommel horse men,gymnastics-artistic,Gymnastics Artistic,athens-1896,Athens 1896,Summer,Hermann WEINGÄRTNER,Germany,DE,GER,1896,Gymnastics,GER
65,Gold,Athlete,10km-men,Men,10km men,cycling-track,Cycling Track,athens-1896,Athens 1896,Summer,Paul MASSON,France,FR,FRA,1896,Cycling,FRA
66,Silver,Athlete,10km-men,Men,10km men,cycling-track,Cycling Track,athens-1896,Athens 1896,Summer,Léon FLAMENG,France,FR,FRA,1896,Cycling,FRA
67,Bronze,Athlete,10km-men,Men,10km men,cycling-track,Cycling Track,athens-1896,Athens 1896,Summer,Adolf SCHMAL,Austria,AT,AUT,1896,Cycling,AUT
68,Gold,Athlete,12-hour-race-men,Men,12-hour race men,cycling-track,Cycling Track,athens-1896,Athens 1896,Summer,Adolf SCHMAL,Austria,AT,AUT,1896,Cycling,AUT
69,Silver,Athlete,12-hour-race-men,Men,12-hour race men,cycling-track,Cycling Track,athens-1896,Athens 1896,Summer,Frederick Keeping,Great Britain,GB,GBR,1896,Cycling,GBR
70,Gold,Athlete,100km-men,Men,100km men,cycling-track,Cycling Track,athens-1896,Athens 1896,Summer,Léon FLAMENG,France,FR,FRA,1896,Cycling,FRA
71,Silver,Athlete,100km-men,Men,100km men,cycling-track,Cycling Track,athens-1896,Athens 1896,Summer,Georgios Koletis,Greece,GR,GRE,1896,Cycling,GRE
72,Gold,Athlete,sprint-individual-men,Men,Sprint individual men,cycling-track,Cycling Track,athens-1896,Athens 1896,Summer,Paul MASSON,France,FR,FRA,1896,Cycling,FRA
73,Silver,Athlete,sprint-individual-men,Men,Sprint individual men,cycling-track,Cycling Track,athens-1896,Athens 1896,Summer,Stamatios NIKOLOPOULOS,Greece,GR,GRE,1896,Cycling,GRE
74,Bronze,Athlete,sprint-individual-men,Men,Sprint individual men,cycling-track,Cycling Track,athens-1896,Athens 1896,Summer,Léon FLAMENG,France,FR,FRA,1896,Cycling,FRA
75,Gold,Athlete,1km-time-trial-men,Men,1km time trial men,cycling-track,Cycling Track,athens-1896,Athens 1896,Summer,Paul MASSON,France,FR,FRA,1896,Cycling,FRA
76,Silver,Athlete,1km-time-trial-men,Men,1km time trial men,cycling-track,Cycling Track,athens-1896,Athens 1896,Summer,Stamatios NIKOLOPOULOS,Greece,GR,GRE,1896,Cycling,GRE
77,Bronze,Athlete,1km-time-trial-men,Men,1km time trial men,cycling-track,Cycling Track,athens-1896,Athens 1896,Summer,Adolf SCHMAL,Austria,AT,AUT,1896,Cycling,AUT
78,Gold,Athlete,individual-road-race-men,Men,individual road race men,cycling-road,Cycling Road,athens-1896,Athens 1896,Summer,Aristidis KONSTANTINIDIS,Greece,GR,GRE,1896,Cycling,GRE
79,Silver,Athlete,individual-road-race-men,Men,individual road race men,cycling-road,Cycling Road,athens-1896,Athens 1896,Summer,Anton Gödrich,Germany,DE,GER,1896,Cycling,GER
80,Bronze,Athlete,individual-road-race-men,Men,individual road race men,cycling-road,Cycling Road,athens-1896,Athens 1896,Summer,Edward BATTEL,Great Britain,GB,GBR,1896,Cycling,GBR
81,Gold,Athlete,400m-freestyle-men,Men,400m freestyle men,swimming,Swimming,athens-1896,Athens 1896,Summer,Paul NEUMANN,Austria,AT,AUT,1896,Aquatics,AUT
82,Silver,Athlete,400m-freestyle-men,Men,400m freestyle men,swimming,Swimming,athens-1896,Athens 1896,Summer,Antonios PEPANOS,Greece,GR,GRE,1896,Aquatics,GRE
83,Bronze,Athlete,400m-freestyle-men,Men,400m freestyle men,swimming,Swimming,athens-1896,Athens 1896,Summer,Efstathios Khorafas,Greece,GR,GRE,1896,Aquatics,GRE
84,Gold,Athlete,1200m-freestyle-men,Men,1200m freestyle men,swimming,Swimming,athens-1896,Athens 1896,Summer,Alfred HAJOS,Hungary,HU,HUN,1896,Aquatics,HUN
85,Silver,Athlete,1200m-freestyle-men,Men,1200m freestyle men,swimming,Swimming,athens-1896,Athens 1896,Summer,Ioannis Andreou,Greece,GR,GRE,1896,Aquatics,GRE
86,Gold,Athlete,100m-freestyle-men,Men,100m freestyle men,swimming,Swimming,athens-1896,Athens 1896,Summer,Alfred HAJOS,Hungary,HU,HUN,1896,Aquatics,HUN
87,Silver,Athlete,100m-freestyle-men,Men,100m freestyle men,swimming,Swimming,athens-1896,Athens 1896,Summer,Otto HERSCHMANN,Austria,AT,AUT,1896,Aquatics,AUT
88,Gold,Athlete,100m-freestyle-for-sailors-men,Men,100m freestyle for sailors men,swimming,Swimming,athens-1896,Athens 1896,Summer,Ioannis MALOKINIS,Greece,GR,GRE,1896,Aquatics,GRE
89,Silver,Athlete,100m-freestyle-for-sailors-men,Men,100m freestyle for sailors men,swimming,Swimming,athens-1896,Athens 1896,Summer,Spyros Khazapis,Greece,GR,GRE,1896,Aquatics,GRE
90,Bronze,Athlete,100m-freestyle-for-sailors-men,Men,100m freestyle for sailors men,swimming,Swimming,athens-1896,Athens 1896,Summer,Dimitrios DRIVAS,Greece,GR,GRE,1896,Aquatics,GRE
91,Gold,Athlete,25m-army-pistol-men,Men,25m army pistol men,shooting,Shooting,athens-1896,Athens 1896,Summer,John Paine,United States of America,US,USA,1896,Shooting,USA
92,Silver,Athlete,25m-army-pistol-men,Men,25m army pistol men,shooting,Shooting,athens-1896,Athens 1896,Summer,Sumner PAINE,United States of America,US,USA,1896,Shooting,USA
93,Bronze,Athlete,25m-army-pistol-men,Men,25m army pistol men,shooting,Shooting,athens-1896,Athens 1896,Summer,Nikolaos Dorakis,Greece,GR,GRE,1896,Shooting,GRE
94,Gold,Athlete,army-rifle-200m-men,Men,army rifle 200m men,shooting,Shooting,athens-1896,Athens 1896,Summer,Pantelis KARASEVDAS,Greece,GR,GRE,1896,Shooting,GRE
95,Silver,Athlete,army-rifle-200m-men,Men,army rifle 200m men,shooting,Shooting,athens-1896,Athens 1896,Summer,Pavlos PAVLIDIS,Greece,GR,GRE,1896,Shooting,GRE
96,Bronze,Athlete,army-rifle-200m-men,Men,army rifle 200m men,shooting,Shooting,athens-1896,Athens 1896,Summer,Nikolaos Trikoupis,Greece,GR,GRE,1896,Shooting,GRE
97,Gold,Athlete,army-rifle-300m-men,Men,army rifle 300m men,shooting,Shooting,athens-1896,Athens 1896,Summer,Georgios Orfanidis,Greece,GR,GRE,1896,Shooting,GRE
98,Silver,Athlete,army-rifle-300m-men,Men,army rifle 300m men,shooting,Shooting,athens-1896,Athens 1896,Summer,Ioannis Frangoudis,Greece,GR,GRE,1896,Shooting,GRE
99,Bronze,Athlete,army-rifle-300m-men,Men,army rifle 300m men,shooting,Shooting,athens-1896,Athens 1896,Summer,Viggo JENSEN,Denmark,DK,DEN,1896,Shooting,DEN
100,Gold,Athlete,50m-pistol-60-shots-men,Men,50m pistol 60 shots men,shooting,Shooting,athens-1896,Athens 1896,Summer,Sumner PAINE,United States of America,US,USA,1896,Shooting,USA
101,Silver,Athlete,50m-pistol-60-shots-men,Men,50m pistol 60 shots men,shooting,Shooting,athens-1896,Athens 1896,Summer,Holger NIELSEN,Denmark,DK,DEN,1896,Shooting,DEN
102,Bronze,Athlete,50m-pistol-60-shots-men,Men,50m pistol 60 shots men,shooting,Shooting,athens-1896,Athens 1896,Summer,Ioannis Frangoudis,Greece,GR,GRE,1896,Shooting,GRE
103,Gold,Athlete,25m-rapid-fire-pistol-60-shots-men,Men,25m rapid fire pistol 60 shots men,shooting,Shooting,athens-1896,Athens 1896,Summer,Ioannis Frangoudis,Greece,GR,GRE,1896,Shooting,GRE
104,Silver,Athlete,25m-rapid-fire-pistol-60-shots-men,Men,25m rapid fire pistol 60 shots men,shooting,Shooting,athens-1896,Athens 1896,Summer,Georgios Orfanidis,Greece,GR,GRE,1896,Shooting,GRE
105,Bronze,Athlete,25m-rapid-fire-pistol-60-shots-men,Men,25m rapid fire pistol 60 shots men,shooting,Shooting,athens-1896,Athens 1896,Summer,Holger NIELSEN,Denmark,DK,DEN,1896,Shooting,DEN
106,Gold,Athlete,singles-men,Men,Singles men,tennis,Tennis,athens-1896,Athens 1896,Summer,John BOLAND,Great Britain,GB,GBR,1896,Racket Games,GBR
107,Silver,Athlete,singles-men,Men,Singles men,tennis,Tennis,athens-1896,Athens 1896,Summer,Demetrius Casdagli,Greece,GR,GRE,1896,Racket Games,GRE
108,Bronze,Athlete,singles-men,Men,Singles men,tennis,Tennis,athens-1896,Athens 1896,Summer,Momcsillo TAPAVICZA,Hungary,HU,HUN,1896,Racket Games,HUN
109,Bronze,Athlete,singles-men,Men,Singles men,tennis,Tennis,athens-1896,Athens 1896,Summer,Konstantinos PASPATIS,Greece,GR,GRE,1896,Racket Games,GRE
110,Gold,GameTeam,doubles-men,Men,doubles men,tennis,Tennis,athens-1896,Athens 1896,Summer,Mixed team #2,MIX,,MIX,1896,Racket Games,IOA
111,Silver,GameTeam,doubles-men,Men,doubles men,tennis,Tennis,athens-1896,Athens 1896,Summer,Greece team #1,Greece,GR,GRE,1896,Racket Games,GRE
112,Bronze,GameTeam,doubles-men,Men,doubles men,tennis,Tennis,athens-1896,Athens 1896,Summer,Mixed team #1,MIX,,MIX,1896,Racket Games,IOA
113,Gold,Athlete,unlimited-class-greco-roman-men,Men,"Unlimited Class, Greco-Roman Men",wrestling,Wrestling,athens-1896,Athens 1896,Summer,Carl SCHUHMANN,Germany,DE,GER,1896,Wrestling,GER
114,Silver,Athlete,unlimited-class-greco-roman-men,Men,"Unlimited Class, Greco-Roman Men",wrestling,Wrestling,athens-1896,Athens 1896,Summer,Georgios TSITAS,Greece,GR,GRE,1896,Wrestling,GRE
115,Bronze,Athlete,unlimited-class-greco-roman-men,Men,"Unlimited Class, Greco-Roman Men",wrestling,Wrestling,athens-1896,Athens 1896,Summer,Stefanos Khristopoulos,Greece,GR,GRE,1896,Wrestling,GRE
116,Gold,Athlete,heavyweight-one-hand-lift-men,Men,heavyweight - one hand lift men,weightlifting,Weightlifting,athens-1896,Athens 1896,Summer,Launceston ELLIOT,Great Britain,GB,GBR,1896,Weightlifting,GBR
117,Silver,Athlete,heavyweight-one-hand-lift-men,Men,heavyweight - one hand lift men,weightlifting,Weightlifting,athens-1896,Athens 1896,Summer,Viggo JENSEN,Denmark,DK,DEN,1896,Weightlifting,DEN
118,Bronze,Athlete,heavyweight-one-hand-lift-men,Men,heavyweight - one hand lift men,weightlifting,Weightlifting,athens-1896,Athens 1896,Summer,Alexandros Nikolopoulos,Greece,GR,GRE,1896,Weightlifting,GRE
119,Gold,Athlete,heavyweight-two-hand-lift-men,Men,heavyweight - two hand lift men,weightlifting,Weightlifting,athens-1896,Athens 1896,Summer,Viggo JENSEN,Denmark,DK,DEN,1896,Weightlifting,DEN
120,Silver,Athlete,heavyweight-two-hand-lift-men,Men,heavyweight - two hand lift men,weightlifting,Weightlifting,athens-1896,Athens 1896,Summer,Launceston ELLIOT,Great Britain,GB,GBR,1896,Weightlifting,GBR
121,Bronze,Athlete,heavyweight-two-hand-lift-men,Men,heavyweight - two hand lift men,weightlifting,Weightlifting,athens-1896,Athens 1896,Summer,Sotirios VERSIS,Greece,GR,GRE,1896,Weightlifting,GRE
122,Gold,Athlete,foil-masters-men,Men,foil masters men,fencing,Fencing,paris-1900,Paris 1900,Summer,Lucien MERIGNAC,France,FR,FRA,1900,Fencing,FRA
123,Silver,Athlete,foil-masters-men,Men,foil masters men,fencing,Fencing,paris-1900,Paris 1900,Summer,Alphonse KIRCHHOFFER,France,FR,FRA,1900,Fencing,FRA
124,Bronze,Athlete,foil-masters-men,Men,foil masters men,fencing,Fencing,paris-1900,Paris 1900,Summer,Jean-Baptiste MIMIAGUE,France,FR,FRA,1900,Fencing,FRA
125,Gold,Athlete,sabre-individual-men,Men,sabre individual men,fencing,Fencing,paris-1900,Paris 1900,Summer,"Gabriel, Count de la Falaise",France,FR,FRA,1900,Fencing,FRA
126,Silver,Athlete,sabre-individual-men,Men,sabre individual men,fencing,Fencing,paris-1900,Paris 1900,Summer,Léon THIEBAUT,France,FR,FRA,1900,Fencing,FRA
127,Bronze,Athlete,sabre-individual-men,Men,sabre individual men,fencing,Fencing,paris-1900,Paris 1900,Summer,Siegfried FLESCH,Austria,AT,AUT,1900,Fencing,AUT
128,Gold,Athlete,foil-individual-men,Men,foil individual men,fencing,Fencing,paris-1900,Paris 1900,Summer,Emile COSTE,France,FR,FRA,1900,Fencing,FRA
129,Silver,Athlete,foil-individual-men,Men,foil individual men,fencing,Fencing,paris-1900,Paris 1900,Summer,Henri MASSON,France,FR,FRA,1900,Fencing,FRA
130,Bronze,Athlete,foil-individual-men,Men,foil individual men,fencing,Fencing,paris-1900,Paris 1900,Summer,Marcel Jacques BOULENGER,France,FR,FRA,1900,Fencing,FRA
131,Gold,Athlete,pe-masters-men,Men,pe masters men,fencing,Fencing,paris-1900,Paris 1900,Summer,Albert AYAT,France,FR,FRA,1900,Fencing,FRA
132,Silver,Athlete,pe-masters-men,Men,pe masters men,fencing,Fencing,paris-1900,Paris 1900,Summer,Gilbert Bougnol,France,FR,FRA,1900,Fencing,FRA
133,Bronze,Athlete,pe-masters-men,Men,pe masters men,fencing,Fencing,paris-1900,Paris 1900,Summer,Henri LAURENT,France,FR,FRA,1900,Fencing,FRA
134,Gold,Athlete,epee-individual-men,Men,épée individual men,fencing,Fencing,paris-1900,Paris 1900,Summer,Ramon FONST,Cuba,CU,CUB,1900,Fencing,CUB
135,Silver,Athlete,epee-individual-men,Men,épée individual men,fencing,Fencing,paris-1900,Paris 1900,Summer,Louis PERREE,France,FR,FRA,1900,Fencing,FRA
136,Bronze,Athlete,epee-individual-men,Men,épée individual men,fencing,Fencing,paris-1900,Paris 1900,Summer,Léon SEE,France,FR,FRA,1900,Fencing,FRA
137,Gold,Athlete,sabre-masters-men,Men,sabre masters men,fencing,Fencing,paris-1900,Paris 1900,Summer,Antonio CONTE,Italy,IT,ITA,1900,Fencing,ITA
138,Silver,Athlete,sabre-masters-men,Men,sabre masters men,fencing,Fencing,paris-1900,Paris 1900,Summer,Italo SANTELLI,Italy,IT,ITA,1900,Fencing,ITA
139,Bronze,Athlete,sabre-masters-men,Men,sabre masters men,fencing,Fencing,paris-1900,Paris 1900,Summer,Milan NERALIC,Austria,AT,AUT,1900,Fencing,AUT
140,Gold,Athlete,pe-amateurs-and-masters-men,Men,pe amateurs and masters men,fencing,Fencing,paris-1900,Paris 1900,Summer,Albert AYAT,France,FR,FRA,1900,Fencing,FRA
141,Silver,Athlete,pe-amateurs-and-masters-men,Men,pe amateurs and masters men,fencing,Fencing,paris-1900,Paris 1900,Summer,Ramon FONST,Cuba,CU,CUB,1900,Fencing,CUB
142,Bronze,Athlete,pe-amateurs-and-masters-men,Men,pe amateurs and masters men,fencing,Fencing,paris-1900,Paris 1900,Summer,Léon SEE,France,FR,FRA,1900,Fencing,FRA
143,Gold,Athlete,25-kilometres-men,Men,25 kilometres men,cycling-track,Cycling Track,paris-1900,Paris 1900,Summer,Louis BASTIEN,France,FR,FRA,1900,Cycling,FRA
144,Silver,Athlete,25-kilometres-men,Men,25 kilometres men,cycling-track,Cycling Track,paris-1900,Paris 1900,Summer,Lloyd Hildebrand,Great Britain,GB,GBR,1900,Cycling,GBR
145,Bronze,Athlete,25-kilometres-men,Men,25 kilometres men,cycling-track,Cycling Track,paris-1900,Paris 1900,Summer,Auguste Daumain,France,FR,FRA,1900,Cycling,FRA
146,Gold,Athlete,sprint-individual-men,Men,Sprint individual men,cycling-track,Cycling Track,paris-1900,Paris 1900,Summer,Albert Taillandier,France,FR,FRA,1900,Cycling,FRA
147,Silver,Athlete,sprint-individual-men,Men,Sprint individual men,cycling-track,Cycling Track,paris-1900,Paris 1900,Summer,Fernand SANZ,France,FR,FRA,1900,Cycling,FRA
148,Bronze,Athlete,sprint-individual-men,Men,Sprint individual men,cycling-track,Cycling Track,paris-1900,Paris 1900,Summer,John Henry LAKE,United States of America,US,USA,1900,Cycling,USA
