,gameName,ico3,year,medalValue,medalRank,participantType,medalValueRunningAverage,medalRankRunningAverage,iso3,gdpPerCap,population,gameId,gameSeason,country,ico2,ico3eq,gameType,medalCount
1701,Athens 1896,AUS,1896,8,9.5,CountryOverall,8.0,9.5,,,,athens-1896,Summer,Australia,AU,AUS,Olympic Games,1
1701,Athens 1896,AUS,1896,8,9.5,CountryOverall,8.0,9.5,,,,athens-1896,Summer,Australia,AU,AUS,Olympic Games,1
1699,Athens 1896,AUT,1896,12,7.0,CountryOverall,12.0,7.0,,,,athens-1896,Summer,Austria,AT,AUT,Olympic Games,1
1699,Athens 1896,AUT,1896,12,7.0,CountryOverall,12.0,7.0,,,,athens-1896,Summer,Austria,AT,AUT,Olympic Games,1
1699,Athens 1896,AUT,1896,12,7.0,CountryOverall,12.0,7.0,,,,athens-1896,Summer,Austria,AT,AUT,Olympic Games,1
1699,Athens 1896,AUT,1896,12,7.0,CountryOverall,12.0,7.0,,,,athens-1896,Summer,Austria,AT,AUT,Olympic Games,1
1699,Athens 1896,AUT,1896,12,7.0,CountryOverall,12.0,7.0,,,,athens-1896,Summer,Austria,AT,AUT,Olympic Games,1
1700,Athens 1896,DEN,1896,11,8.0,CountryOverall,11.0,8.0,,,,athens-1896,Summer,Denmark,DK,DEN,Olympic Games,1
1700,Athens 1896,DEN,1896,11,8.0,CountryOverall,11.0,8.0,,,,athens-1896,Summer,Denmark,DK,DEN,Olympic Games,1
1700,Athens 1896,DEN,1896,11,8.0,CountryOverall,11.0,8.0,,,,athens-1896,Summer,Denmark,DK,DEN,Olympic Games,1
1700,Athens 1896,DEN,1896,11,8.0,CountryOverall,11.0,8.0,,,,athens-1896,Summer,Denmark,DK,DEN,Olympic Games,1
1700,Athens 1896,DEN,1896,11,8.0,CountryOverall,11.0,8.0,,,,athens-1896,Summer,Denmark,DK,DEN,Olympic Games,1
1700,Athens 1896,DEN,1896,11,8.0,CountryOverall,11.0,8.0,,,,athens-1896,Summer,Denmark,DK,DEN,Olympic Games,1
1696,Athens 1896,FRA,1896,30,4.0,CountryOverall,30.0,4.0,,,,athens-1896,Summer,France,FR,FRA,Olympic Games,1
1696,Athens 1896,FRA,1896,30,4.0,CountryOverall,30.0,4.0,,,,athens-1896,Summer,France,FR,FRA,Olympic Games,1
1696,Athens 1896,FRA,1896,30,4.0,CountryOverall,30.0,4.0,,,,athens-1896,Summer,France,FR,FRA,Olympic Games,1
1696,Athens 1896,FRA,1896,30,4.0,CountryOverall,30.0,4.0,,,,athens-1896,Summer,France,FR,FRA,Olympic Games,1
1696,Athens 1896,FRA,1896,30,4.0,CountryOverall,30.0,4.0,,,,athens-1896,Summer,France,FR,FRA,Olympic Games,1
1696,Athens 1896,FRA,1896,30,4.0,CountryOverall,30.0,4.0,,,,athens-1896,Summer,France,FR,FRA,Olympic Games,1
1696,Athens 1896,FRA,1896,30,4.0,CountryOverall,30.0,4.0,,,,athens-1896,Summer,France,FR,FRA,Olympic Games,1
1696,Athens 1896,FRA,1896,30,4.0,CountryOverall,30.0,4.0,,,,athens-1896,Summer,France,FR,FRA,Olympic Games,1
1696,Athens 1896,FRA,1896,30,4.0,CountryOverall,30.0,4.0,,,,athens-1896,Summer,France,FR,FRA,Olympic Games,1
1696,Athens 1896,FRA,1896,30,4.0,CountryOverall,30.0,4.0,,,,athens-1896,Summer,France,FR,FRA,Olympic Games,1
1696,Athens 1896,FRA,1896,30,4.0,CountryOverall,30.0,4.0,,,,athens-1896,Summer,France,FR,FRA,Olympic Games,1
1697,Athens 1896,GBR,1896,16,5.0,CountryOverall,16.0,5.0,,,,athens-1896,Summer,Great Britain,GB,GBR,Olympic Games,1
1697,Athens 1896,GBR,1896,16,5.0,CountryOverall,16.0,5.0,,,,athens-1896,Summer,Great Britain,GB,GBR,Olympic Games,1
1697,Athens 1896,GBR,1896,16,5.0,CountryOverall,16.0,5.0,,,,athens-1896,Summer,Great Britain,GB,GBR,Olympic Games,1
1697,Athens 1896,GBR,1896,16,5.0,CountryOverall,16.0,5.0,,,,athens-1896,Summer,Great Britain,GB,GBR,Olympic Games,1
1697,Athens 1896,GBR,1896,16,5.0,CountryOverall,16.0,5.0,,,,athens-1896,Summer,Great Britain,GB,GBR,Olympic Games,1
1697,Athens 1896,GBR,1896,16,5.0,CountryOverall,16.0,5.0,,,,athens-1896,Summer,Great Britain,GB,GBR,Olympic Games,1
1697,Athens 1896,GBR,1896,16,5.0,CountryOverall,16.0,5.0,,,,athens-1896,Summer,Great Britain,GB,GBR,Olympic Games,1
1695,Athens 1896,GER,1896,36,3.0,CountryOverall,36.0,3.0,,,,athens-1896,Summer,Germany,DE,GER,Olympic Games,1
1695,Athens 1896,GER,1896,36,3.0,CountryOverall,36.0,3.0,,,,athens-1896,Summer,Germany,DE,GER,Olympic Games,1
1695,Athens 1896,GER,1896,36,3.0,CountryOverall,36.0,3.0,,,,athens-1896,Summer,Germany,DE,GER,Olympic Games,1
1695,Athens 1896,GER,1896,36,3.0,CountryOverall,36.0,3.0,,,,athens-1896,Summer,Germany,DE,GER,Olympic Games,1
1695,Athens 1896,GER,1896,36,3.0,CountryOverall,36.0,3.0,,,,athens-1896,Summer,Germany,DE,GER,Olympic Games,1
1695,Athens 1896,GER,1896,36,3.0,CountryOverall,36.0,3.0,,,,athens-1896,Summer,Germany,DE,GER,Olympic Games,1
1695,Athens 1896,GER,1896,36,3.0,CountryOverall,36.0,3.0,,,,athens-1896,Summer,Germany,DE,GER,Olympic Games,1
1695,Athens 1896,GER,1896,36,3.0,CountryOverall,36.0,3.0,,,,athens-1896,Summer,Germany,DE,GER,Olympic Games,1
1695,Athens 1896,GER,1896,36,3.0,CountryOverall,36.0,3.0,,,,athens-1896,Summer,Germany,DE,GER,Olympic Games,1
1695,Athens 1896,GER,1896,36,3.0,CountryOverall,36.0,3.0,,,,athens-1896,Summer,Germany,DE,GER,Olympic Games,1
1695,Athens 1896,GER,1896,36,3.0,CountryOverall,36.0,3.0,,,,athens-1896,Summer,Germany,DE,GER,Olympic Games,1
1695,Athens 1896,GER,1896,36,3.0,CountryOverall,36.0,3.0,,,,athens-1896,Summer,Germany,DE,GER,Olympic Games,1
1695,Athens 1896,GER,1896,36,3.0,CountryOverall,36.0,3.0,,,,athens-1896,Summer,Germany,DE,GER,Olympic Games,1
1693,Athens 1896,GRE,1896,95,1.0,CountryOverall,95.0,1.0,,,,athens-1896,Summer,Greece,GR,GRE,Olympic Games,1
1693,Athens 1896,GRE,1896,95,1.0,CountryOverall,95.0,1.0,,,,athens-1896,Summer,Greece,GR,GRE,Olympic Games,1
1693,Athens 1896,GRE,1896,95,1.0,CountryOverall,95.0,1.0,,,,athens-1896,Summer,Greece,GR,GRE,Olympic Games,1
1693,Athens 1896,GRE,1896,95,1.0,CountryOverall,95.0,1.0,,,,athens-1896,Summer,Greece,GR,GRE,Olympic Games,1
1693,Athens 1896,GRE,1896,95,1.0,CountryOverall,95.0,1.0,,,,athens-1896,Summer,Greece,GR,GRE,Olympic Games,1
1693,Athens 1896,GRE,1896,95,1.0,CountryOverall,95.0,1.0,,,,athens-1896,Summer,Greece,GR,GRE,Olympic Games,1
1693,Athens 1896,GRE,1896,95,1.0,CountryOverall,95.0,1.0,,,,athens-1896,Summer,Greece,GR,GRE,Olympic Games,1
1693,Athens 1896,GRE,1896,95,1.0,CountryOverall,95.0,1.0,,,,athens-1896,Summer,Greece,GR,GRE,Olympic Games,1
1693,Athens 1896,GRE,1896,95,1.0,CountryOverall,95.0,1.0,,,,athens-1896,Summer,Greece,GR,GRE,Olympic Games,1
1693,Athens 1896,GRE,1896,95,1.0,CountryOverall,95.0,1.0,,,,athens-1896,Summer,Greece,GR,GRE,Olympic Games,1
1693,Athens 1896,GRE,1896,95,1.0,CountryOverall,95.0,1.0,,,,athens-1896,Summer,Greece,GR,GRE,Olympic Games,1
1693,Athens 1896,GRE,1896,95,1.0,CountryOverall,95.0,1.0,,,,athens-1896,Summer,Greece,GR,GRE,Olympic Games,1
1693,Athens 1896,GRE,1896,95,1.0,CountryOverall,95.0,1.0,,,,athens-1896,Summer,Greece,GR,GRE,Olympic Games,1
1693,Athens 1896,GRE,1896,95,1.0,CountryOverall,95.0,1.0,,,,athens-1896,Summer,Greece,GR,GRE,Olympic Games,1
1693,Athens 1896,GRE,1896,95,1.0,CountryOverall,95.0,1.0,,,,athens-1896,Summer,Greece,GR,GRE,Olympic Games,1
1693,Athens 1896,GRE,1896,95,1.0,CountryOverall,95.0,1.0,,,,athens-1896,Summer,Greece,GR,GRE,Olympic Games,1
1693,Athens 1896,GRE,1896,95,1.0,CountryOverall,95.0,1.0,,,,athens-1896,Summer,Greece,GR,GRE,Olympic Games,1
1693,Athens 1896,GRE,1896,95,1.0,CountryOverall,95.0,1.0,,,,athens-1896,Summer,Greece,GR,GRE,Olympic Games,1
1693,Athens 1896,GRE,1896,95,1.0,CountryOverall,95.0,1.0,,,,athens-1896,Summer,Greece,GR,GRE,Olympic Games,1
1693,Athens 1896,GRE,1896,95,1.0,CountryOverall,95.0,1.0,,,,athens-1896,Summer,Greece,GR,GRE,Olympic Games,1
1693,Athens 1896,GRE,1896,95,1.0,CountryOverall,95.0,1.0,,,,athens-1896,Summer,Greece,GR,GRE,Olympic Games,1
1693,Athens 1896,GRE,1896,95,1.0,CountryOverall,95.0,1.0,,,,athens-1896,Summer,Greece,GR,GRE,Olympic Games,1
1693,Athens 1896,GRE,1896,95,1.0,CountryOverall,95.0,1.0,,,,athens-1896,Summer,Greece,GR,GRE,Olympic Games,1
1693,Athens 1896,GRE,1896,95,1.0,CountryOverall,95.0,1.0,,,,athens-1896,Summer,Greece,GR,GRE,Olympic Games,1
1693,Athens 1896,GRE,1896,95,1.0,CountryOverall,95.0,1.0,,,,athens-1896,Summer,Greece,GR,GRE,Olympic Games,1
1693,Athens 1896,GRE,1896,95,1.0,CountryOverall,95.0,1.0,,,,athens-1896,Summer,Greece,GR,GRE,Olympic Games,1
1693,Athens 1896,GRE,1896,95,1.0,CountryOverall,95.0,1.0,,,,athens-1896,Summer,Greece,GR,GRE,Olympic Games,1
1693,Athens 1896,GRE,1896,95,1.0,CountryOverall,95.0,1.0,,,,athens-1896,Summer,Greece,GR,GRE,Olympic Games,1
1693,Athens 1896,GRE,1896,95,1.0,CountryOverall,95.0,1.0,,,,athens-1896,Summer,Greece,GR,GRE,Olympic Games,1
1693,Athens 1896,GRE,1896,95,1.0,CountryOverall,95.0,1.0,,,,athens-1896,Summer,Greece,GR,GRE,Olympic Games,1
1693,Athens 1896,GRE,1896,95,1.0,CountryOverall,95.0,1.0,,,,athens-1896,Summer,Greece,GR,GRE,Olympic Games,1
1693,Athens 1896,GRE,1896,95,1.0,CountryOverall,95.0,1.0,,,,athens-1896,Summer,Greece,GR,GRE,Olympic Games,1
1693,Athens 1896,GRE,1896,95,1.0,CountryOverall,95.0,1.0,,,,athens-1896,Summer,Greece,GR,GRE,Olympic Games,1
1693,Athens 1896,GRE,1896,95,1.0,CountryOverall,95.0,1.0,,,,athens-1896,Summer,Greece,GR,GRE,Olympic Games,1
1693,Athens 1896,GRE,1896,95,1.0,CountryOverall,95.0,1.0,,,,athens-1896,Summer,Greece,GR,GRE,Olympic Games,1
1693,Athens 1896,GRE,1896,95,1.0,CountryOverall,95.0,1.0,,,,athens-1896,Summer,Greece,GR,GRE,Olympic Games,1
1693,Athens 1896,GRE,1896,95,1.0,CountryOverall,95.0,1.0,,,,athens-1896,Summer,Greece,GR,GRE,Olympic Games,1
1693,Athens 1896,GRE,1896,95,1.0,CountryOverall,95.0,1.0,,,,athens-1896,Summer,Greece,GR,GRE,Olympic Games,1
1693,Athens 1896,GRE,1896,95,1.0,CountryOverall,95.0,1.0,,,,athens-1896,Summer,Greece,GR,GRE,Olympic Games,1
1693,Athens 1896,GRE,1896,95,1.0,CountryOverall,95.0,1.0,,,,athens-1896,Summer,Greece,GR,GRE,Olympic Games,1
1693,Athens 1896,GRE,1896,95,1.0,CountryOverall,95.0,1.0,,,,athens-1896,Summer,Greece,GR,GRE,Olympic Games,1
1693,Athens 1896,GRE,1896,95,1.0,CountryOverall,95.0,1.0,,,,athens-1896,Summer,Greece,GR,GRE,Olympic Games,1
1693,Athens 1896,GRE,1896,95,1.0,CountryOverall,95.0,1.0,,,,athens-1896,Summer,Greece,GR,GRE,Olympic Games,1
1693,Athens 1896,GRE,1896,95,1.0,CountryOverall,95.0,1.0,,,,athens-1896,Summer,Greece,GR,GRE,Olympic Games,1
1693,Athens 1896,GRE,1896,95,1.0,CountryOverall,95.0,1.0,,,,athens-1896,Summer,Greece,GR,GRE,Olympic Games,1
1693,Athens 1896,GRE,1896,95,1.0,CountryOverall,95.0,1.0,,,,athens-1896,Summer,Greece,GR,GRE,Olympic Games,1
1693,Athens 1896,GRE,1896,95,1.0,CountryOverall,95.0,1.0,,,,athens-1896,Summer,Greece,GR,GRE,Olympic Games,1
1698,Athens 1896,HUN,1896,13,6.0,CountryOverall,13.0,6.0,,,,athens-1896,Summer,Hungary,HU,HUN,Olympic Games,1
1698,Athens 1896,HUN,1896,13,6.0,CountryOverall,13.0,6.0,,,,athens-1896,Summer,Hungary,HU,HUN,Olympic Games,1
1698,Athens 1896,HUN,1896,13,6.0,CountryOverall,13.0,6.0,,,,athens-1896,Summer,Hungary,HU,HUN,Olympic Games,1
1698,Athens 1896,HUN,1896,13,6.0,CountryOverall,13.0,6.0,,,,athens-1896,Summer,Hungary,HU,HUN,Olympic Games,1
1698,Athens 1896,HUN,1896,13,6.0,CountryOverall,13.0,6.0,,,,athens-1896,Summer,Hungary,HU,HUN,Olympic Games,1
1698,Athens 1896,HUN,1896,13,6.0,CountryOverall,13.0,6.0,,,,athens-1896,Summer,Hungary,HU,HUN,Olympic Games,1
1703,Athens 1896,MIX,1896,5,11.0,CountryOverall,5.0,11.0,,,,athens-1896,Summer,MIX,,IOA,Olympic Games,1
1703,Athens 1896,MIX,1896,5,11.0,CountryOverall,5.0,11.0,,,,athens-1896,Summer,MIX,,IOA,Olympic Games,1
1702,Athens 1896,SUI,1896,8,9.5,CountryOverall,8.0,9.5,,,,athens-1896,Summer,Switzerland,CH,SUI,Olympic Games,1
1702,Athens 1896,SUI,1896,8,9.5,CountryOverall,8.0,9.5,,,,athens-1896,Summer,Switzerland,CH,SUI,Olympic Games,1
1702,Athens 1896,SUI,1896,8,9.5,CountryOverall,8.0,9.5,,,,athens-1896,Summer,Switzerland,CH,SUI,Olympic Games,1
1694,Athens 1896,USA,1896,60,2.0,CountryOverall,60.0,2.0,,,,athens-1896,Summer,United States of America,US,USA,Olympic Games,1
1694,Athens 1896,USA,1896,60,2.0,CountryOverall,60.0,2.0,,,,athens-1896,Summer,United States of America,US,USA,Olympic Games,1
1694,Athens 1896,USA,1896,60,2.0,CountryOverall,60.0,2.0,,,,athens-1896,Summer,United States of America,US,USA,Olympic Games,1
1694,Athens 1896,USA,1896,60,2.0,CountryOverall,60.0,2.0,,,,athens-1896,Summer,United States of America,US,USA,Olympic Games,1
1694,Athens 1896,USA,1896,60,2.0,CountryOverall,60.0,2.0,,,,athens-1896,Summer,United States of America,US,USA,Olympic Games,1
1694,Athens 1896,USA,1896,60,2.0,CountryOverall,60.0,2.0,,,,athens-1896,Summer,United States of America,US,USA,Olympic Games,1
1694,Athens 1896,USA,1896,60,2.0,CountryOverall,60.0,2.0,,,,athens-1896,Summer,United States of America,US,USA,Olympic Games,1
1694,Athens 1896,USA,1896,60,2.0,CountryOverall,60.0,2.0,,,,athens-1896,Summer,United States of America,US,USA,Olympic Games,1
1694,Athens 1896,USA,1896,60,2.0,CountryOverall,60.0,2.0,,,,athens-1896,Summer,United States of America,US,USA,Olympic Games,1
1694,Athens 1896,USA,1896,60,2.0,CountryOverall,60.0,2.0,,,,athens-1896,Summer,United States of America,US,USA,Olympic Games,1
1694,Athens 1896,USA,1896,60,2.0,CountryOverall,60.0,2.0,,,,athens-1896,Summer,United States of America,US,USA,Olympic Games,1
1694,Athens 1896,USA,1896,60,2.0,CountryOverall,60.0,2.0,,,,athens-1896,Summer,United States of America,US,USA,Olympic Games,1
1694,Athens 1896,USA,1896,60,2.0,CountryOverall,60.0,2.0,,,,athens-1896,Summer,United States of America,US,USA,Olympic Games,1
1694,Athens 1896,USA,1896,60,2.0,CountryOverall,60.0,2.0,,,,athens-1896,Summer,United States of America,US,USA,Olympic Games,1
1694,Athens 1896,USA,1896,60,2.0,CountryOverall,60.0,2.0,,,,athens-1896,Summer,United States of America,US,USA,Olympic Games,1
1694,Athens 1896,USA,1896,60,2.0,CountryOverall,60.0,2.0,,,,athens-1896,Summer,United States of America,US,USA,Olympic Games,1
1694,Athens 1896,USA,1896,60,2.0,CountryOverall,60.0,2.0,,,,athens-1896,Summer,United States of America,US,USA,Olympic Games,1
1694,Athens 1896,USA,1896,60,2.0,CountryOverall,60.0,2.0,,,,athens-1896,Summer,United States of America,US,USA,Olympic Games,1
1694,Athens 1896,USA,1896,60,2.0,CountryOverall,60.0,2.0,,,,athens-1896,Summer,United States of America,US,USA,Olympic Games,1
1694,Athens 1896,USA,1896,60,2.0,CountryOverall,60.0,2.0,,,,athens-1896,Summer,United States of America,US,USA,Olympic Games,1
668,Paris 1900,AUS,1900,11,10.0,CountryOverall,9.5,9.75,,,,paris-1900,Summer,Australia,AU,AUS,Olympic Games,1
668,Paris 1900,AUS,1900,11,10.0,CountryOverall,9.5,9.75,,,,paris-1900,Summer,Australia,AU,AUS,Olympic Games,1
668,Paris 1900,AUS,1900,11,10.0,CountryOverall,9.5,9.75,,,,paris-1900,Summer,Australia,AU,AUS,Olympic Games,1
668,Paris 1900,AUS,1900,11,10.0,CountryOverall,9.5,9.75,,,,paris-1900,Summer,Australia,AU,AUS,Olympic Games,1
668,Paris 1900,AUS,1900,11,10.0,CountryOverall,9.5,9.75,,,,paris-1900,Summer,Australia,AU,AUS,Olympic Games,1
670,Paris 1900,AUT,1900,9,12.0,CountryOverall,10.5,9.5,,,,paris-1900,Summer,Austria,AT,AUT,Olympic Games,1
670,Paris 1900,AUT,1900,9,12.0,CountryOverall,10.5,9.5,,,,paris-1900,Summer,Austria,AT,AUT,Olympic Games,1
670,Paris 1900,AUT,1900,9,12.0,CountryOverall,10.5,9.5,,,,paris-1900,Summer,Austria,AT,AUT,Olympic Games,1
