,year,greenland,greenland1,greenland2,antarctica,antarctica1,antarctica2
0,1956,,,,,,
1,1957,,,,,,
2,1958,,,,,,
3,1959,,,,,,
4,1960,,,,,,
5,1961,,,,,,
6,1962,,,,,,
7,1963,,,,,,
8,1964,,,,,,
9,1965,,,,,,
10,1966,,,,,,
11,1967,,,,,,
12,1968,,,,,,
13,1969,,,,,,
14,1970,,,,,,
15,1971,,,,,,
16,1972,,,,,,
17,1973,,,,,,
18,1974,,,,,,
19,1975,,,,,,
20,1976,,,,,,
21,1977,,,,,,
22,1978,,,,,,
23,1979,,,,,,
24,1980,,,,,,
25,1981,,,,,,
26,1982,,,,,,
27,1983,,,,,,
28,1984,,,,,,
29,1985,,,,,,
30,1986,,,,,,
31,1987,,,,,,
32,1988,,,,,,
33,1989,,,,,,
34,1990,,,,,,
35,1991,-0.0,-0.0,-0.0,,,
36,1992,-13.1355416666653,-1.62288884443495,-24.64819448889565,-4.40833333333333,-0.7977297365183396,-8.01893693014832
37,1993,-7.83012499997139,22.654667141592462,-38.31491714153524,-16.3800443467677,35.182180172608795,-67.9422688661442
38,1994,68.4173750000297,109.97918288703369,26.855567113025693,42.0205642154991,114.08128599447659,-30.040157563478395
39,1995,187.999512943231,239.3590514044805,136.63997448198148,171.062889205357,257.954564381153,84.17121402956101
40,1996,167.263877815974,231.3197446524235,103.20801097952452,208.227609131279,309.0949926196895,107.3602256428685
41,1997,96.1738436317513,170.98235680029478,21.365330463207798,237.009039517843,350.0672541361075,123.9508248995785
42,1998,183.536442369905,268.398266186325,98.67461855348499,269.316962950143,393.6069077307685,145.02701816951753
43,1999,262.933520639804,356.569934991011,169.29710628859698,291.745812538086,425.73669843861296,157.754926637559
44,2000,293.084383072646,394.510388190115,191.658377955177,370.470904369048,513.4889604534555,227.4528482846405
45,2001,333.838818019309,442.64229011364097,225.03534592497698,398.738929610392,550.174640204507,247.303219016277
46,2002,429.078732738875,545.13172500881,313.02574046893994,419.718501556928,578.265803644779,261.171199469077
47,2003,587.718365143404,711.1322225809249,464.30450770588294,448.712515908342,619.6551009403145,277.76993087636953
48,2004,745.123557453255,872.2740860629435,617.9730288435665,544.72171522107,727.451349121234,361.992081320906
49,2005,929.663846145905,1060.8550357531785,798.4726565386316,623.633444047868,817.9680404142115,429.29884768152453
50,2006,1135.71607099865,1270.7401311116828,1000.6920108856169,640.525459492141,844.1627520172765,436.8881669670054
51,2007,1367.67469102849,1506.3757132202786,1228.9736688367016,735.87634688997,947.7342656392675,524.0184281406725
52,2008,1597.29998891648,1739.256370297468,1455.343607535492,943.593759521111,1162.908358605363,724.279160436859
53,2009,1831.51799024318,1975.9332902036822,1687.102690282678,1057.47249523221,1284.5968083634448,830.3481821009749
54,2010,2110.47428716661,2257.4078955615464,1963.5406787716734,1146.6216481583,1380.3742786996927,912.8690176169076
55,2011,2429.64108398607,2579.2159197814035,2280.0662481907366,1376.00442382616,1619.070355664324,1132.938491987996
56,2012,2769.39526515264,2922.885462236446,2615.905068068834,1523.98994604909,1774.519642518314,1273.4602495798658
57,2013,3037.28304899932,3194.3379911512084,2880.2281068474313,1733.38670477711,1992.2502182491826,1474.5231913050375
58,2014,3240.9905218458,3401.296285750694,3080.6847579409055,2003.13838121351,2268.0053747279817,1738.2713876990385
59,2015,3425.37855572599,3589.088508936686,3261.6686025152935,2264.82565337888,2536.3346935993445,1993.3166131584153
60,2016,3671.97209063317,3838.6128263908176,3505.3313548755223,2519.66246325258,2798.258263893955,2241.066662611205
61,2017,3841.83828767206,4011.779303653032,3671.8972716910876,2586.68552780118,2868.243589134244,2305.127466468116
62,2018,,,,,,
63,2019,,,,,,
