,temp,measure,a,a1,a2,s
75,81-85,o3,1.444,-4.0520000000000005,6.94,2.748
76,81-85,o4,-3.668,-11.164000000000001,3.8280000000000003,3.748
77,86-90,l1,-4.642,-12.620000000000001,3.3359999999999994,3.989
78,86-90,l2,-5.053,-29.165,19.058999999999997,12.056
79,86-90,l3,-3.364,-16.302,9.574000000000002,6.469
80,86-90,o1,2.241,-2.653,7.135,2.447
81,86-90,o2,4.164,-12.549999999999999,20.878,8.357
82,86-90,o3,2.816,-3.5840000000000005,9.216000000000001,3.2
83,86-90,o4,0.062,-8.180000000000001,8.304,4.121
84,91-95,l1,-6.621,-16.931,3.689,5.155
85,91-95,l2,-17.4,-48.775999999999996,13.976000000000003,15.688
86,91-95,l3,-0.633,-16.910999999999998,15.645,8.139
87,91-95,o1,2.163,-3.9790000000000005,8.305,3.071
88,91-95,o2,10.607,-10.137,31.351,10.372
89,91-95,o3,7.747,-0.3309999999999995,15.825,4.039
90,91-95,o4,-8.154,-18.402,2.0939999999999994,5.124
91,96-100,l1,-13.876,-28.451999999999998,0.7000000000000011,7.288
92,96-100,l2,-41.417,-82.66900000000001,-0.16499999999999915,20.626
93,96-100,l3,-11.256,-35.452,12.940000000000001,12.098
94,96-100,o1,3.452,-5.6,12.504,4.526
95,96-100,o2,6.422,-23.676,36.519999999999996,15.049
96,96-100,o3,7.137,-4.087000000000001,18.361,5.612
97,96-100,o4,-4.854,-19.968,10.260000000000002,7.557
98,>100,l1,-18.327,-37.353,0.6989999999999981,9.513
99,>100,l2,-58.032,-108.258,-7.805999999999997,25.113
100,>100,l3,-14.951,-47.219,17.317,16.134
101,>100,o1,-8.573,-19.235,2.0890000000000004,5.331
102,>100,o2,-9.833,-42.797,23.131,16.482
103,>100,o3,2.24,-11.744,16.224,6.992
104,>100,o4,-22.02,-39.528,-4.5120000000000005,8.754
