,year,day,date
11,812,92.0,04-01
14,815,105.0,04-15
30,831,96.0,04-06
50,851,108.0,04-18
52,853,104.0,04-14
63,864,100.0,04-09
65,866,106.0,04-16
68,869,95.0,04-05
88,889,104.0,04-14
90,891,109.0,04-19
91,892,108.0,04-17
93,894,106.0,04-16
94,895,104.0,04-14
95,896,104.0,04-13
101,902,102.0,04-12
107,908,98.0,04-07
111,912,95.0,04-04
112,913,110.0,04-20
116,917,95.0,04-05
122,923,104.0,04-14
125,926,98.0,04-08
129,930,97.0,04-07
132,933,106.0,04-16
140,941,109.0,04-19
148,949,107.0,04-17
149,950,95.0,04-05
154,955,89.0,03-30
156,957,112.0,04-22
157,958,109.0,04-19
158,959,97.0,04-07
159,960,101.0,04-10
160,961,87.0,03-28
162,963,94.0,04-04
164,965,104.0,04-14
165,966,98.0,04-08
166,967,103.0,04-13
168,969,98.0,04-08
171,972,107.0,04-16
173,974,108.0,04-18
174,975,101.0,04-11
176,977,112.0,04-22
178,979,104.0,04-14
184,985,94.0,04-04
188,989,100.0,04-10
190,991,104.0,04-14
199,1000,105.0,04-15
203,1004,117.0,04-26
205,1006,100.0,04-10
206,1007,106.0,04-16
213,1014,115.0,04-25
215,1016,111.0,04-20
216,1017,99.0,04-09
217,1018,113.0,04-23
218,1019,98.0,04-08
228,1029,116.0,04-26
230,1031,97.0,04-07
231,1032,111.0,04-20
232,1033,102.0,04-12
233,1034,96.0,04-06
235,1036,104.0,04-13
240,1041,103.0,04-13
245,1046,103.0,04-13
247,1048,112.0,04-21
249,1050,105.0,04-15
259,1060,108.0,04-17
260,1061,92.0,04-02
265,1066,105.0,04-15
270,1071,113.0,04-23
272,1073,103.0,04-13
279,1080,102.0,04-11
282,1083,96.0,04-06
283,1084,120.0,04-29
287,1088,104.0,04-13
289,1090,105.0,04-15
292,1093,105.0,04-15
294,1095,100.0,04-10
295,1096,96.0,04-05
297,1098,100.0,04-10
298,1099,103.0,04-13
301,1102,104.0,04-14
303,1104,108.0,04-17
304,1105,114.0,04-24
306,1107,105.0,04-15
310,1111,113.0,04-23
311,1112,104.0,04-13
313,1114,100.0,04-10
316,1117,109.0,04-19
317,1118,102.0,04-12
319,1120,104.0,04-13
322,1123,112.0,04-22
323,1124,98.0,04-07
324,1125,111.0,04-21
325,1126,108.0,04-18
326,1127,107.0,04-17
327,1128,111.0,04-20
328,1129,106.0,04-16
329,1130,103.0,04-13
330,1131,103.0,04-13
333,1134,106.0,04-16
338,1139,113.0,04-23
339,1140,103.0,04-12
340,1141,111.0,04-21
342,1143,110.0,04-20
344,1145,107.0,04-17
350,1151,109.0,04-19
353,1154,96.0,04-06
355,1156,90.0,03-30
358,1159,103.0,04-13
360,1161,112.0,04-22
362,1163,112.0,04-22
363,1164,100.0,04-09
364,1165,106.0,04-16
365,1166,95.0,04-05
366,1167,111.0,04-21
368,1169,112.0,04-22
369,1170,113.0,04-23
371,1172,103.0,04-12
372,1173,117.0,04-27
373,1174,112.0,04-22
374,1175,113.0,04-23
375,1176,113.0,04-22
378,1179,103.0,04-13
379,1180,98.0,04-07
381,1182,104.0,04-14
382,1183,101.0,04-11
383,1184,115.0,04-24
384,1185,115.0,04-25
386,1187,104.0,04-14
387,1188,107.0,04-16
389,1190,112.0,04-22
390,1191,106.0,04-16
393,1194,119.0,04-29
398,1199,109.0,04-19
399,1200,104.0,04-13
400,1201,96.0,04-06
401,1202,106.0,04-16
402,1203,105.0,04-15
403,1204,110.0,04-19
404,1205,105.0,04-15
406,1207,104.0,04-14
409,1210,112.0,04-22
411,1212,98.0,04-07
412,1213,107.0,04-17
413,1214,102.0,04-12
414,1215,108.0,04-18
415,1216,101.0,04-10
418,1219,101.0,04-11
419,1220,109.0,04-18
420,1221,99.0,04-09
422,1223,116.0,04-26
424,1225,105.0,04-15
425,1226,106.0,04-16
426,1227,111.0,04-21
428,1229,97.0,04-07
429,1230,102.0,04-12
430,1231,101.0,04-11
431,1232,92.0,04-01
432,1233,105.0,04-15
434,1235,110.0,04-20
435,1236,87.0,03-27
439,1240,106.0,04-15
443,1244,108.0,04-17
444,1245,108.0,04-18
445,1246,98.0,04-08
446,1247,106.0,04-16
448,1249,108.0,04-18
449,1250,116.0,04-26
450,1251,100.0,04-10
453,1254,110.0,04-20
456,1257,94.0,04-04
458,1259,96.0,04-06
461,1262,97.0,04-07
462,1263,120.0,04-30
463,1264,103.0,04-12
464,1265,98.0,04-08
466,1267,105.0,04-15
467,1268,103.0,04-12
468,1269,100.0,04-10
470,1271,100.0,04-10
474,1275,107.0,04-17
477,1278,113.0,04-23
478,1279,101.0,04-11
479,1280,102.0,04-11
482,1283,103.0,04-13
483,1284,102.0,04-11
484,1285,105.0,04-15
485,1286,112.0,04-22
486,1287,110.0,04-20
487,1288,108.0,04-17
488,1289,107.0,04-17
491,1292,107.0,04-16
493,1294,101.0,04-11
494,1295,102.0,04-12
500,1301,95.0,04-05
501,1302,96.0,04-06
506,1307,104.0,04-14
510,1311,94.0,04-04
511,1312,100.0,04-09
513,1314,101.0,04-11
514,1315,111.0,04-21
515,1316,103.0,04-12
516,1317,102.0,04-12
518,1319,116.0,04-26
520,1321,102.0,04-12
521,1322,106.0,04-16
522,1323,124.0,05-04
523,1324,98.0,04-07
525,1326,107.0,04-17
528,1329,112.0,04-22
529,1330,108.0,04-18
530,1331,112.0,04-22
531,1332,115.0,04-24
541,1342,110.0,04-20
543,1344,102.0,04-11
545,1346,107.0,04-17
546,1347,109.0,04-19
548,1349,112.0,04-22
549,1350,101.0,04-11
550,1351,115.0,04-25
555,1356,117.0,04-26
556,1357,107.0,04-17
557,1358,110.0,04-20
558,1359,105.0,04-15
559,1360,101.0,04-10
560,1361,108.0,04-18
562,1363,107.0,04-17
563,1364,110.0,04-19
565,1366,112.0,04-22
566,1367,97.0,04-07
567,1368,88.0,03-28
568,1369,94.0,04-04
569,1370,109.0,04-19
571,1372,102.0,04-11
572,1373,110.0,04-20
574,1375,103.0,04-13
575,1376,99.0,04-08
576,1377,105.0,04-15
577,1378,104.0,04-14
578,1379,103.0,04-13
579,1380,102.0,04-11
580,1381,108.0,04-18
581,1382,105.0,04-15
582,1383,102.0,04-12
583,1384,98.0,04-07
584,1385,99.0,04-09
585,1386,105.0,04-15
586,1387,100.0,04-10
587,1388,99.0,04-08
597,1398,106.0,04-16
600,1401,101.0,04-11
601,1402,103.0,04-13
602,1403,104.0,04-14
605,1406,102.0,04-12
606,1407,101.0,04-11
607,1408,111.0,04-20
608,1409,86.0,03-27
609,1410,102.0,04-12
611,1412,93.0,04-02
612,1413,91.0,04-01
614,1415,105.0,04-15
615,1416,101.0,04-10
616,1417,109.0,04-19
617,1418,98.0,04-08
618,1419,100.0,04-10
619,1420,112.0,04-21
620,1421,99.0,04-09
621,1422,109.0,04-19
622,1423,96.0,04-06
623,1424,103.0,04-12
624,1425,98.0,04-08
625,1426,99.0,04-09
626,1427,102.0,04-12
628,1429,98.0,04-08
629,1430,108.0,04-18
630,1431,102.0,04-12
631,1432,104.0,04-13
632,1433,98.0,04-08
633,1434,113.0,04-23
634,1435,95.0,04-05
635,1436,101.0,04-10
636,1437,103.0,04-13
637,1438,99.0,04-09
638,1439,101.0,04-11
639,1440,98.0,04-07
640,1441,105.0,04-15
642,1443,107.0,04-17
643,1444,109.0,04-18
645,1446,108.0,04-18
646,1447,111.0,04-21
647,1448,96.0,04-05
648,1449,95.0,04-05
649,1450,100.0,04-10
650,1451,103.0,04-13
651,1452,92.0,04-01
652,1453,107.0,04-17
653,1454,105.0,04-15
654,1455,96.0,04-06
655,1456,106.0,04-15
656,1457,105.0,04-15
657,1458,112.0,04-22
658,1459,113.0,04-23
659,1460,111.0,04-20
660,1461,106.0,04-16
661,1462,106.0,04-16
662,1463,101.0,04-11
663,1464,104.0,04-13
664,1465,98.0,04-08
665,1466,105.0,04-15
