,year,scenario,high,historical,low,median,optimistic
327,2073,c1,2.4597423286,,-3.3522721427,-0.474820075961,
328,2073,c2,9.02379575665,,4.066885473,6.4408070157012,
329,2073,current,55.4851714,,38.1083239,,
330,2073,optimistic,,,,,17.9781132621762
331,2073,pledges,28.4367156745902,,22.7668689195229,,
332,2074,c1,2.3488594378,,-3.6821455241,-0.641117907538,
333,2074,c2,8.7729097707,,3.887055883,6.0330367580296,
334,2074,current,55.303195,,37.8014328,,
335,2074,optimistic,,,,,17.6874379913882
336,2074,pledges,28.1420538561787,,22.47550842054,,
337,2075,c1,2.237976547,,-4.0120189055,-0.807415739115,
338,2075,c2,8.52202378475,,3.707226293,5.625266500358,
339,2075,current,55.1128507,,37.5348216,,
340,2075,optimistic,,,,,17.3845179797842
341,2075,pledges,27.8317032201094,,22.177274951424,,
342,2076,c1,2.1270936562,,-4.3418922869,-0.973713570692,
343,2076,c2,8.2711377988,,3.527396703,5.2174962426864,
344,2076,current,54.906496,,37.3544301,,
345,2076,optimistic,,,,,17.0855936586388
346,2076,pledges,27.5406556353594,,21.8759313699181,,
347,2077,c1,2.0162107654,,-4.6717656683,-1.140011402269,
348,2077,c2,8.02025181285,,3.347567113,4.8097259850148,
349,2077,current,54.6971213,,37.2261266,,
350,2077,optimistic,,,,,16.7857731613225
351,2077,pledges,27.2631386667102,,21.5847783739952,,
352,2078,c1,1.9053278746,,-5.0016390497,-1.306309233846,
353,2078,c2,7.7693658269,,3.167737523,4.4019557273432,
354,2078,current,54.4846968,,37.1169575,,
355,2078,optimistic,,,,,16.5016419075546
356,2078,pledges,27.0285504592199,,21.3038149395474,,
357,2079,c1,1.7944449838,,-5.3315124311,-1.472607065423,
358,2079,c2,7.51847984095,,2.987907933,3.9941854696716,
359,2079,current,54.2738774,,37.0027673,,
360,2079,optimistic,,,,,16.2364150936766
361,2079,pledges,26.8309318145097,,21.0317521332698,,
362,2080,c1,1.683562093,,-5.6613858125,-1.638904897,
363,2080,c2,7.267593855,,2.808078343,3.586415212,
364,2080,current,54.0658611,,36.8746801,,
365,2080,optimistic,,,,,15.9901311881138
366,2080,pledges,26.6643722710475,,20.7681818968046,,
367,2081,c1,1.3878463732,,-5.84971029735,-1.6772521262,
368,2081,c2,7.1070216005,,2.412959876111,3.5356110636,
369,2081,current,53.8133597,,36.707966,,
370,2081,optimistic,,,,,15.8291873480225
371,2081,pledges,26.5086659237058,,20.5024806812496,,
372,2082,c1,1.0921306534,,-6.0380347822,-1.7155993554,
373,2082,c2,6.946449346,,2.017841409222,3.4848069152,
374,2082,current,53.4760379,,36.5266238,,
375,2082,optimistic,,,,,15.6709840313974
376,2082,pledges,26.3701456606351,,20.2380037070374,,
377,2083,c1,0.7964149336,,-6.22635926705,-1.7539465846,
378,2083,c2,6.7858770915,,1.622722942333,3.4340027668,
379,2083,current,53.0773411,,36.3441671,,
380,2083,optimistic,,,,,15.5091740521901
381,2083,pledges,26.2322421741028,,19.9760584306158,,
382,2084,c1,0.5006992138,,-6.4146837519,-1.7922938138,
383,2084,c2,6.625304837,,1.227604475444,3.3831986184,
384,2084,current,52.6400088,,36.1682828,,
385,2084,optimistic,,,,,15.3401445981751
386,2084,pledges,26.0809692905232,,19.7175933927281,,
387,2085,c1,0.204983494,,-6.60300823675,-1.830641043,
388,2085,c2,6.4647325825,,0.832486008555002,3.33239447,
389,2085,current,52.1806771,,35.990723,,
390,2085,optimistic,,,,,15.1712724927738
391,2085,pledges,25.9211999959717,,19.4649695635555,,
392,2086,c1,-0.0907322258000003,,-6.7913327216,-1.8689882722,
393,2086,c2,6.304160328,,0.437367541666002,3.2815903216,
394,2086,current,51.7302558,,35.818852,,
395,2086,optimistic,,,,,15.0021376353409
396,2086,pledges,25.7501099642364,,19.2234850579428,,
397,2087,c1,-0.386447945600001,,-6.97965720645,-1.9073355014,
398,2087,c2,6.1435880735,,0.0422490747770024,3.2307861732,
399,2087,current,51.3074895,,35.6535776,,
400,2087,optimistic,,,,,14.8370659610355
401,2087,pledges,25.573360374705,,18.9925173295458,,
402,2088,c1,-0.682163665400001,,-7.1679816913,-1.9456827306,
403,2088,c2,5.983015819,,-0.352869392111998,3.1799820248,
404,2088,current,50.907915,,35.4986955,,
405,2088,optimistic,,,,,14.6759002468295
406,2088,pledges,25.3897272441598,,18.7752568737551,,
407,2089,c1,-0.9778793852,,-7.35630617615,-1.9840299598,
408,2089,c2,5.8224435645,,-0.747987859000998,3.1291778764,
409,2089,current,50.5371016,,35.3597093,,
410,2089,optimistic,,,,,14.5247855615125
411,2089,pledges,25.2043526068141,,18.5716795186626,,
412,2090,c1,-1.273595105,,-7.544630661,-2.022377189,
413,2090,c2,5.66187131,,-1.14310632589,3.078373728,
414,2090,current,50.2038444,,35.246154,,
415,2090,optimistic,,,,,14.3848796128382
416,2090,pledges,25.0175773754753,,18.3769271665327,,
417,2091,c1,-1.35843000735,,-7.6923086751,-2.2972736236,
418,2091,c2,5.51914309325,,-1.420246056116,2.9601792637,
419,2091,current,49.9047474,,35.1471412,,
420,2091,optimistic,,,,,14.2499829791807
421,2091,pledges,24.8270531652797,,18.1946878418708,,
422,2092,c1,-1.4432649097,,-7.8399866892,-2.5721700582,
423,2092,c2,5.3764148765,,-1.697385786342,2.8419847994,
424,2092,current,49.6342913,,35.0670979,,
425,2092,optimistic,,,,,14.1151049562584
426,2092,pledges,24.6335899271862,,18.0115647577452,,
427,2093,c1,-1.52809981205,,-7.9876647033,-2.8470664928,
428,2093,c2,5.23368665975,,-1.974525516568,2.7237903351,
429,2093,current,49.3673666,,34.9988573,,
430,2093,optimistic,,,,,13.9790377255049
431,2093,pledges,24.4345201416319,,17.8254700633971,,
432,2094,c1,-1.6129347144,,-8.1353427174,-3.1219629274,
433,2094,c2,5.090958443,,-2.251665246794,2.6055958708,
434,2094,current,49.1041906,,34.9418241,,
435,2094,optimistic,,,,,13.8420368800962
436,2094,pledges,24.2321118317858,,17.6444116170882,,
437,2095,c1,-1.69776961675,,-8.2830207315,-3.396859362,
438,2095,c2,4.94823022625,,-2.52880497702,2.4874014065,
439,2095,current,48.8653516,,34.8901523,,
440,2095,optimistic,,,,,13.7087187217568
441,2095,pledges,24.0326640163833,,17.4599135075048,,
442,2096,c1,-1.7826045191,,-8.4306987456,-3.6717557966,
443,2096,c2,4.8055020095,,-2.805944707246,2.3692069422,
444,2096,current,48.6571188,,34.8399375,,
445,2096,optimistic,,,,,13.5803970761213
446,2096,pledges,23.8387310320823,,17.2756907792631,,
447,2097,c1,-1.86743942145,,-8.5783767597,-3.9466522312,
448,2097,c2,4.66277379275,,-3.083084437472,2.2510124779,
449,2097,current,48.4336664,,34.7786754,,
450,2097,optimistic,,,,,13.4606546278804
451,2097,pledges,23.6537779679875,,17.0839726163386,,
452,2098,c1,-1.9522743238,,-8.7260547738,-4.2215486658,
453,2098,c2,4.520045576,,-3.360224167698,2.1328180136,
454,2098,current,48.1903196,,34.712076,,
455,2098,optimistic,,,,,13.346090337077
456,2098,pledges,23.4741087186405,,16.8850339165227,,
457,2099,c1,-2.03710922615,,-8.8737327879,-4.4964451004,
458,2099,c2,4.37731735925,,-3.637363897924,2.0146235493,
459,2099,current,47.9297384,,34.6310576,,
460,2099,optimistic,,,,,13.2394752562263
461,2099,pledges,23.3014309471862,,16.6819807149352,,
462,2100,c1,-2.1219441285,,-9.021410802,-4.771341535,
463,2100,c2,4.2345891425,,-3.91450362815,1.896429085,
464,2100,current,47.6784841,,34.5430283,,
465,2100,optimistic,,,,,13.137431149997
466,2100,pledges,23.1311429346485,,16.4660303619824,,
