,year,scenario,high,historical,low,median,optimistic
0,1990,historical,,35.9892772410999,,,
1,1991,historical,,36.3529059805546,,,
2,1992,historical,,35.529754806517,,,
3,1993,historical,,35.7364773912376,,,
4,1994,historical,,35.8572448217216,,,
5,1995,historical,,36.6681849423253,,,
6,1996,historical,,37.3170319100897,,,
7,1997,historical,,37.6894974075812,,,
8,1998,historical,,38.0387711589038,,,
9,1999,historical,,38.2936544723947,,,
10,2000,historical,,39.2972343,,,
11,2001,historical,,39.758757,,,
12,2002,historical,,40.40335,,,
13,2003,historical,,41.7931882,,,
14,2004,historical,,43.1715125,,,
15,2005,historical,,44.3958093,,,
16,2006,historical,,45.4282082,,,
17,2007,historical,,46.5708502,,,
18,2008,historical,,46.8618283,,,
19,2009,historical,,46.2471801,,,
20,2010,c1,48.1,,48.1,48.1,
21,2010,c2,48.1,,48.1,48.1,
22,2010,historical,,48.1847801,,,
23,2011,c1,48.6727923150091,,48.341228174085,48.6368478055888,
24,2011,c2,48.8354029453246,,48.406563450447,48.6368478055888,
25,2011,historical,,49.2213834,,,
26,2012,c1,49.2455846300181,,48.5824563481701,49.1736956111776,
27,2012,c2,49.5708058906492,,48.713126900894,49.1736956111776,
28,2012,historical,,49.6985001,,,
29,2013,c1,49.8183769450272,,48.8236845222551,49.7105434167664,
30,2013,c2,50.3062088359738,,49.0196903513411,49.7105434167664,
31,2013,historical,,50.4044137,,,
32,2014,c1,50.3911692600362,,49.0649126963401,50.2473912223552,
33,2014,c2,51.0416117812984,,49.3262538017881,50.2473912223552,
34,2014,historical,,50.5299674,,,
35,2015,c1,50.9639615750453,,49.3061408704252,50.784239027944,
36,2015,c2,51.777014726623,,49.6328172522351,50.784239027944,
37,2015,current,50.5338144,,50.5318687,,
38,2015,historical,,50.6250534,,,
39,2015,optimistic,,,,,50.5116392
40,2015,pledges,50.5116392,,50.0652508,,
41,2016,c1,51.5367538900543,,49.5473690445102,51.3210868335327,
42,2016,c2,52.5124176719476,,49.9393807026821,51.3210868335327,
43,2016,current,50.510151,,50.5002523,,
44,2016,historical,,50.5825758,,,
45,2016,optimistic,,,,,50.4803565
46,2016,pledges,50.4803565,,50.1289811,,
47,2017,c1,52.1095462050634,,49.7885972185952,51.8579346391215,
48,2017,c2,53.2478206172722,,50.2459441531291,51.8579346391215,
49,2017,current,51.1034867,,51.0796988,,
50,2017,optimistic,,,,,51.0464649
51,2017,pledges,51.0464649,,50.6219159,,
52,2018,c1,52.6823385200724,,50.0298253926803,52.3947824447103,
53,2018,c2,53.9832235625968,,50.5525076035761,52.3947824447103,
54,2018,current,51.7819529,,51.7303284,,
55,2018,optimistic,,,,,51.5991747
56,2018,pledges,51.5991747,,50.8011595,,
57,2019,c1,53.2551308350815,,50.2710535667653,52.9316302502991,
58,2019,c2,54.7186265079214,,50.8590710540231,52.9316302502991,
59,2019,current,52.0097602,,51.6870598,,
60,2019,optimistic,,,,,51.3999949
61,2019,pledges,51.3999949,,50.6071215,,
62,2020,c1,53.8279231500905,,50.5122817408503,53.4684780558879,
63,2020,c2,55.454029453246,,51.1656345044701,53.4684780558879,
64,2020,current,49.6286065,,47.4451494,,
65,2020,optimistic,,,,,49.4285549
66,2020,pledges,49.4285549,,47.5702372,,
67,2021,c1,51.1983350127967,,47.58866291857,50.7166977849626,
68,2021,c2,54.2514241306622,,49.4681564686653,51.9709006269907,
69,2021,current,50.9447,,48.5901211,,
70,2021,optimistic,,,,,49.9468433
71,2021,pledges,49.9468433,,48.000931,,
72,2022,c1,48.5687468755028,,44.6650440962896,47.9649175140373,
73,2022,c2,53.0488188080784,,47.7706784328605,50.4733231980936,
74,2022,current,51.489153,,48.7120348,,
75,2022,optimistic,,,,,49.9428575
76,2022,pledges,49.9428575,,48.0348888,,
77,2023,c1,45.9391587382089,,41.7414252740092,45.2131372431119,
78,2023,c2,51.8462134854946,,46.0732003970556,48.9757457691964,
79,2023,current,51.9019801,,48.9717765,,
80,2023,optimistic,,,,,49.9363112
81,2023,pledges,49.9363112,,47.7910632,,
82,2024,c1,43.3095706009151,,38.8178064517289,42.4613569721866,
83,2024,c2,50.6436081629108,,44.3757223612508,47.4781683402993,
84,2024,current,52.3911517,,49.2551268,,
85,2024,optimistic,,,,,49.9412067
86,2024,pledges,49.9412067,,47.5527001,,
87,2025,c1,40.6799824636212,,35.8941876294485,39.7095767012613,
88,2025,c2,49.441002840327,,42.6782443254459,45.9805909114021,
89,2025,current,52.8898343,,49.4569162,,
90,2025,optimistic,,,,,49.8523670067526
91,2025,pledges,49.852367,,47.3238427,,
92,2026,c1,38.0503943263273,,32.9705688071681,36.957796430336,
93,2026,c2,48.2383975177432,,40.9807662896411,44.4830134825049,
94,2026,current,53.4421136,,49.762924,,
95,2026,optimistic,,,,,49.7666543245448
96,2026,pledges,49.7666543,,47.103366,,
97,2027,c1,35.4208061890334,,30.0469499848878,34.2060161594107,
98,2027,c2,47.0357921951594,,39.2832882538363,42.9854360536078,
99,2027,current,53.9448768,,50.0218602,,
100,2027,optimistic,,,,,49.6899384423369
101,2027,pledges,49.6899384,,46.890841,,
102,2028,c1,32.7912180517396,,27.1233311626074,31.4542358884853,
103,2028,c2,45.8331868725756,,37.5858102180314,41.4878586247106,
104,2028,current,54.4472697,,50.320394,,
105,2028,optimistic,,,,,49.618624760129
106,2028,pledges,49.6186248,,46.6573886,,
107,2029,c1,30.1616299144457,,24.199712340327,28.70245561756,
108,2029,c2,44.6305815499918,,35.8883321822266,39.9902811958135,
109,2029,current,54.9385484,,50.6067865,,
110,2029,optimistic,,,,,49.5431074779211
111,2029,pledges,49.5431075,,46.3793101,,
112,2030,c1,27.5320417771518,,21.2760935180467,25.9506753466347,
113,2030,c2,43.427976227408,,34.1908541464217,38.4927037669163,
114,2030,current,55.4176401,,50.8663539,,
115,2030,optimistic,,,,,49.4310262957132
116,2030,pledges,49.4310263,,46.0746124,,
117,2031,c1,26.7865794583883,,20.5192210794398,25.0050257856152,
118,2031,c2,42.29597465857594,,33.6036815016358,36.7321537654333,
119,2031,current,55.7271496,,50.90703,,
120,2031,optimistic,,,,,48.4281017903073
121,2031,pledges,49.1830533777308,,45.708240320684,,
122,2032,c1,25.6469602143748,,19.4652230424821,23.6875557125167,
123,2032,c2,41.163973089743884,,32.5187707099712,35.6903243077023,
124,2032,current,56.0260297,,50.8928436,,
125,2032,optimistic,,,,,47.4095502422008
126,2032,pledges,48.8839288849138,,45.2964890177196,,
127,2033,c1,24.5073409703612,,18.4112250055244,22.3700856394182,
128,2033,c2,40.031971520911824,,31.4338599183065,34.6484948499714,
129,2033,current,56.3203276,,50.8500557,,
130,2033,optimistic,,,,,46.3775402883726
131,2033,pledges,48.5491713904588,,44.8556778112335,,
132,2034,c1,23.3677217263477,,17.3572269685668,21.0526155663197,
133,2034,c2,38.899969952079765,,30.3489491266418,33.6066653922405,
134,2034,current,56.6125766,,50.794305,,
135,2034,optimistic,,,,,45.334670997561
136,2034,pledges,48.1929156470766,,44.3788434991829,,
137,2035,c1,22.2281024823341,,16.3032289316091,19.7351454932212,
138,2035,c2,37.767968383247705,,29.2640383349771,32.5648359345096,
139,2035,current,56.9002536,,50.7305567,,
140,2035,optimistic,,,,,44.2802771625568
141,2035,pledges,47.8163036672674,,43.8633826301192,,
142,2036,c1,21.0884832383206,,15.2492308946514,18.4176754201227,
143,2036,c2,36.635966814415646,,28.1791275433125,31.5230064767787,
144,2036,current,57.1698925,,50.666098,,
145,2036,optimistic,,,,,43.299396612068
146,2036,pledges,47.4218150637568,,43.3138403143888,,
147,2037,c1,19.948863994307,,14.1952328576937,17.1002053470242,
148,2037,c2,35.503965245583586,,27.0942167516478,30.4811770190478,
149,2037,current,57.4123019,,50.5967226,,
150,2037,optimistic,,,,,42.3095050798029
151,2037,pledges,47.012413263354,,42.7376063137046,,
152,2038,c1,18.8092447502935,,13.141234820736,15.7827352739257,
153,2038,c2,34.37196367675153,,26.0093059599831,29.4393475613169,
154,2038,current,57.6256769,,50.5111331,,
155,2038,optimistic,,,,,41.3103330220848
156,2038,pledges,46.5867081435966,,42.147950728209,,
157,2039,c1,17.6696255062799,,12.0872367837783,14.4652652008271,
158,2039,c2,33.23996210791947,,24.9243951683184,28.3975181035859,
159,2039,current,57.8015742,,50.418814,,
160,2039,optimistic,,,,,40.3037055363504
161,2039,pledges,46.1473909587226,,41.5436491640361,,
162,2040,c1,16.4082787158709,,10.9574034096212,13.0505635809669,
163,2040,c2,32.1079605390874,,23.6626994035186,27.1697282343995,
164,2040,current,57.9412058,,50.3085915,,
165,2040,optimistic,,,,,39.2909955448305
166,2040,pledges,45.6962574715593,,40.937202818727,,
167,2041,c1,15.8868960065397,,10.4437879553885,12.5580861583558,
168,2041,c2,31.14779170314116,,22.9779010764884,26.3138909089279,
169,2041,current,58.1237913,,50.2304272,,
170,2041,optimistic,,,,,38.3176998200227
171,2041,pledges,45.2681006396851,,40.3300690182118,,
172,2042,c1,15.2437857508131,,9.85433716395648,11.9683771889829,
173,2042,c2,30.187622867194918,,22.116317776323,25.2720931720008,
174,2042,current,58.2913503,,50.0908988,,
175,2042,optimistic,,,,,37.3247964005643
176,2042,pledges,44.7824986014697,,39.6366197265455,,
177,2043,c1,14.6006754950865,,9.26488637252442,11.3786682196101,
178,2043,c2,29.227454031248676,,21.2547344761576,24.2302954350737,
179,2043,current,58.4568568,,49.9019287,,
180,2043,optimistic,,,,,36.3158555667083
181,2043,pledges,44.2534220741758,,38.8707230612771,,
182,2044,c1,13.9575652393598,,8.67543558109236,10.7889592502372,
183,2044,c2,28.267285195302435,,20.3931511759923,23.1884976981466,
184,2044,current,58.6239666,,49.6597875,,
185,2044,optimistic,,,,,35.2883890135337
186,2044,pledges,43.6792301295511,,38.0494601247401,,
187,2045,c1,13.3144549836332,,8.0859847896603,10.1992502808643,
188,2045,c2,27.307116359356193,,19.5315678758269,22.1466999612195,
189,2045,current,58.7852138,,49.3805235,,
190,2045,optimistic,,,,,34.2441206863536
191,2045,pledges,43.0670501932732,,37.1870508527698,,
192,2046,c1,12.6713447279065,,7.49653399822824,9.60954131149146,
193,2046,c2,26.346947523409952,,18.6699845756615,21.1049022242924,
194,2046,current,58.9509687,,49.1129367,,
195,2046,optimistic,,,,,33.1974966045649
196,2046,pledges,42.4452455179496,,36.318433874436,,
197,2047,c1,12.0282344721799,,6.90708320679618,9.01983234211859,
198,2047,c2,25.38677868746371,,17.8084012754961,20.2631044873653,
199,2047,current,59.1138003,,48.8593558,,
200,2047,optimistic,,,,,32.1473885531105
201,2047,pledges,41.8233626063633,,35.4708415900375,,
202,2048,c1,11.3851242164533,,6.31763241536412,8.43012337274573,
203,2048,c2,24.42660985151747,,16.9468179753307,19.5213067504382,
204,2048,current,59.2532546,,48.6057035,,
205,2048,optimistic,,,,,31.0939666875928
206,2048,pledges,41.2055465887324,,34.6543613854224,,
207,2049,c1,10.7420139607266,,5.72818162393206,7.84041440337287,
208,2049,c2,23.466441015571228,,16.0852346751654,19.0213067504382,
209,2049,current,59.3624985,,48.3448706,,
210,2049,optimistic,,,,,30.0382298567415
211,2049,pledges,40.5972667037209,,33.8849607057178,,
212,2050,c1,10.098903705,,5.1387308325,7.250705434,
213,2050,c2,22.506272179625,,15.223651375,18.85974659,
214,2050,current,59.4393662,,48.0734779,,
215,2050,optimistic,,,,,28.9949447578605
216,2050,pledges,40.0201468538361,,33.1873032900486,,
217,2051,c1,9.6013749539,,4.680760518899,6.9489938984,
218,2051,c2,21.6800807542678,,14.6305989034,18.198826817,
219,2051,current,59.4336918,,47.6992294,,
220,2051,optimistic,,,,,28.422709760172
221,2051,pledges,39.4619459493124,,32.6220292750652,,
222,2052,c1,9.1038462028,,4.222790205298,6.6472823628,
223,2052,c2,20.8538893289106,,14.0375464318,17.537907044,
224,2052,current,59.3684815,,47.270724,,
225,2052,optimistic,,,,,27.7953609963737
226,2052,pledges,38.8012834039939,,32.0511761930835,,
227,2053,c1,8.6063174517,,3.764819891697,6.3455708272,
228,2053,c2,20.0276979035534,,13.4444939602,16.876987271,
229,2053,current,59.2554198,,46.8094725,,
230,2053,optimistic,,,,,27.119120614225
231,2053,pledges,38.0466428380726,,31.4832641443994,,
232,2054,c1,8.1087887006,,3.306849578096,6.0438592916,
233,2054,c2,19.2015064781962,,12.8514414886,16.216067498,
234,2054,current,59.1065283,,46.3233619,,
235,2054,optimistic,,,,,26.4299868798112
236,2054,pledges,37.2270949238133,,30.941403125036,,
237,2055,c1,7.6112599495,,2.848879264495,5.742147756,
238,2055,c2,18.375315052839,,12.258389017,15.555147725,
239,2055,current,58.9322684,,45.8355637,,
240,2055,optimistic,,,,,25.7051845152293
241,2055,pledges,36.3409183156215,,30.3978959916227,,
242,2056,c1,7.1137311984,,2.390908950894,5.4404362204,
243,2056,c2,17.5491236274818,,11.6653365454,14.894227952,
244,2056,current,58.7281594,,45.3694633,,
245,2056,optimistic,,,,,24.9899820658692
246,2056,pledges,35.4388659454798,,29.8708679860508,,
247,2057,c1,6.6162024473,,1.932938637293,5.1387246848,
248,2057,c2,16.7229322021246,,11.0722840738,14.233308179,
249,2057,current,58.5042274,,44.938204,,
250,2057,optimistic,,,,,24.2923257112384
251,2057,pledges,34.5785115362642,,29.3405830704719,,
252,2058,c1,6.1186736962,,1.474968323692,4.8370131492,
253,2058,c2,15.8967407767674,,10.4792316022,13.572388406,
254,2058,current,58.2747327,,44.5655799,,
255,2058,optimistic,,,,,23.6420125591161
256,2058,pledges,33.8277833193157,,28.8072327909718,,
257,2059,c1,5.6211449451,,1.016998010091,4.5353016136,
258,2059,c2,15.0705493514102,,9.8861791306,12.911468633,
259,2059,current,58.0621007,,44.2430439,,
260,2059,optimistic,,,,,23.0789342348947
261,2059,pledges,33.1998372088016,,28.2959723295849,,
262,2060,c1,5.123616194,,0.55902769649,4.233590078,
263,2060,c2,14.244357926053,,9.293126659,12.25054886,
264,2060,current,57.884047,,43.9680021,,
265,2060,optimistic,,,,,22.6377045590984
266,2060,pledges,32.670347513531,,27.8081318414329,,
267,2061,c1,4.8904936747,,0.266859726991,3.812638412077,
268,2061,c2,13.7975675048977,,8.8244514174,11.7919057528716,
269,2061,current,57.6713428,,43.667885,,
270,2061,optimistic,,,,,22.1988958711113
271,2061,pledges,32.202316256245,,27.3094585793273,,
272,2062,c1,4.6573711554,,-0.025308242508,3.391686746154,
273,2062,c2,13.3507770837424,,8.3557761758,11.3332626457432,
274,2062,current,57.4370522,,43.3458889,,
275,2062,optimistic,,,,,21.774537799007
276,2062,pledges,31.7739755680826,,26.8034802354798,,
277,2063,c1,4.4242486361,,-0.317476212007,2.970735080231,
278,2063,c2,12.9039866625871,,7.8871009342,10.8746195386148,
279,2063,current,57.1942296,,42.9927546,,
280,2063,optimistic,,,,,21.372033968609
281,2063,pledges,31.4042574426627,,26.3026971268076,,
282,2064,c1,4.1911261168,,-0.609644181506,2.549783414308,
283,2064,c2,12.4571962414318,,7.4184256926,10.4159764314864,
284,2064,current,56.9652296,,42.5876237,,
285,2064,optimistic,,,,,20.984903289083
286,2064,pledges,31.073207481574,,25.8192722744912,,
287,2065,c1,3.9580035975,,-0.901812151005,2.128831748385,
288,2065,c2,12.0104058202765,,6.949750451,9.957333324358,
289,2065,current,56.7485175,,42.1448139,,
290,2065,optimistic,,,,,20.6096843495314
291,2065,pledges,30.7559768440724,,25.3681051518383,,
292,2066,c1,3.7248810782,,-1.193980120504,1.707880082462,
293,2066,c2,11.5636153991212,,6.4810752094,9.4986902172296,
294,2066,current,56.5605614,,41.6475156,,
295,2066,optimistic,,,,,20.2411510589114
296,2066,pledges,30.4512503885967,,24.9609592386802,,
297,2067,c1,3.4917585589,,-1.486148090003,1.286928416539,
298,2067,c2,11.1168249779659,,6.0123999678,9.0400471101012,
299,2067,current,56.3904265,,41.0845442,,
300,2067,optimistic,,,,,19.8859675479724
301,2067,pledges,30.1731722466398,,24.5934859763248,,
302,2068,c1,3.2586360396,,-1.778316059502,0.865976750616,
303,2068,c2,10.6700345568106,,5.5437247262,8.5814040029728,
304,2068,current,56.2363871,,40.496645,,
305,2068,optimistic,,,,,19.5397720370781
306,2068,pledges,29.8949341944217,,24.2535523864714,,
307,2069,c1,3.0255135203,,-2.070484029001,0.445025084693,
308,2069,c2,10.2232441356553,,5.0750494846,8.1227608958444,
309,2069,current,56.0777051,,39.9117886,,
310,2069,optimistic,,,,,19.203251145916
311,2069,pledges,29.6145259624655,,23.9327047835201,,
312,2070,c1,2.792391001,,-2.3626519985,0.02407341877,
313,2070,c2,9.7764537145,,4.606374243,7.664117788716,
314,2070,current,55.9233675,,39.3638324,,
315,2070,optimistic,,,,,18.8767951351825
316,2070,pledges,29.3275333564616,,23.627321735424,,
317,2071,c1,2.6815081102,,-2.6925253799,-0.142224412807,
318,2071,c2,9.52556772855,,4.426544653,7.2563475310444,
319,2071,current,55.794428,,38.8919822,,
320,2071,optimistic,,,,,18.578521165584
321,2071,pledges,29.0480459916097,,23.3434986964431,,
322,2072,c1,2.5706252194,,-3.0223987613,-0.308522244384,
323,2072,c2,9.2746817426,,4.246715063,6.8485772733728,
324,2072,current,55.6489579,,38.47061,,
325,2072,optimistic,,,,,18.2743682922359
326,2072,pledges,28.7394652228926,,23.0558079656891,,
