,Type,Value,Category,Detail
0,Mammals,1323,Vertebrate,Value = Number of threatened species by 2021 (IUCN Red List version 2021-1)
1,Birds,1481,Vertebrate,
2,Reptiles,1458,Vertebrate,
3,Amphibians,2442,Vertebrate,
4,Fishes,3210,Vertebrate,
5,Insects,1926,Invertebrate,
6,Molluscs,2305,Invertebrate,
7,Crustaceans,743,Invertebrate,
8,Corals,237,Invertebrate,
9,Arachnids,218,Invertebrate,
