,Region,Country,y1,y2,y3
0,Yorkshire and the Humber,England,7.141403865717191,11.094988809272548,8.586594632809831
1,West Midlands,England,8.056968463886063,11.182782539652386,8.749799218289875
2,Wales,Wales,3.4833942731011214,10.5075243485605,7.897478083026288
3,South West,England,9.380014865043025,11.33213699098598,8.915260618977626
4,South East,England,15.573199398259373,11.956019737921572,9.411207275235308
5,Scotland,Scotland,6.195487405877275,10.928420384798509,8.399877717461703
6,Northern Ireland,Northern Ireland,2.5276790900889528,10.337986863262902,7.615956834954842
7,North West,England,9.36825870010898,11.311791111026668,8.935606498936934
8,North East,England,2.743649067867055,10.43112654803418,7.698687535298719
9,London,England,18.980347202466174,12.18568522839603,9.419796990260574
10,East of England,England,10.00389761197862,11.429790306172675,9.027836549007144
11,East Midlands,England,6.616383442115279,11.017483984959938,8.523300177724195
