,a,b,c
121,2017-Q1,Early stage venture,71.98228128460676
122,2017-Q1, Late stage venture,11.517165005537208
123,2017-Q2,Seed,348.1690660760428
124,2017-Q2,Early stage venture,75.43743078626801
125,2017-Q2, Late stage venture,8.157991878922132
126,2017-Q3,Seed,296.34182355112586
127,2017-Q3,Early stage venture,72.55813953488376
128,2017-Q3, Late stage venture,14.396456256921283
129,2017-Q4,Seed,277.91435954226654
130,2017-Q4,Early stage venture,62.19269102990029
131,2017-Q4, Late stage venture,11.037283130306378
132,2018-Q1,Seed,392.5101513473607
133,2018-Q1,Early stage venture,57.00996677740858
134,2018-Q1, Late stage venture,8.637873754152793
135,2018-Q2,Seed,325.71059431524543
136,2018-Q2,Early stage venture,95.01661129568106
137,2018-Q2, Late stage venture,13.916574381690737
138,2018-Q3,Seed,268.12476928756
139,2018-Q3,Early stage venture,83.49944629014385
140,2018-Q3, Late stage venture,17.275747508305756
141,2018-Q4,Seed,285.9763750461425
142,2018-Q4,Early stage venture,65.07198228128459
143,2018-Q4, Late stage venture,14.972314507198234
144,2019-Q1,Seed,279.0660760428202
145,2019-Q1,Early stage venture,78.31672203765226
146,2019-Q1, Late stage venture,11.517165005537152
147,2019-Q2,Seed,253.72831303063865
148,2019-Q2,Early stage venture,95.01661129568103
149,2019-Q2, Late stage venture,19.675156884459227
150,2019-Q3,Seed,239.3318567737172
151,2019-Q3,Early stage venture,83.49944629014405
152,2019-Q3, Late stage venture,13.916574381690566
153,2019-Q4,Seed,204.780361757106
154,2019-Q4,Early stage venture,94.44075304540411
155,2019-Q4, Late stage venture,6.334440753045385
156,2020-Q1,Seed,167.34957548911038
157,2020-Q1,Early stage venture,70.54263565891472
158,2020-Q1, Late stage venture,15.836101882613548
