Sport,Discipline
Aquatics,Swimming
Aquatics,Synchronized S.
Aquatics,Water polo
Aquatics,Synchronized Swimming
Aquatics,Artistic Swimming
Aquatics,Water Polo
Aquatics,Marathon swimming
Aquatics,Marathon Swimming
Aquatics,Diving
Open Water,Surfing
Open Water,Water Motorsports
Open Water,Water Motorspor
Open Water,Sailing
Archery,Archery
Athletics,Athletics
Baseball,Baseball
Baseball,Baseball/Softball
Baseball,Softball
Baseball,Cricket
Basketball,Basketball
Basketball,3x3 Basketball
Biathlon,Biathlon
Biathlon,Military Patrol
Bobsleigh,Bobsleigh
Bobsleigh,Skeleton
Bobsleigh,Luge
Boxing,Boxing
Kayak/Canoe,Canoe Slalom
Kayak/Canoe,Canoe Sprint
Kayak/Canoe,Canoe Marathon
Kayak/Canoe,Canoe / Kayak S
Kayak/Canoe,Canoe / Kayak F
Croquet,Croquet
Croquet,Roque
Curling,Curling
Cycling,Cycling BMX
Cycling,Cycling Track
Cycling,Mountain Bike
Cycling,BMX
Cycling,Cycling BMX Freestyle
Cycling,Cycling BMX Racing
Cycling,Cycling Mountain Bike
Cycling,Cycling Road
Equestrian,Vaulting
Equestrian,Jumping
Equestrian,Dressage
Equestrian,Eventing
Equestrian,Equestrian
Equestrian,Equestrian  Vaulting
Equestrian,Equestrian Dressage
Equestrian,Equestrian Eventing
Equestrian,Equestrian Jumping
Fencing,Fencing
Football,Football
Golf,Golf
Gymnastics,Trampoline
Gymnastics,Trampoline Gymnastics
Gymnastics,Gymnastics Artistic
Gymnastics,Rhythmic G.
Gymnastics,Rhythmic Gymnastics
Gymnastics,Gymnastics Rhythmic
Gymnastics,Artistic G.
Gymnastics,Artistic Gymnastics
Handball,Handball
Hockey,Hockey
Ice Hockey,Ice Hockey
Martial Arts,Judo
Martial Arts,Karate
Martial Arts,Taekwondo
Lacrosse,Lacrosse
Multisport,Modern Pentathlon
Multisport,Modern Pentath.
Multisport,Triathlon
Polo,Polo
Racket Games,Basque Pelota
Racket Games,Rackets
Racket Games,Badminton
Racket Games,Table Tennis
Racket Games,Tennis
Racket Games,Jeu de Paume
Rowing,Rowing
Rugby,Rugby
Rugby,Rugby Sevens
Shooting,Shooting
Skateboarding,Skateboarding
Skating,Figure skating
Skating,Short Track Speed Skating
Skating,Short Track
Skating,Speed skating
Skiing,Cross Country Skiing
Skiing,Nordic Combined
Skiing,Alpine Skiing
Skiing,Ski Jumping
Skiing,Snowboard
Skiing,Freestyle Skiing
Sport Climbing,Sport Climbing
Tug of War,Tug of War
Volleyball,Beach Volleyball
Volleyball,Beach volley.
Volleyball,Volleyball
Weightlifting,Weightlifting
Wrestling,Wrestling Freestyle
Wrestling,Wrestling Gre-R
Wrestling,Wrestling Free.
Wrestling,Wrestling
