,key,year,value
178,Brunei,2000,69023.0
179,Brunei,2023,67252.0
180,Brunei,2050,119137.0
181,Bulgaria,1800,1232.0
182,Bulgaria,1850,1433.0
183,Bulgaria,1900,1855.0
184,Bulgaria,1950,3060.0
185,Bulgaria,2000,10504.0
186,Bulgaria,2023,25576.0
187,Bulgaria,2050,50941.0
188,Burkina Faso,1800,543.0
189,Burkina Faso,1850,564.0
190,Burkina Faso,1900,595.0
191,Burkina Faso,1950,566.0
192,Burkina Faso,2000,1297.0
193,Burkina Faso,2023,2324.0
194,Burkina Faso,2050,4185.0
195,Burundi,1800,473.0
196,Burundi,1850,496.0
197,Burundi,1900,520.0
198,Burundi,1950,692.0
199,Burundi,2000,828.0
200,Burundi,2023,744.0
201,Burundi,2050,1271.0
202,Cambodia,1800,435.0
203,Cambodia,1850,456.0
204,Cambodia,1900,491.0
205,Cambodia,1950,893.0
206,Cambodia,2000,1929.0
207,Cambodia,2023,4668.0
208,Cambodia,2050,10581.0
209,Cameroon,1800,709.0
210,Cameroon,1850,822.0
211,Cameroon,1900,1140.0
212,Cameroon,1950,2036.0
213,Cameroon,2000,2858.0
214,Cameroon,2023,3856.0
215,Cameroon,2050,7123.0
216,Canada,1800,1486.0
217,Canada,1850,2464.0
218,Canada,1900,5394.0
219,Canada,1950,13510.0
220,Canada,2000,37194.0
221,Canada,2023,49950.0
222,Canada,2050,79019.0
223,Cape Verde,1800,599.0
224,Cape Verde,1850,683.0
225,Cape Verde,1900,965.0
226,Cape Verde,1950,1169.0
227,Cape Verde,2000,4065.0
228,Cape Verde,2023,6932.0
229,Cape Verde,2050,13763.0
230,Central African Republic,1800,480.0
231,Central African Republic,1850,557.0
232,Central African Republic,1900,709.0
233,Central African Republic,1950,1519.0
234,Central African Republic,2000,1040.0
235,Central African Republic,2023,959.0
236,Central African Republic,2050,1714.0
237,Chad,1800,473.0
238,Chad,1850,549.0
239,Chad,1900,698.0
240,Chad,1950,947.0
241,Chad,2000,897.0
242,Chad,2023,1454.0
243,Chad,2050,2309.0
244,Chile,1800,992.0
245,Chile,1850,1572.0
246,Chile,1900,3936.0
247,Chile,1950,6835.0
248,Chile,2000,15638.0
249,Chile,2023,25388.0
250,Chile,2050,42597.0
251,China,1800,1077.0
252,China,1850,997.0
253,China,1900,1130.0
254,China,1950,929.0
255,China,2000,3452.0
256,China,2023,19337.0
257,China,2050,42738.0
258,China,1700,1208.2686048617268
259,China,1750,1167.9948746169152
260,Colombia,1800,1095.0
261,Colombia,1850,911.0
262,Colombia,1900,1266.0
263,Colombia,1950,3990.0
264,Colombia,2000,9043.0
265,Colombia,2023,15567.0
266,Colombia,2050,28262.0
267,Comoros,1800,788.0
268,Comoros,1850,829.0
269,Comoros,1900,872.0
270,Comoros,1950,814.0
271,Comoros,2000,2834.0
272,Comoros,2023,2950.0
273,Comoros,2050,4605.0
274,"Congo, Dem. Rep.",1800,549.0
275,"Congo, Dem. Rep.",1850,675.0
276,"Congo, Dem. Rep.",1900,829.0
277,"Congo, Dem. Rep.",1950,1943.0
278,"Congo, Dem. Rep.",2000,752.0
279,"Congo, Dem. Rep.",2023,1182.0
280,"Congo, Dem. Rep.",2050,2292.0
281,"Congo, Rep.",1800,651.0
282,"Congo, Rep.",1850,749.0
283,"Congo, Rep.",1900,864.0
284,"Congo, Rep.",1950,1968.0
285,"Congo, Rep.",2000,4400.0
286,"Congo, Rep.",2023,3342.0
287,"Congo, Rep.",2050,5321.0
288,Costa Rica,1800,877.0
289,Costa Rica,1850,1231.0
290,Costa Rica,1900,2151.0
291,Costa Rica,1950,3637.0
292,Costa Rica,2000,12624.0
293,Costa Rica,2023,22122.0
294,Costa Rica,2050,39300.0
295,Cote d'Ivoire,1800,678.0
296,Cote d'Ivoire,1850,678.0
297,Cote d'Ivoire,1900,681.0
298,Cote d'Ivoire,1950,1929.0
299,Cote d'Ivoire,2000,2735.0
300,Cote d'Ivoire,2023,5774.0
301,Cote d'Ivoire,2050,11276.0
302,Croatia,1800,1220.0
303,Croatia,1850,1953.0
304,Croatia,1900,3194.0
305,Croatia,1950,3534.0
306,Croatia,2000,18362.0
307,Croatia,2023,32460.0
308,Croatia,2050,60738.0
309,Cuba,1800,719.0
310,Cuba,1850,1032.0
311,Cuba,1900,1966.0
312,Cuba,1950,3067.0
313,Cuba,2000,4661.0
314,Cuba,2023,10721.0
315,Cuba,2050,18917.0
316,Cyprus,1800,966.0
317,Cyprus,1850,1381.0
318,Cyprus,1900,2494.0
319,Cyprus,1950,3354.0
320,Cyprus,2000,32943.0
321,Cyprus,2023,42248.0
322,Cyprus,2050,74676.0
323,Czech Republic,1800,2168.0
324,Czech Republic,1850,2776.0
325,Czech Republic,1900,4482.0
326,Czech Republic,1950,7798.0
327,Czech Republic,2000,24977.0
328,Czech Republic,2023,42100.0
329,Czech Republic,2050,78216.0
330,Denmark,1800,2278.0
331,Denmark,1850,3275.0
332,Denmark,1900,5590.0
333,Denmark,1950,12865.0
334,Denmark,2000,48907.0
335,Denmark,2023,59846.0
336,Denmark,2050,100466.0
337,Denmark,1700,1132.9108731169356
338,Denmark,1750,1233.4173238666117
339,Djibouti,1800,851.0
