,year,Africa,Asia,Europe and Central Asia,East and Southeast Asia,South Asia,West Asia,World,North America,Latin America,stack
0,1,0.017,0.168,0.034,0.074,0.075,0.019,0.226,0.001,0.006,False
1,1000,0.032,0.183,0.04,0.088,0.075,0.02,0.267,0.001,0.011,False
2,1500,0.047,0.284,0.078,0.166,0.11,0.018,0.438,0.002,0.018,False
3,1600,0.055,0.379,0.112,0.223,0.135,0.021,0.556,0.002,0.009,False
4,1700,0.061,0.402,0.127,0.216,0.165,0.021,0.603,0.001,0.012,False
5,1820,0.074,0.71,0.224,0.469,0.216,0.025,1.041,0.011,0.022,False
6,1913,0.125,0.978,0.498,0.613,0.326,0.039,1.791,0.105,0.081,False
7,2000,0.798,3.605,0.742,1.996,1.372,0.237,6.062,0.314,0.52,False
8,2023,1.4434043529999998,4.736907367,0.82022655,2.34677782,2.016644543,0.29587569199999997,8.008551995,0.377824592,0.662490196,False
9,2024,1.477559192,4.769252087,0.82064989,2.35182543,2.038513208,0.300191626,8.0820709,0.379984222,0.667504046,False
10,2025,1.5124286550000001,4.800868175,0.8211961600000001,2.356417945,2.060113713,0.304516022,8.155601099,0.382111788,0.672441678,False
11,2026,1.547633839,4.831629934,0.821597415,2.360495134,2.08147376,0.308778628,8.228375807,0.38421087400000004,0.677282414,False
12,2027,1.583219393,4.86143658,0.8218649349999999,2.364077301,2.102455576,0.31299331599999997,8.300353212000001,0.386279283,0.682035554,False
13,2028,1.619186131,4.890412182,0.822005122,2.367157316,2.123177616,0.31716864,8.37160213,0.388312562,0.686648715,False
14,2029,1.655504081,4.918481632000001,0.822043843,2.369745692,2.1435344769999998,0.32131393199999997,8.442055453,0.390321005,0.691133982,False
15,2030,1.6921861710000001,4.945652427,0.8219824940000001,2.371850245,2.1635244670000002,0.325424158,8.511723329,0.39231239,0.695480218,False
16,2031,1.7291465460000002,4.971962412,0.821831966,2.3734664690000002,2.183184455,0.32949901400000003,8.580559324,0.39428062199999997,0.699689418,False
17,2032,1.7664244869999999,4.997325979,0.821607741,2.374610082,2.2024155899999998,0.333538743,8.648506164999999,0.39621571899999997,0.703741788,False
18,2033,1.8040222860000001,5.021865038,0.821308192,2.375282114,2.221313059,0.337564327,8.715677802,0.39811135200000003,0.7076411269999999,False
19,2034,1.8419072029999999,5.045442466,0.82094627,2.375477154,2.239756786,0.34155905599999997,8.781919280999999,0.399972702,0.711389027,False
20,2035,1.880099247,5.068063483,0.820521064,2.375145861,2.257790613,0.34553248,8.847231061,0.401771065,0.714990391,False
21,2036,1.918494365,5.089781788,0.820040305,2.374386535,2.275384264,0.34947179,8.911563741,0.40351601000000004,0.718428304,False
22,2037,1.957061057,5.110547553,0.8195126620000001,2.373189016,2.292500573,0.35337024499999997,8.974849663,0.405204478,0.721714037,False
23,2038,1.995836034,5.130452135,0.818948024,2.371604585,2.309174014,0.35723495,9.037203075999999,0.406827673,0.7248302090000001,False
24,2039,2.034775874,5.149520759,0.818345796,2.369653287,2.325425165,0.361046525,9.098574977,0.408371048,0.727766432,False
25,2040,2.0738308119999997,5.167563222,0.817695424,2.36726942,2.341125144,0.36480975400000004,9.158747453,0.409860407,0.730528985,False
26,2041,2.1129860419999997,5.184645894999999,0.8170059,2.3644575669999996,2.356339063,0.36852312400000004,9.217753531,0.411261184,0.73312196,False
27,2042,2.152249012,5.200751401,0.81627225,2.361218801,2.371053034,0.372184255,9.275593070000001,0.41260426899999997,0.7355281920000001,False
28,2043,2.191502205,5.215926715,0.8154916310000001,2.35756584,2.385323608,0.375775014,9.332200631,0.41388220400000003,0.7377577369999999,False
29,2044,2.230831761,5.230002175,0.814655397,2.353409866,2.399054932,0.379312343,9.38747221,0.41508568300000004,0.739805832,False
30,2045,2.270126162,5.242999222,0.813746135,2.348788185,2.412262565,0.3827703,9.441344637,0.416232672,0.7416966239999999,False
31,2046,2.309395151,5.254855931,0.812759727,2.343577603,2.4249994100000003,0.386161115,9.493742512,0.417299311,0.7434275069999999,False
32,2047,2.3486022220000002,5.265574447,0.81168311,2.337816315,2.437236178,0.38947973999999996,9.544639095,0.41830887699999997,0.744996046,False
33,2048,2.387779792,5.275033984,0.810519824,2.3314418830000005,2.448932026,0.39271493199999996,9.593956678,0.41925821399999996,0.7464065559999999,False
34,2049,2.4268330610000004,5.283268718,0.80924079,2.324398687,2.46018119,0.39586493199999995,9.641592262,0.420146597,0.747644957,False
35,2050,2.46575485,5.290144616,0.8078514419999999,2.316675361,2.470848545,0.398940806,9.687440029,0.42100098100000005,0.74871528,False
36,2051,2.504516228,5.295750527,0.806353145,2.30826133,2.481045362,0.401934124,9.731543492,0.42179498800000004,0.74962215,False
37,2052,2.543022822,5.300031735,0.804748391,2.299151647,2.490732136,0.40482773,9.773770339,0.422546992,0.75036904,False
38,2053,2.581402127,5.303133827,0.803036244,2.28939573,2.499980638,0.407650342,9.814433746999999,0.423278406,0.750969098,False
39,2054,2.6195490759999998,5.304913243,0.801221708,2.2790003580000002,2.508661926,0.410379792,9.853288635,0.423988512,0.751421744,False
40,2055,2.657438687,5.305546526,0.799324453,2.267981747,2.516928685,0.413019724,9.890512569,0.424695664,0.7517209429999999,False
41,2056,2.695097687,5.305015008000001,0.7973324620000001,2.256361298,2.524745659,0.415569437,9.926097169,0.425391367,0.751867438,False
42,2057,2.732519517,5.303392624,0.7952670970000001,2.2442079730000004,2.532102935,0.418040296,9.960149356,0.426095704,0.751861311,False
43,2058,2.7696911770000003,5.300728436,0.7931393230000001,2.2315898080000003,2.538984298,0.420428118,9.992730945,0.42680338,0.751720189,False
44,2059,2.806510179,5.297169379,0.790954779,2.2186217879999997,2.545414622,0.422743054,10.023889276,0.42751759,0.751440412,False
45,2060,2.842982261,5.292608743,0.7887268489999999,2.205296326,2.5513138029999998,0.424960934,10.053522446,0.428240371,0.75100931,False
46,2061,2.879176761,5.287245154,0.7864717800000001,2.191720965,2.556761704,0.427093207,10.081944767000001,0.428973914,0.750454152,False
47,2062,2.9151036280000002,5.2811153609999995,0.784198982,2.177994532,2.56169154,0.429144293,10.109201361,0.429721016,0.7497605890000001,False
48,2063,2.9507593709999997,5.27432754,0.7819152080000001,2.164127826,2.5661891970000004,0.43112380499999997,10.135413996999999,0.43048575,0.748937827,False
49,2064,2.985987838,5.266919051,0.7796444250000001,2.15021706,2.570212409,0.43301444699999997,10.160484234,0.431271307,0.747978932,False
50,2065,3.020948829,5.258873985,0.777378754,2.136264175,2.573737384,0.43482448599999995,10.184543317,0.432066142,0.746886993,False
51,2066,3.055429962,5.250203663,0.7751282070000001,2.122292704,2.5767405410000004,0.436559881,10.207386482999999,0.432866336,0.7456584629999999,False
52,2067,3.08954997,5.2409436849999995,0.772893911,2.1083277309999997,2.579220839,0.438233384,10.22915955,0.43366875,0.744287253,False
53,2068,3.123347118,5.231178902,0.770683052,2.094431566,2.581211606,0.439835814,10.250008009,0.434469343,0.7427898000000001,False
54,2069,3.156691415,5.220830896,0.768513821,2.0805344330000004,2.582700042,0.441367624,10.269737974,0.435269935,0.74116287,False
55,2070,3.189577699,5.210000263,0.766370354,2.066710643,2.58371481,0.442831085,10.288411766000001,0.43604109999999996,0.739414588,False
56,2071,3.221969019,5.1986061359999995,0.7642601240000001,2.052932843,2.584188568,0.444232487,10.305921655999999,0.43679107,0.737548321,False
57,2072,3.253901928,5.18667591,0.7621827950000001,2.039212376,2.584138301,0.44557878700000003,10.322362949999999,0.437543173,0.735565872,False
58,2073,3.2854219330000003,5.174232028,0.76014479,2.025536612,2.583593625,0.446868828,10.337756759,0.438261304,0.733456898,False
59,2074,3.316428761,5.16129348,0.758135566,2.0118339769999998,2.582650482,0.448103293,10.352026226,0.438947813,0.7312266040000001,False
60,2075,3.346895592,5.147795514,0.7561530449999999,1.998141778,2.581211755,0.449277504,10.365079300000001,0.43959107799999997,0.7288885500000001,False
61,2076,3.37681317,5.133729721,0.75420523,1.984383411,2.579327889,0.450404833,10.376909096999999,0.44019926899999995,0.726441128,False
62,2077,3.4061478160000003,5.119062197,0.752283049,1.970545339,2.576998368,0.451468788,10.387451696000001,0.440765471,0.723903267,False
63,2078,3.434873734,5.103818201999999,0.7503914989999999,1.9566474269999998,2.574223284,0.452471102,10.396712303,0.441301188,0.721267771,False
64,2079,3.4631263100000003,5.087953874,0.748520228,1.942661588,2.5709831320000003,0.453421745,10.404787203,0.44180102899999996,0.718546258,False
65,2080,3.4908250890000003,5.071617956,0.7466796099999999,1.9286125570000001,2.567399645,0.454320707,10.411746641,0.442256411,0.715742082,False
66,2081,3.51797819,5.0547439249999995,0.744866658,1.914491829,2.563406295,0.455173309,10.417527736,0.442672014,0.712850656,False
67,2082,3.5445782379999997,5.037368852,0.743071928,1.900335508,2.558995947,0.45598835600000004,10.422175242,0.44305971,0.709884777,False
68,2083,3.570606569,5.019691682,0.741295024,1.8861684380000001,2.554358575,0.45675560800000004,10.425870549,0.443413901,0.7068475550000001,False
69,2084,3.596028273,5.0016714879999995,0.7395477540000001,1.872,2.549438076,0.45747811,10.428582251,0.443747713,0.703759035,False
70,2085,3.620869142,4.983305906,0.737820367,1.857863173,2.544202732,0.458152626,10.430312539,0.444059761,0.700607735,False
71,2086,3.645097384,4.964601875,0.736112006,1.8437581189999999,2.538658463,0.458782751,10.431045663,0.44434935200000003,0.697400417,False
72,2087,3.668647875,4.945630315000001,0.734425999,1.8297507530000001,2.532806941,0.459366353,10.430806898,0.444631732,0.6941469849999999,False
73,2088,3.691584015,4.92646737,0.732760783,1.815849463,2.526720589,0.459903857,10.429728349,0.44489303399999997,0.6908468090000001,False
74,2089,3.713928556,4.907189744,0.7311128,1.80207749,2.5204599780000003,0.46038721899999996,10.427932903999999,0.44515004399999997,0.687513005,False
75,2090,3.735552232,4.887774116999999,0.729485523,1.7884383769999999,2.5139824789999996,0.460831544,10.425269389,0.445403539,0.684140809,False
76,2091,3.75656067,4.868201323,0.727870841,1.7749520630000002,2.5072560520000002,0.461232379,10.421812683,0.44564167099999996,0.680734098,False
