,year,Africa,Asia,Europe and Central Asia,East and Southeast Asia,South Asia,West Asia,World,North America,Latin America,stack
77,2092,3.77690285,4.848414819,0.726264715,1.761584301,2.500267843,0.461582695,10.417481581,0.445891159,0.6772947410000001,False
78,2093,3.796661157,4.828499099999999,0.724665333,1.7483747119999997,2.493066427,0.461878838,10.412438077,0.446139406,0.673831539,False
79,2094,3.8157718149999997,4.808375991,0.723076047,1.735241953,2.4856447599999996,0.462126963,10.4065441,0.446387133,0.670348375,False
80,2095,3.834301844,4.788187592,0.7214818510000001,1.7222519939999998,2.47808728,0.462321844,10.400000198999999,0.44663848,0.6668461219999999,False
81,2096,3.85212415,4.767861081,0.719884949,1.709331363,2.4703838790000003,0.462474412,10.39261149,0.446894964,0.663326123,False
82,2097,3.869323835,4.747334169,0.718281363,1.6964813939999999,2.462471613,0.462583283,10.384422809,0.447167208,0.659801218,False
83,2098,3.885829234,4.726641621000001,0.7166650010000001,1.6837009040000002,2.454398591,0.46263989299999997,10.375354087,0.447422033,0.656268938,False
84,2099,3.901765924,4.70577339,0.7150429480000001,1.6709865830000001,2.4461522259999997,0.46264871500000004,10.365536306,0.447673489,0.652722794,False
85,2100,3.917076934,4.6848223760000005,0.713413867,1.658337444,2.437818761,0.462613841,10.355002417,0.44790709,0.649177439,False
0,1,0.226,,0.06,0.134,0.209,0.02,,0.001,0.026,True
1,1000,0.267,,0.072,0.16,0.235,0.021,,0.001,0.032,True
2,1500,0.439,,0.116,0.282,0.392,0.02,,0.002,0.038,True
3,1600,0.557,,0.144,0.367,0.502,0.023,,0.002,0.032,True
4,1700,0.603,,0.161,0.377,0.542,0.022,,0.001,0.034,True
5,1820,1.041,,0.282,0.751,0.967,0.036,,0.011,0.058,True
6,1913,1.787,,0.723,1.336,1.662,0.144,,0.105,0.225,True
7,2000,5.979,,1.813,3.809,5.181,0.551,,0.314,1.071,True
8,2023,7.963243745999999,,2.15641703,4.50319485,6.519839392999999,0.673700284,,0.377824592,1.33619048,True
9,2024,8.036227614,,2.168329784,4.520155214,6.558668422,0.680175848,,0.379984222,1.3476798939999999,True
10,2025,8.109225961,,2.1802656480000002,4.536683593,6.596797306,0.6866278100000001,,0.382111788,1.3590694879999998,True
11,2026,8.181472064,,2.1918693310000004,4.552364465,6.633838225,0.6929895020000001,,0.38421087400000004,1.3702719160000003,True
12,2027,8.252925358,,2.203173088,4.567250389000001,6.6697059649999995,0.6992725989999999,,0.386279283,1.381308153,True
13,2028,8.323656102000001,,2.214135039,4.581292355,6.704469971000001,0.7054812020000001,,0.388312562,1.3921299169999999,True
14,2029,8.393597012,,2.2248127619999996,4.5945584539999995,6.738092931,0.7116349369999999,,0.390321005,1.4027689189999997,True
15,2030,8.462760142999999,,2.23519926,4.607049505,6.770573972,0.717736548,,0.39231239,1.413216766,True
16,2031,8.53109849,,2.24530102,4.618767489,6.801951944,0.723779636,,0.39428062199999997,1.423469054,True
17,2032,8.59855415,,2.255103991,4.629714073,6.832129663,0.729754462,,0.39621571899999997,1.43349625,True
18,2033,8.665242457,,2.2646249979999995,4.6399071119999995,6.861220171,0.735675679,,0.39811135200000003,1.443316806,True
19,2034,8.731008198,,2.2738670549999997,4.649344209,6.889100994999999,0.7415317579999999,,0.399972702,1.4529207849999999,True
20,2035,8.795850720999999,,2.282815,4.657960860999999,6.9157514739999995,0.747303545,,0.401771065,1.4622939359999998,True
21,2036,8.859721573000002,,2.291456409,4.665842944,6.941227208000001,0.7529878000000001,,0.40351601000000004,1.471416104,True
22,2037,8.922552068,,2.2998014220000003,4.672990438,6.965491011,0.758574723,,0.405204478,1.48028876,True
23,2038,8.984455489,,2.307840856,4.6794454409999995,6.988619455,0.764062623,,0.406827673,1.4888928319999999,True
24,2039,9.045384127,,2.315529801,4.685183088,7.010608252999999,0.7694175730000001,,0.408371048,1.497184005,True
25,2040,9.105119945999999,,2.3228945700000003,4.69016399,7.031289134,0.7746701610000001,,0.409860407,1.5051991460000003,True
26,2041,9.16369484,,2.3299121679999995,4.6943697349999995,7.050708798,0.779784308,,0.411261184,1.5129062679999998,True
27,2042,9.221109813000002,,2.336588966,4.697807767,7.068860801,0.784788524,,0.41260426899999997,1.520316716,True
28,2043,9.277298239,,2.3429065860000002,4.700472426,7.085796034,0.7896572180000001,,0.41388220400000003,1.527414955,True
29,2044,9.332155814,,2.348859255,4.702269121,7.101324052999999,0.7943980260000001,,0.41508568300000004,1.534203858,True
30,2045,9.385622643,,2.3544457309999998,4.703233915999999,7.115496480999998,0.799002972,,0.416232672,1.5406995959999998,True
31,2046,9.437619824,,2.3596476600000003,4.703225263,7.128224673,0.803460426,,0.417299311,1.546887933,True
32,2047,9.488122487999998,,2.364467773,4.702284088,7.139520265999999,0.8077886169999999,,0.41830887699999997,1.552784663,True
33,2048,9.537053227,,2.368899526,4.700341409,7.1492734350000005,0.8119731459999999,,0.41925821399999996,1.558379702,True
34,2049,9.584310214,,2.372897276,4.697295962999999,7.157477152999999,0.816011529,,0.420146597,1.563656486,True
35,2050,9.629787265000001,,2.376508509,4.69318387,7.164032415,0.819941787,,0.42100098100000005,1.568657067,True
36,2051,9.673527327,,2.379704407,4.687965737,7.1690110989999996,0.823729112,,0.42179498800000004,1.573351262,True
37,2052,9.715398758,,2.382492153,4.6816438,7.172375936,0.8273747220000001,,0.422546992,1.577743762,True
38,2053,9.755712585000001,,2.38493409,4.6743298200000005,7.174310458000001,0.830928748,,0.423278406,1.581897846,True
39,2054,9.794223116,,2.387011756,4.666012114,7.17467404,0.834368304,,0.423988512,1.585790048,True
40,2055,9.831109903000002,,2.388760784,4.656742531,7.173671216,0.837715388,,0.424695664,1.589436331,True
41,2056,9.866365348,,2.390160704,4.646522002,7.171267661,0.840960804,,0.425391367,1.5928282420000002,True
42,2057,9.900094833,,2.3912644079999996,4.6354723810000005,7.167575316,0.844136,,0.426095704,1.595997311,True
43,2058,9.932356293000002,,2.3920910099999997,4.623680818,7.162665116,0.847231498,,0.42680338,1.598951687,True
44,2059,9.963202423999999,,2.392655835,4.611277622999999,7.1566922449999995,0.8502606440000001,,0.42751759,1.601701056,True
45,2060,9.992529853999999,,2.3929374639999996,4.598233789999999,7.1495475929999985,0.8532013049999999,,0.428240371,1.604210615,True
46,2061,10.020652483,,2.392993053,4.584714018000001,7.141475722,0.856067121,,0.428973914,1.606521273,True
47,2062,10.04761458,,2.39282488,4.5708194120000005,7.1325109520000005,0.858865309,,0.429721016,1.608625898,True
48,2063,10.073538983999999,,2.39246259,4.556590416,7.122779613,0.8616095549999999,,0.43048575,1.610547382,True
49,2064,10.098326418,,2.391909111,4.5421261710000005,7.11233858,0.864285754,,0.431271307,1.612264686,True
50,2065,10.122106763,,2.391156375,4.5274205499999995,7.101157934000001,0.866890628,,0.432066142,1.613777621,True
51,2066,10.144676094000001,,2.390212887,4.512505591,7.089246132,0.869426217,,0.432866336,1.6150846799999998,True
52,2067,10.166181838000002,,2.3890832980000005,4.497411029,7.076631868000001,0.871902134,,0.43366875,1.6161893870000001,True
53,2068,10.186768298999999,,2.3877780090000003,4.482209575000001,7.063421181,0.874305157,,0.434469343,1.617094957,True
54,2069,10.20624014,,2.38631425,4.466848683,7.049548724999999,0.876637559,,0.435269935,1.617800429,True
55,2070,10.224660278999998,,2.3846571269999997,4.451367769999999,7.03508258,0.8788721850000001,,0.43604109999999996,1.6182867730000001,True
56,2071,10.241922432,,2.3828320020000002,4.4357648450000005,7.0199534130000005,0.881023557,,0.43679107,1.618571878,True
57,2072,10.258123231999999,,2.3808706269999997,4.420083002999999,7.004221304,0.88312196,,0.437543173,1.618687832,True
58,2073,10.27328399,,2.3787318200000005,4.404268432,6.987862057,0.885130132,,0.438261304,1.61858703,True
59,2074,10.287326495999999,,2.376413276,4.388247253,6.970897735,0.887051106,,0.438947813,1.6182777099999999,True
60,2075,10.300159302,,2.373910177,4.372051955,6.95326371,0.888868582,,0.43959107799999997,1.617757132,True
61,2076,10.31177493,,2.37125046,4.355633871,6.93496176,0.890604102,,0.44019926899999995,1.61704523,True
62,2077,10.322112098000002,,2.368420575,4.338965914000001,6.915964282000001,0.8922342590000001,,0.440765471,1.6161375260000002,True
63,2078,10.331176005,,2.36543156,4.322078986999999,6.896302271,0.89377229,,0.441301188,1.615040061,True
64,2079,10.33906029,,2.3622892600000003,4.304950848,6.87593398,0.8952227739999999,,0.44180102899999996,1.6137690320000002,True
65,2080,10.345836101,,2.35899881,4.287611367,6.855011012,0.8965771180000001,,0.442256411,1.6123192000000002,True
66,2081,10.351438950999999,,2.3555626370000002,4.270054466,6.8334607609999996,0.8978453230000001,,0.442672014,1.610695979,True
67,2082,10.355914464,,2.3520047710000003,4.252340279,6.811336226,0.8990480660000001,,0.44305971,1.608932843,True
68,2083,10.359445670000001,,2.3483120880000006,4.2344805260000005,6.788839101000001,0.900169509,,0.443413901,1.6070170640000003,True
69,2084,10.361998961,,2.344532612,4.216532612,6.7659706879999995,0.901225823,,0.443747713,1.604984858,True
70,2085,10.363575536,,2.340640489,4.198503662,6.742706394000001,0.902212387,,0.444059761,1.602820122,True
71,2086,10.364158492000001,,2.336644526,4.180402645,6.719061108,0.903132103,,0.44434935200000003,1.60053252,True
72,2087,10.363776638000001,,2.332571069,4.162321822,6.6951287630000005,0.903998085,,0.444631732,1.5981450699999997,True
73,2088,10.362558550000001,,2.328404483,4.144253946,6.670974535,0.904796891,,0.44489303399999997,1.5956437,True
74,2089,10.360629092,,2.324163068,4.126240558,6.646700536,0.905537263,,0.44515004399999997,1.593050268,True
75,2090,10.357834503,,2.319861415,4.1082997919999995,6.6222822709999996,0.906235083,,0.445403539,1.590375892,True
76,2091,10.354247774000001,,2.3154789890000003,4.0904310520000005,6.597687104,0.9068740500000001,,0.44564167099999996,1.587608148,True
77,2092,10.349788303999999,,2.31103331,4.072617611,6.572885454,0.907473854,,0.445891159,1.5847685950000001,True
78,2093,10.344617412,,2.306515116,4.054889827999999,6.547956255,0.908018244,,0.446139406,1.5818497829999998,True
79,2094,10.338597046,,2.301938518,4.037180471,6.522825231,0.9085140959999999,,0.446387133,1.5788624709999999,True
80,2095,10.331929415000001,,2.297288297,4.019540291,6.497627571000001,0.908960324,,0.44663848,1.575806446,True
81,2096,10.32441984,,2.292580448,4.001911810999999,6.472295689999999,0.9093693759999999,,0.446894964,1.572695499,True
82,2097,10.316109914,,2.2878330719999997,3.9843144659999994,6.446786079,0.9097504909999999,,0.447167208,1.5695517089999997,True
83,2098,10.306924594,,2.282995865,3.9666967690000003,6.421095360000001,0.910061926,,0.447422033,1.566330864,True
84,2099,10.296992679,,2.2780879460000003,3.9490745290000007,6.395226755000001,0.9103222040000001,,0.447673489,1.563044998,True
85,2100,10.286345376,,2.2731122370000003,3.931449681,6.369268442,0.9105209310000001,,0.44790709,1.5596983700000002,True
