,key,year,value
72,Africa,1770,26.4
73,Africa,1925,26.4
74,Africa,1950,37.6
75,Africa,1951,37.9
76,Africa,1952,38.4
77,Africa,1953,38.9
78,Africa,1954,39.3
79,Africa,1955,39.8
80,Africa,1956,40.2
81,Africa,1957,40.0
82,Africa,1958,40.3
83,Africa,1959,41.3
84,Africa,1960,41.5
85,Africa,1961,41.9
86,Africa,1962,42.3
87,Africa,1963,42.8
88,Africa,1964,43.2
89,Africa,1965,43.4
90,Africa,1966,43.4
91,Africa,1967,43.6
92,Africa,1968,44.1
93,Africa,1969,44.3
94,Africa,1970,44.8
95,Africa,1971,45.3
96,Africa,1972,45.4
97,Africa,1973,46.2
98,Africa,1974,46.5
99,Africa,1975,46.9
100,Africa,1976,47.6
101,Africa,1977,48.2
102,Africa,1978,48.6
103,Africa,1979,49.1
104,Africa,1980,49.5
105,Africa,1981,49.9
106,Africa,1982,50.3
107,Africa,1983,49.6
108,Africa,1984,49.7
109,Africa,1985,50.1
110,Africa,1986,50.6
111,Africa,1987,50.9
112,Africa,1988,50.4
113,Africa,1989,51.7
114,Africa,1990,51.6
115,Africa,1991,51.5
116,Africa,1992,51.2
117,Africa,1993,51.5
118,Africa,1994,50.5
119,Africa,1995,52.1
120,Africa,1996,52.1
121,Africa,1997,52.3
122,Africa,1998,51.9
123,Africa,1999,52.8
124,Africa,2000,53.3
125,Africa,2001,53.6
126,Africa,2002,54.0
127,Africa,2003,54.4
128,Africa,2004,54.9
129,Africa,2005,55.5
130,Africa,2006,56.1
131,Africa,2007,56.7
132,Africa,2008,57.3
133,Africa,2009,58.0
134,Africa,2010,58.6
135,Africa,2011,59.3
136,Africa,2012,59.8
137,Africa,2013,60.3
138,Africa,2014,60.7
139,Africa,2015,61.1
140,Africa,2016,61.6
141,Africa,2017,62.0
142,Africa,2018,62.3
143,Africa,2019,62.7
144,Africa,2020,62.2
145,Africa,2021,61.7
365,Americas,1770,34.8
366,Americas,1830,34.8
367,Americas,1850,35.1
368,Americas,1870,35.1
369,Americas,1900,41.0
370,Americas,1913,45.1
371,Americas,1950,58.12
372,Americas,1951,58.37
373,Americas,1952,58.83
374,Americas,1953,59.25
375,Americas,1954,59.96
376,Americas,1955,60.29
377,Americas,1956,60.56
378,Americas,1957,60.75
379,Americas,1958,61.18
380,Americas,1959,61.55
381,Americas,1960,61.83
382,Americas,1961,62.24
383,Americas,1962,62.42
384,Americas,1963,62.5
385,Americas,1964,62.86
386,Americas,1965,63.14
387,Americas,1966,63.26
388,Americas,1967,63.57
389,Americas,1968,63.6
390,Americas,1969,63.87
391,Americas,1970,63.97
392,Americas,1971,64.62
393,Americas,1972,64.81
394,Americas,1973,65.14
395,Americas,1974,65.65
396,Americas,1975,66.11
397,Americas,1976,66.32
398,Americas,1977,66.8
399,Americas,1978,67.08
400,Americas,1979,67.39
401,Americas,1980,67.56
402,Americas,1981,68.0
403,Americas,1982,68.31
404,Americas,1983,68.69
405,Americas,1984,69.0
406,Americas,1985,69.16
407,Americas,1986,69.54
408,Americas,1987,69.87
409,Americas,1988,70.1
410,Americas,1989,70.44
411,Americas,1990,70.73
412,Americas,1991,70.95
413,Americas,1992,71.3
414,Americas,1993,71.41
415,Americas,1994,71.68
416,Americas,1995,71.94
417,Americas,1996,72.3
418,Americas,1997,72.59
419,Americas,1998,72.85
420,Americas,1999,73.09
421,Americas,2000,73.31
422,Americas,2001,73.57
423,Americas,2002,73.82
424,Americas,2003,73.95
425,Americas,2004,74.34
426,Americas,2005,74.59
427,Americas,2006,74.83
428,Americas,2007,74.96
429,Americas,2008,75.19
430,Americas,2009,75.46
431,Americas,2010,75.34
432,Americas,2011,75.82
433,Americas,2012,75.98
434,Americas,2013,76.16
435,Americas,2014,76.32
436,Americas,2015,76.29
437,Americas,2016,76.28
438,Americas,2017,76.37
439,Americas,2018,76.51
440,Americas,2019,76.71
441,Americas,2020,74.85
442,Americas,2021,74.2
732,Argentina,1875,33.2
733,Argentina,1880,33.1
734,Argentina,1885,32.6
735,Argentina,1890,34.0
736,Argentina,1895,33.3
737,Argentina,1900,39.0
738,Argentina,1905,39.7
739,Argentina,1910,44.2
740,Argentina,1915,46.2
741,Argentina,1920,48.65
742,Argentina,1925,50.6
743,Argentina,1930,52.55
744,Argentina,1935,54.45
745,Argentina,1940,56.45
746,Argentina,1945,58.4
747,Argentina,1950,61.2
748,Argentina,1951,61.6
749,Argentina,1952,62.3
750,Argentina,1953,62.4
751,Argentina,1954,62.9
752,Argentina,1955,62.5
753,Argentina,1956,63.4
754,Argentina,1957,63.0
755,Argentina,1958,64.0
756,Argentina,1959,63.8
757,Argentina,1960,64.0
758,Argentina,1961,64.4
759,Argentina,1962,64.2
760,Argentina,1963,64.4
761,Argentina,1964,64.4
762,Argentina,1965,64.6
763,Argentina,1966,64.9
764,Argentina,1967,65.0
765,Argentina,1968,64.9
766,Argentina,1969,64.9
767,Argentina,1970,65.6
768,Argentina,1971,65.5
769,Argentina,1972,65.9
770,Argentina,1973,66.3
771,Argentina,1974,66.6
772,Argentina,1975,67.1
773,Argentina,1976,67.2
774,Argentina,1977,67.9
775,Argentina,1978,68.2
776,Argentina,1979,68.5
777,Argentina,1980,68.6
778,Argentina,1981,69.0
779,Argentina,1982,68.9
780,Argentina,1983,69.3
781,Argentina,1984,69.2
782,Argentina,1985,69.7
783,Argentina,1986,70.1
784,Argentina,1987,70.6
785,Argentina,1988,71.1
786,Argentina,1989,71.4
787,Argentina,1990,71.8
788,Argentina,1991,72.3
789,Argentina,1992,72.4
790,Argentina,1993,72.6
791,Argentina,1994,73.2
792,Argentina,1995,73.1
793,Argentina,1996,73.3
794,Argentina,1997,73.1
795,Argentina,1998,73.5
796,Argentina,1999,73.7
797,Argentina,2000,73.9
798,Argentina,2001,74.2
799,Argentina,2002,74.4
800,Argentina,2003,74.1
801,Argentina,2004,74.9
802,Argentina,2005,75.1
803,Argentina,2006,75.4
804,Argentina,2007,75.0
805,Argentina,2008,75.6
806,Argentina,2009,75.9
807,Argentina,2010,75.7
808,Argentina,2011,76.1
809,Argentina,2012,76.5
810,Argentina,2013,76.5
811,Argentina,2014,76.8
812,Argentina,2015,76.8
813,Argentina,2016,76.3
814,Argentina,2017,76.8
815,Argentina,2018,77.0
816,Argentina,2019,77.3
817,Argentina,2020,75.9
818,Argentina,2021,75.4
963,Asia,1770,27.5
964,Asia,1885,27.5
965,Asia,1900,28.0
966,Asia,1913,28.1
967,Asia,1950,42.0
968,Asia,1951,43.0
969,Asia,1952,44.3
970,Asia,1953,44.9
971,Asia,1954,45.8
972,Asia,1955,46.3
973,Asia,1956,46.8
974,Asia,1957,47.3
975,Asia,1958,47.8
976,Asia,1959,44.3
977,Asia,1960,41.7
978,Asia,1961,45.3
979,Asia,1962,49.6
980,Asia,1963,50.3
981,Asia,1964,50.9
982,Asia,1965,50.6
983,Asia,1966,51.5
984,Asia,1967,52.1
985,Asia,1968,53.0
986,Asia,1969,53.6
987,Asia,1970,53.9
988,Asia,1971,53.4
989,Asia,1972,55.3
990,Asia,1973,55.9
991,Asia,1974,56.4
992,Asia,1975,56.7
993,Asia,1976,57.2
994,Asia,1977,58.0
995,Asia,1978,58.5
996,Asia,1979,59.1
997,Asia,1980,59.6
998,Asia,1981,60.1
999,Asia,1982,60.6
1000,Asia,1983,61.1
1001,Asia,1984,61.5
1002,Asia,1985,62.0
1003,Asia,1986,62.5
1004,Asia,1987,62.9
1005,Asia,1988,63.3
1006,Asia,1989,63.7
1007,Asia,1990,64.0
1008,Asia,1991,64.2
1009,Asia,1992,64.8
1010,Asia,1993,65.1
1011,Asia,1994,65.4
1012,Asia,1995,65.7
1013,Asia,1996,66.0
1014,Asia,1997,66.4
1015,Asia,1998,66.9
1016,Asia,1999,67.2
1017,Asia,2000,67.6
