,key,year,value
0,Afghanistan,1800,32.0
1,Afghanistan,1900,45.0
2,Afghanistan,2000,48.0
3,Afghanistan,2023,37.0
4,Afghanistan,2100,37.0
5,Albania,1700,50.0
6,Albania,1800,114.0
7,Albania,1900,118.0
8,Albania,2000,130.0
9,Albania,2023,140.0
10,Albania,2100,158.0
11,Algeria,1700,27.0
12,Algeria,1800,41.0
13,Algeria,1900,48.0
14,Algeria,2000,34.0
15,Algeria,2023,34.0
16,Algeria,2100,39.0
17,Andorra,1800,193.0
18,Andorra,1900,194.0
19,Andorra,2000,188.0
20,Andorra,2023,187.0
21,Andorra,2100,189.0
22,Angola,1800,64.0
23,Angola,1900,62.0
24,Angola,2000,57.0
25,Angola,2023,42.0
26,Angola,2100,11.0
27,Antigua and Barbuda,1800,169.0
28,Antigua and Barbuda,1900,181.0
29,Antigua and Barbuda,2000,186.0
30,Antigua and Barbuda,2023,185.0
31,Antigua and Barbuda,2100,183.0
32,Argentina,1800,102.0
33,Argentina,1900,47.0
34,Argentina,2000,31.0
35,Argentina,2023,33.0
36,Argentina,2100,45.0
37,Armenia,1800,113.0
38,Armenia,1900,116.0
39,Armenia,2000,132.0
40,Armenia,2023,139.0
41,Armenia,2100,148.0
42,Australia,1700,48.0
43,Australia,1800,135.0
44,Australia,1900,57.0
45,Australia,2000,51.0
46,Australia,2023,55.0
47,Australia,2100,54.0
48,Austria,1700,21.0
49,Austria,1800,35.0
50,Austria,1900,33.0
51,Austria,2000,90.0
52,Austria,2023,98.0
53,Austria,2100,105.0
54,Azerbaijan,1800,87.0
55,Azerbaijan,1900,87.0
56,Azerbaijan,2000,89.0
57,Azerbaijan,2023,88.0
58,Azerbaijan,2100,102.0
59,Bahamas,1800,173.0
60,Bahamas,1900,171.0
61,Bahamas,2000,171.0
62,Bahamas,2023,173.0
63,Bahamas,2100,172.0
64,Bahrain,1800,158.0
65,Bahrain,1900,168.0
66,Bahrain,2000,159.0
67,Bahrain,2023,151.0
68,Bahrain,2100,144.0
69,Bangladesh,1700,6.0
70,Bangladesh,1800,6.0
71,Bangladesh,1900,11.0
72,Bangladesh,2000,8.0
73,Bangladesh,2023,8.0
74,Bangladesh,2100,14.0
75,Barbados,1800,153.0
76,Barbados,1900,156.0
77,Barbados,2000,174.0
78,Barbados,2023,176.0
79,Barbados,2100,179.0
80,Belarus,1800,47.0
81,Belarus,1900,43.0
82,Belarus,2000,78.0
83,Belarus,2023,97.0
84,Belarus,2100,113.0
85,Belgium,1700,24.0
86,Belgium,1800,33.0
87,Belgium,1900,31.0
88,Belgium,2000,76.0
89,Belgium,2023,83.0
90,Belgium,2100,94.0
91,Belize,1800,175.0
92,Belize,1900,180.0
93,Belize,2000,175.0
94,Belize,2023,172.0
95,Belize,2100,167.0
96,Benin,1800,99.0
97,Benin,1900,106.0
98,Benin,2000,94.0
99,Benin,2023,77.0
100,Benin,2100,49.0
101,Bhutan,1800,115.0
102,Bhutan,1900,149.0
103,Bhutan,2000,163.0
104,Bhutan,2023,163.0
105,Bhutan,2100,166.0
106,Bolivia,1800,86.0
107,Bolivia,1900,88.0
108,Bolivia,2000,86.0
109,Bolivia,2023,79.0
