date,GPRD_MA30,GPRD_MA7,GPRD
2020-05-06,65.42513,56.50019,80.79433
2020-05-07,63.74565,56.38528,56.14521
2020-05-08,63.48787,57.82365,70.48016
2020-05-09,62.27981,51.35349,24.66806
2020-05-10,60.82095,53.57751,41.72
2020-05-11,60.65378,50.47975,37.91208
2020-05-12,60.54536,50.16502,39.43533
2020-05-13,59.57048,47.12764,59.53267
2020-05-14,59.26909,50.83973,82.12978
2020-05-15,57.81203,47.31641,45.81698
2020-05-16,57.92937,51.21747,51.97544
2020-05-17,57.9949,56.03978,75.47623
2020-05-18,61.03722,69.92328,135.09656
2020-05-19,63.10402,78.5006,99.47651
2020-05-20,65.56452,84.23796,99.69424
2020-05-21,66.20196,82.96313,73.20592
2020-05-22,66.14837,95.79689,135.65337
2020-05-23,63.99478,93.56172,36.32926
2020-05-24,63.05902,85.3168,17.76176
2020-05-25,65.74309,84.465,129.13399
2020-05-26,68.38858,87.44862,120.36186
2020-05-27,67.53606,76.5533,23.42693
2020-05-28,66.38055,74.81259,61.02098
2020-05-29,68.31352,75.06939,137.45094
2020-05-30,69.22341,81.91469,84.24638
2020-05-31,69.8044,90.49744,77.84102
2020-06-01,69.26918,79.75012,53.90273
2020-06-02,71.16561,74.41912,83.04487
2020-06-03,72.99674,87.43388,114.53027
2020-06-04,72.81391,83.88139,36.15353
2020-06-05,73.78674,79.95683,109.97901
2020-06-06,73.75172,75.7923,55.09468
2020-06-07,73.43108,73.36656,60.86082
2020-06-08,74.79698,75.04408,65.64539
2020-06-09,75.683,72.93772,68.30036
2020-06-10,77.6088,70.24573,95.68627
2020-06-11,79.20812,77.56879,87.41498
2020-06-12,79.67745,72.37359,73.61262
2020-06-13,78.90183,72.91164,58.86103
2020-06-14,78.26989,68.05418,26.85866
2020-06-15,79.96653,73.37267,102.87478
2020-06-16,80.09077,74.93025,79.20345
2020-06-17,80.63358,82.88661,151.38078
2020-06-18,80.69487,84.87236,101.31524
2020-06-19,79.16583,82.04529,53.82311
2020-06-20,79.46329,85.3694,82.12978
2020-06-21,76.39058,87.74274,43.47202
2020-06-22,79.56131,91.82507,131.45111
2020-06-23,80.84872,88.56516,56.38413
2020-06-24,79.21822,78.39918,80.21887
2020-06-25,76.56563,69.75186,40.78401
2020-06-26,77.26289,68.39783,44.34495
2020-06-27,76.21584,60.89495,29.60954
2020-06-28,72.84422,59.87067,36.30211
2020-06-29,71.63628,47.95026,48.00823
2020-06-30,71.60574,50.88462,76.92465
2020-07-01,73.40401,54.83208,107.85104
2020-07-02,71.41564,52.34777,23.39384
2020-07-03,69.06371,52.29451,43.97214
2020-07-04,68.67392,51.55884,24.45989
2020-07-05,66.91172,54.53186,57.11324
2020-07-06,67.47565,57.96102,72.01234
2020-07-07,68.98602,62.13922,106.17205
2020-07-08,69.08463,56.53242,68.60347
2020-07-09,68.66894,61.16613,55.82979
2020-07-10,68.72701,68.80275,97.42846
2020-07-11,66.51648,68.32265,21.09916
2020-07-12,64.9121,63.80379,25.48129
2020-07-13,66.04111,66.76364,92.73129
2020-07-14,68.27244,64.99599,93.79849
2020-07-15,68.29902,70.00578,103.67202
2020-07-16,66.64186,66.24277,29.48874
2020-07-17,62.87317,57.79874,38.32019
2020-07-18,60.52368,59.18893,30.83052
2020-07-19,59.84492,60.32879,33.46028
2020-07-20,60.01302,59.53473,87.17284
2020-07-21,62.4383,62.73929,116.23045
2020-07-22,61.96109,64.66252,117.13464
2020-07-23,62.68311,71.5991,78.04478
2020-07-24,63.10088,79.37506,92.7519
2020-07-25,62.93255,80.07559,35.73428
2020-07-26,62.76267,80.90247,39.24843
2020-07-27,66.34825,88.04591,137.17688
2020-07-28,69.19311,88.81984,121.64796
2020-07-29,70.28985,83.64495,80.91042
2020-07-30,69.52845,80.2218,54.08274
2020-07-31,67.22069,72.48839,38.61802
2020-08-01,67.33226,71.20367,26.74121
2020-08-02,66.71157,69.21836,25.35128
2020-08-03,67.30186,55.64573,42.16847
2020-08-04,67.02189,45.22662,48.71423
2020-08-05,65.7482,38.49681,33.80171
2020-08-06,65.95468,46.82307,112.36661
2020-08-07,65.12847,47.56579,43.81703
2020-08-08,64.17441,47.63247,27.20795
2020-08-09,62.24131,49.64447,39.43533
2020-08-10,62.89076,49.41795,40.58276
2020-08-11,63.88426,50.3568,55.28625
2020-08-12,62.85437,54.3615,61.83459
2020-08-13,62.69097,51.00864,88.89659
2020-08-14,60.71143,51.07559,44.28566
2020-08-15,62.46809,58.93,82.18884
2020-08-16,63.32962,62.46295,64.16596
2020-08-17,64.48679,66.02905,65.54548
2020-08-18,66.17474,70.14516,84.09904
2020-08-19,64.82418,67.97678,46.65588
2020-08-20,65.01711,72.70844,122.01818
2020-08-21,66.65604,90.13943,166.30258
2020-08-22,65.89281,86.27647,55.14819
2020-08-23,63.63339,80.67693,24.9691
2020-08-24,64.81685,81.49014,71.23801
2020-08-25,66.37463,81.75913,85.98195
2020-08-26,65.32445,90.18991,105.67136
2020-08-27,66.00598,93.05789,142.09406
2020-08-28,65.44611,78.45956,64.11421
2020-08-29,65.14801,77.02979,45.13981
2020-08-30,64.14029,74.6608,8.38625
2020-08-31,66.20326,77.14546,88.63057
2020-09-01,68.90379,80.05759,106.36685
2020-09-02,71.13835,80.56247,109.20554
2020-09-03,72.65591,73.7263,94.2409
2020-09-04,74.69262,78.12471,94.90303
2020-09-05,72.85084,79.8352,57.11324
2020-09-06,72.34011,82.7079,28.49521
2020-09-07,76.41737,91.4072,149.52562
2020-09-08,77.38964,86.01243,68.60347
2020-09-09,77.6143,77.17198,47.3224
2020-09-10,80.61298,84.45856,145.24695
2020-09-11,83.41675,91.75063,145.94757
2020-09-12,82.3084,91.54102,55.6459
2020-09-13,83.69011,99.71842,85.73705
2020-09-14,83.19411,87.9732,67.30907
2020-09-15,84.91991,94.73554,115.93987
2020-09-16,85.48408,99.75671,82.47057
2020-09-17,86.0167,93.30394,100.07758
2020-09-18,87.33936,84.78797,86.33578
2020-09-19,84.77731,83.28952,45.15672
2020-09-20,81.14237,79.22055,57.25425
