Date,Durables,Services,Nondurables
2019-01-01,92.9,98.2,98.3
2019-02-01,93.1,97.7,98.4
2019-03-01,95.4,98.3,98.7
2019-04-01,95.6,99.0,98.8
2019-05-01,96.4,99.2,99.0
2019-06-01,96.7,99.7,99.2
2019-07-01,97.5,99.9,99.4
2019-08-01,98.1,100.4,99.6
2019-09-01,99.0,99.8,99.8
2019-10-01,98.3,100.3,99.8
2019-11-01,99.8,100.1,100.1
2019-12-01,100.0,100.0,100.0
2020-01-01,100.5,100.1,100.4
2020-02-01,100.3,100.2,100.5
2020-03-01,88,105.2,91.2
2020-04-01,78.6,91.7,80.1
2020-05-01,100.3,99.2,84.7
2020-06-01,108.8,103.4,89.7
2020-07-01,111.6,104.6,90.9
2020-08-01,112.2,104.1,91.9
2020-09-01,113.5,106.6,92.8
2020-10-01,114.9,106.3,93.3
2020-11-01,113.2,105.2,93.1
2020-12-01,110.2,103,92.8
2021-01-01,122.4,108.2,93.6
2021-02-01,117.2,105.3,93.3
2021-03-01,134.8,112.7,95
2021-04-01,134.1,112.3,95.9
2021-05-01,126.2,111.6,96.5
2021-06-01,124.5,113.2,97.2
2021-07-01,119.5,111.5,98
2021-08-01,118.9,113.6,98.4
2021-09-01,118.3,114,98.8
