Date,CPI,Core CPI,Median CPI,Trimmed_Mean
01/01/1990,5.202312139,4.430379747,4.56526397,4.647472385
02/01/1990,5.263157895,4.649330181,4.546375965,4.624434652
03/01/1990,5.233033524,4.937304075,4.564263631,4.626935275
04/01/1990,4.711616572,4.84375,4.600362027,4.561378296
05/01/1990,4.36187399,4.754481684,4.482054554,4.360568781
06/01/1990,4.673650282,4.902723735,4.629545947,4.601859982
07/01/1990,4.823151125,5.03875969,4.587297184,4.696164037
08/01/1990,5.617977528,5.491105955,4.822453103,4.989979448
09/01/1990,6.16,5.538461538,4.766898255,5.093777903
10/01/1990,6.289808917,5.271199389,4.715642016,4.95259479
11/01/1990,6.274821287,5.255140899,4.66957736,4.886956054
12/01/1990,6.106264869,5.171102662,4.777034167,4.85623582
01/01/1991,5.651491366,5.606060606,4.80575731,4.961947935
02/01/1991,5.3125,5.647590361,4.753482785,4.905056748
03/01/1991,4.895104895,5.227781927,4.62025055,4.688179508
04/01/1991,4.887509697,5.141579732,4.458141504,4.644352304
05/01/1991,4.953560372,5.133928571,4.500081084,4.741324486
06/01/1991,4.695919938,4.970326409,4.272631828,4.428863482
07/01/1991,4.447852761,4.79704797,4.201345827,4.290626827
08/01/1991,3.799392097,4.618768328,3.98727006,4.062680653
09/01/1991,3.391107762,4.518950437,4.091929869,4.055731846
10/01/1991,2.921348315,4.42670537,3.906098369,3.878220715
11/01/1991,2.989536622,4.486251809,3.962570242,3.884535136
12/01/1991,3.064275037,4.410701374,3.761720471,3.848612886
01/01/1992,2.600297177,3.945480631,3.442653564,3.484145217
02/01/1992,2.818991098,3.777619387,3.295615872,3.348589173
03/01/1992,3.185185185,3.903477644,3.306553106,3.426556991
04/01/1992,3.180473373,3.89794472,3.227566625,3.372823069
05/01/1992,3.02359882,3.821656051,3.089353842,3.260016645
06/01/1992,3.088235294,3.816254417,3.204436173,3.349130867
07/01/1992,3.15712188,3.732394366,2.982495338,3.237788899
08/01/1992,3.147877013,3.50385424,2.901180871,3.134857931
09/01/1992,2.988338192,3.277545328,2.718059917,2.986112655
10/01/1992,3.202328967,3.544127867,2.83843967,3.130952124
11/01/1992,3.047895501,3.393351801,2.754591409,3.027365825
12/01/1992,2.900652647,3.324099723,2.690304363,2.899294374
01/01/1993,3.258508327,3.450655625,2.833065296,2.94898431
02/01/1993,3.246753247,3.571428571,2.808622587,3.013006296
03/01/1993,3.086862886,3.415300546,2.634798424,2.888201929
04/01/1993,3.225806452,3.478854025,2.773068395,3.000811844
05/01/1993,3.221188261,3.408316292,2.787485036,3.00574436
06/01/1993,2.995720399,3.335602451,2.643439965,2.883965956
07/01/1993,2.775800712,3.190767142,2.635906746,2.783680783
08/01/1993,2.767920511,3.317535545,2.670322007,2.843792942
09/01/1993,2.689313517,3.241053342,2.709656004,2.858575062
10/01/1993,2.750352609,3.020134228,2.702724027,2.81387442
11/01/1993,2.676056338,3.081044876,2.732520104,2.833666817
12/01/1993,2.748414376,3.150134048,2.811152839,2.890323084
01/01/1994,2.52454418,2.935290193,2.750398559,2.758268355
02/01/1994,2.51572327,2.785145889,2.859343964,2.775592515
03/01/1994,2.506963788,2.906208719,2.899187069,2.824638767
04/01/1994,2.361111111,2.768622281,2.767967305,2.638540471
05/01/1994,2.288488211,2.834541859,2.761836779,2.63966682
06/01/1994,2.493074792,2.898550725,2.790703653,2.70840146
07/01/1994,2.770083102,2.894736842,2.822709096,2.794355845
08/01/1994,2.900552486,2.883355177,2.905063036,2.831267056
09/01/1994,2.963473467,3.008502289,3.022734918,2.844300603
10/01/1994,2.608098833,2.931596091,2.899440279,2.700211115
11/01/1994,2.674897119,2.794022092,2.961786443,2.710350517
12/01/1994,2.674897119,2.599090318,2.8271671,2.526642221
01/01/1995,2.804377565,2.851587816,2.949371764,2.697301899
02/01/1995,2.862985685,2.967741935,2.927138658,2.698735955
03/01/1995,2.85326087,2.952503209,3.01819958,2.712058542
04/01/1995,3.052917232,3.078896729,3.113500018,2.816659987
05/01/1995,3.186440678,3.076923077,3.168256651,2.814813691
06/01/1995,3.040540541,3.008962868,3.101572695,2.715757869
07/01/1995,2.762803235,3.00511509,3.182307631,2.687469958
08/01/1995,2.617449664,2.929936306,3.134311581,2.653784384
09/01/1995,2.543507363,2.920634921,3.094140329,2.673656993
10/01/1995,2.809364548,3.037974684,3.178368591,2.809609479
11/01/1995,2.605210421,3.034134008,3.035381202,2.697250698
12/01/1995,2.538410154,3.03989867,3.150345558,2.850475942
01/01/1996,2.727877578,2.961562697,3.116422054,2.855397301
02/01/1996,2.650762094,2.882205514,3.056469432,2.822466524
03/01/1996,2.84015852,2.805486284,3.043652657,2.827903903
04/01/1996,2.896642528,2.675793404,3.000041398,2.780930666
05/01/1996,2.890932983,2.674129353,2.948372892,2.789441288
06/01/1996,2.754098361,2.672467371,2.982903693,2.809348764
07/01/1996,2.950819672,2.731222843,2.996525281,2.86978846
08/01/1996,2.877697842,2.599009901,2.944617038,2.799915669
09/01/1996,3.002610966,2.652683529,2.933559532,2.828427957
10/01/1996,2.992843201,2.57985258,2.904845124,2.811405162
11/01/1996,3.255208333,2.576687117,2.973691536,2.902336312
12/01/1996,3.32247557,2.642901045,2.941899026,2.871326709
01/01/1997,3.044041451,2.509179927,2.879729144,2.77555069
02/01/1997,3.034215623,2.496954933,2.856641286,2.737097729
03/01/1997,2.761721259,2.486355367,2.843550238,2.630804037
04/01/1997,2.495201536,2.666666667,2.83144587,2.579290879
05/01/1997,2.234993614,2.54391278,2.8062616,2.500805466
06/01/1997,2.297383535,2.421307506,2.805194643,2.520243951
07/01/1997,2.229299363,2.416918429,2.70753936,2.44405622
08/01/1997,2.22504768,2.291917973,2.707047306,2.380048944
09/01/1997,2.154626109,2.163461538,2.657269959,2.316329224
10/01/1997,2.0846494,2.275449102,2.623913557,2.261118407
11/01/1997,1.828499369,2.153110048,2.558524419,2.160044766
12/01/1997,1.702395965,2.215568862,2.630871207,2.125986491
01/01/1998,1.571338781,2.208955224,2.580563527,2.05384427
02/01/1998,1.441102757,2.257872846,2.624536921,2.001692318
03/01/1998,1.375,2.130177515,2.582061145,2.063732866
04/01/1998,1.435705368,2.12514758,2.522699102,2.068318236
05/01/1998,1.686445971,2.244536326,2.556110493,2.106631132
06/01/1998,1.684341859,2.245862884,2.608112202,2.044882707
07/01/1998,1.682242991,2.241887906,2.707199256,2.060570214
08/01/1998,1.616915423,2.476415094,2.795133581,2.147413702
09/01/1998,1.488833747,2.470588235,2.847973146,2.032418181
10/01/1998,1.485148515,2.283372365,2.919245032,2.009202094
11/01/1998,1.547987616,2.341920375,2.876145887,2.009100252
12/01/1998,1.611903286,2.401874634,2.786294129,1.974062408
01/01/1999,1.670792079,2.394859813,2.71303041,1.931706889
02/01/1999,1.605929586,2.091807089,2.61851111,1.861981143
03/01/1999,1.726263872,2.085747393,2.568257387,1.763054827
04/01/1999,2.276923077,2.196531792,2.60172415,1.864951979
05/01/1999,2.088452088,2.021952629,2.49132333,1.771429544
06/01/1999,1.963190184,2.080924855,2.329157565,1.738097508
07/01/1999,2.144607843,2.077322562,2.261073536,1.723068831
08/01/1999,2.264381885,1.898734177,2.177420271,1.690790071
09/01/1999,2.628361858,2.009184845,2.120655094,1.869513329
10/01/1999,2.56097561,2.060675444,1.984319634,1.816128404
11/01/1999,2.62195122,2.059496568,1.983881893,1.811045985
12/01/1999,2.684563758,1.945080092,2.034464207,1.858840919
01/01/2000,2.73889227,1.996577296,2.225289316,2.03119416
02/01/2000,3.221884498,2.162777462,2.312392822,2.193206218
03/01/2000,3.757575758,2.440408627,2.443255732,2.415786858
04/01/2000,3.068592058,2.319004525,2.410014429,2.269826317
05/01/2000,3.188929001,2.434881087,2.505039041,2.393124574
06/01/2000,3.730445247,2.491506229,2.669029843,2.556562135
07/01/2000,3.659268146,2.48728095,2.755747532,2.647984874
08/01/2000,3.411131059,2.597402597,2.798657002,2.666427838
09/01/2000,3.454437165,2.588632527,2.847694537,2.667963824
10/01/2000,3.448275862,2.523836231,2.932219823,2.716771108
11/01/2000,3.446226976,2.578475336,2.971088929,2.724975318
12/01/2000,3.386809269,2.581369248,3.028958211,2.832864308
01/01/2001,3.732227488,2.628635347,3.04751701,2.879008572
02/01/2001,3.533568905,2.729805014,3.051793993,2.866896734
03/01/2001,2.920560748,2.659279778,3.016463842,2.766191711
04/01/2001,3.269118506,2.598120509,3.089016013,2.833829814
05/01/2001,3.61516035,2.542841349,3.1429493,2.866761963
06/01/2001,3.248259861,2.70718232,3.17450177,2.851989633
07/01/2001,2.719907407,2.702702703,3.090897901,2.743767152
08/01/2001,2.719907407,2.696752889,3.168218733,2.717824999
09/01/2001,2.648244099,2.63302249,3.144313046,2.641909843
10/01/2001,2.126436782,2.625820569,3.267616073,2.613835371
11/01/2001,1.895462378,2.786885246,3.333728226,2.68052488
12/01/2001,1.551724138,2.735229759,3.265021588,2.562043286
01/01/2002,1.142204455,2.561307902,3.155667221,2.371901353
02/01/2002,1.137656428,2.603036876,3.20125877,2.306832555
03/01/2002,1.475595914,2.428494334,3.191272802,2.265076709
04/01/2002,1.639344262,2.532327586,3.152161153,2.308762578
05/01/2002,1.181767023,2.533692722,3.06195577,2.197645559
06/01/2002,1.06741573,2.259279182,2.977010122,2.020384028
07/01/2002,1.464788732,2.201933405,2.961080655,2.079461857
08/01/2002,1.802816901,2.357984995,2.834616521,2.125521084
09/01/2002,1.514301739,2.244788883,2.829219757,2.092698274
10/01/2002,2.025886325,2.23880597,2.674118427,2.119406874
11/01/2002,2.198421646,1.967038809,2.54651614,2.071624293
12/01/2002,2.376910017,1.916932907,2.591217291,2.062146246
01/01/2003,2.597402597,1.912858661,2.542822152,2.097511624
02/01/2003,2.98087739,1.744186047,2.425735746,2.141345732
03/01/2003,3.020134228,1.685985248,2.279693978,2.056609486
04/01/2003,2.224694105,1.471361009,2.1017308,1.808987505
05/01/2003,2.057842047,1.577287066,1.989367352,1.740070316
06/01/2003,2.112284603,1.525512888,1.874275083,1.763755457
07/01/2003,2.109938923,1.523909616,1.90958046,1.769848054
08/01/2003,2.158273381,1.308900524,1.915530953,1.723238421
09/01/2003,2.320441989,1.202300052,1.857843335,1.727402607
10/01/2003,2.040816327,1.303441084,1.839737002,1.669823816
11/01/2003,1.765030336,1.094890511,1.779197201,1.533129224
12/01/2003,1.879491432,1.149425287,1.678715163,1.620422752
01/01/2004,1.926252064,1.147028154,1.681922438,1.610075746
02/01/2004,1.6930639,1.246753247,1.75944027,1.646076164
03/01/2004,1.737242128,1.606217617,1.89332226,1.758197123
04/01/2004,2.285092492,1.760745728,2.059474645,1.949825249
05/01/2004,3.051771117,1.708074534,2.237960324,2.128584882
06/01/2004,3.266194883,1.865284974,2.371951323,2.25406626
07/01/2004,2.990755846,1.759834369,2.296873033,2.148366866
08/01/2004,2.654387866,1.705426357,2.339733966,2.075967856
09/01/2004,2.537796976,1.962809917,2.350124567,2.119281012
10/01/2004,3.189189189,2.007205353,2.397175401,2.238313628
11/01/2004,3.52303523,2.166064982,2.421910712,2.440027988
12/01/2004,3.255561584,2.169421488,2.431667266,2.364601491
01/01/2005,2.969762419,2.268041237,2.531478266,2.391376465
02/01/2005,3.007518797,2.36018471,2.563913293,2.394951828
03/01/2005,3.148345784,2.345741968,2.493998976,2.397506683
04/01/2005,3.510638298,2.239185751,2.457116765,2.498903305
05/01/2005,2.802749868,2.188295165,2.453059937,2.412726218
06/01/2005,2.530311017,2.034587996,2.36117098,2.258747475
07/01/2005,3.167898627,2.136317396,2.465978675,2.397959779
