,year,year2,WUI,date
72,2008q1,2008,13176.87,2008-02-15
73,2008q2,2008,18019.05,2008-05-15
74,2008q3,2008,14048.15,2008-08-15
75,2008q4,2008,13245.42,2008-11-15
76,2009q1,2009,21794.11,2009-02-15
77,2009q2,2009,18972.07,2009-05-15
78,2009q3,2009,14507.25,2009-08-15
79,2009q4,2009,18951.79,2009-11-15
80,2010q1,2010,19711.91,2010-02-15
81,2010q2,2010,21449.03,2010-05-15
82,2010q3,2010,19653.44,2010-08-15
83,2010q4,2010,14901.64,2010-11-15
84,2011q1,2011,13397.83,2011-02-15
85,2011q2,2011,14121.0,2011-05-15
86,2011q3,2011,20227.56,2011-08-15
87,2011q4,2011,19436.98,2011-11-15
88,2012q1,2012,18629.88,2012-02-15
89,2012q2,2012,36827.88,2012-05-15
90,2012q3,2012,25945.24,2012-08-15
91,2012q4,2012,38752.27,2012-11-15
92,2013q1,2013,31598.92,2013-02-15
93,2013q2,2013,14113.9,2013-05-15
94,2013q3,2013,15802.53,2013-08-15
95,2013q4,2013,18492.01,2013-11-15
96,2014q1,2014,19536.86,2014-02-15
97,2014q2,2014,20086.1,2014-05-15
98,2014q3,2014,14211.19,2014-08-15
99,2014q4,2014,17252.02,2014-11-15
100,2015q1,2015,29838.2,2015-02-15
101,2015q2,2015,25360.74,2015-05-15
102,2015q3,2015,21280.47,2015-08-15
103,2015q4,2015,18517.9,2015-11-15
104,2016q1,2016,22826.08,2016-02-15
105,2016q2,2016,18513.21,2016-05-15
106,2016q3,2016,30182.29,2016-08-15
107,2016q4,2016,32031.3,2016-11-15
108,2017q1,2017,29910.11,2017-02-15
109,2017q2,2017,16514.35,2017-05-15
110,2017q3,2017,16325.61,2017-08-15
111,2017q4,2017,28396.56,2017-11-15
112,2018q1,2018,13622.16,2018-02-15
113,2018q2,2018,25653.23,2018-05-15
114,2018q3,2018,28710.76,2018-08-15
115,2018q4,2018,26443.05,2018-11-15
116,2019q1,2019,36588.02,2019-02-15
117,2019q2,2019,40489.04,2019-05-15
118,2019q3,2019,32800.98,2019-08-15
119,2019q4,2019,52716.26,2019-11-15
120,2020q1,2020,55684.71,2020-02-15
121,2020q2,2020,28914.37,2020-05-15
122,2020q3,2020,27497.73,2020-08-15
123,2020q4,2020,22319.62,2020-11-15
124,2021q1,2021,11888.73,2021-02-15
125,2021q2,2021,18072.81,2021-05-15
126,2021q3,2021,21508.56,2021-08-15
127,2021q4,2021,19802.65,2021-11-15
128,2022q1,2022,26455.02,2022-02-15
129,2022q2,2022,29343.64,2022-05-15
130,2022q3,2022,24504.76,2022-08-15
131,2022q4,2022,26500.43,2022-11-15
132,2023q1,2023,26400.05,2023-02-15
133,2023q2,2023,30702.4,2023-05-15
