model,p1,p5,p10,p25,p50,p75,p90,p95,p99,mean,Yloss,death %
ldsize_fiscal_0.0,-1.273883838,-0.943891881,0.336813707,1.088081586,1.855637487,2.696315376,3.447761618,3.48929377,3.555043879,1.781972961,0.524578951,0.367082181
ldlength_fiscal_0.16666666666666666,-0.917550505,-0.598820996,0.610222195,1.464723622,2.286401646,2.982487873,3.70057567,3.725570789,3.978181284,2.114000644,0.606664243,0.308601751
ldlength_fiscal_0.3333333333333333,-0.694157271,-0.358152917,0.755606287,1.722616822,2.49377239,3.185266652,3.897612148,3.924424932,4.309706961,2.328412783,0.643742587,0.269632004
ldlength_fiscal_0.5,-0.600067732,-0.243773032,0.870891328,1.847692859,2.626229488,3.348202467,4.040093033,4.06848796,4.446810511,2.46279382,0.673577874,0.235397838
ldlength_fiscal_0.6666666666666666,-0.324881078,0.059685526,1.095804673,2.141848816,2.937322216,3.746325257,4.430100306,4.461073809,4.85824254,2.78444788,0.711629868,0.229937773
ldlength_fiscal_1.0,-0.043693509,0.382953193,1.359984904,2.511440997,3.329251615,4.192561575,4.902673737,4.935222322,5.357091832,3.173177923,0.788735321,0.224411264
ldlength_fiscal_1.3333333333333333,-0.161736421,0.108897485,1.416175171,2.629237644,3.689421193,4.653972656,5.437116451,5.466547382,5.933686156,3.470625187,0.868214865,0.221072711
ldlength_fiscal_1.5,0.479055111,1.032301785,1.745257049,2.965287035,3.946202707,4.808065616,5.546260883,5.577383602,6.006904056,3.749378999,0.891609279,0.218933424
ldlength_fiscal_2.0,0.938365433,1.614548318,2.119001027,3.37783552,4.503206195,5.407879672,6.099824066,6.210797527,6.577104092,4.2646038,0.988379427,0.213099921
ldlength_fiscal_3.0,1.817203668,2.649853185,2.873963265,4.079516795,5.465633728,6.578256097,7.205802519,7.657978201,7.763821038,5.279959881,1.189767565,0.19235513
ldlength_fiscal_4.0,2.514800158,3.236582843,3.717412259,4.806613004,6.241708826,7.704218501,8.144392003,8.624887054,9.099596594,6.148743303,1.379358231,0.167035876
ldlength_fiscal_4.5,2.783843428,3.483056446,4.070485539,5.172609385,6.580619163,8.209155159,8.55760823,9.05410622,9.713048757,6.530242005,1.466766904,0.13671502
ldlength_fiscal_5.0,2.881605669,3.613061985,4.203929951,5.347048372,6.684517846,8.412924333,8.68757414,9.127012608,10.09287748,6.690834123,1.512489527,0.076867668
ldlength_fiscal_5.666666666666667,3.167842823,3.896947115,4.520879959,5.733842124,7.069985619,9.009434166,9.208300669,9.594787227,10.81605893,7.133543966,1.621018083,0.048767538
