,date,students,value
0,1985-01-01,16-17,66.37471008300781
1,1985-01-01,18-20,73.32640075683594
2,1985-01-01,21-24,84.45604705810547
3,1986-01-01,16-17,63.08258056640625
4,1986-01-01,18-20,73.3290023803711
5,1986-01-01,21-24,83.96629333496094
6,1987-01-01,16-17,63.34056091308594
7,1987-01-01,18-20,69.4864730834961
8,1987-01-01,21-24,89.42143249511719
9,1988-01-01,16-17,57.19322967529297
10,1988-01-01,18-20,67.44829559326172
11,1988-01-01,21-24,84.38086700439453
12,1989-01-01,16-17,57.28065490722656
13,1989-01-01,18-20,63.24929428100586
14,1989-01-01,21-24,81.53874206542969
15,1990-01-01,16-17,57.4911003112793
16,1990-01-01,18-20,60.99897003173828
17,1990-01-01,21-24,78.59203338623047
18,1991-01-01,16-17,56.44858932495117
19,1991-01-01,18-20,61.86280822753906
20,1991-01-01,21-24,80.4965591430664
21,1992-01-01,16-17,58.44317626953125
22,1992-01-01,18-20,62.80375671386719
23,1992-01-01,21-24,76.64014434814453
24,1993-01-01,16-17,62.57598876953125
25,1993-01-01,18-20,67.05799102783203
26,1993-01-01,21-24,77.93359375
27,1994-01-01,16-17,59.67143630981445
28,1994-01-01,18-20,66.24887084960938
29,1994-01-01,21-24,77.37805938720703
30,1995-01-01,16-17,59.5982780456543
31,1995-01-01,18-20,65.35350799560547
32,1995-01-01,21-24,77.39305877685547
33,1996-01-01,16-17,56.44072723388672
34,1996-01-01,18-20,60.3806266784668
35,1996-01-01,21-24,66.31452178955078
36,1997-01-01,16-17,53.801517486572266
37,1997-01-01,18-20,56.36494827270508
38,1997-01-01,21-24,68.9804458618164
39,1998-01-01,16-17,52.705318450927734
40,1998-01-01,18-20,58.71404266357422
41,1998-01-01,21-24,69.50013732910156
42,1999-01-01,16-17,53.09906768798828
43,1999-01-01,18-20,55.355430603027344
44,1999-01-01,21-24,65.59945678710938
45,2000-01-01,16-17,52.47211456298828
46,2000-01-01,18-20,53.58445739746094
47,2000-01-01,21-24,65.86231231689453
48,2001-01-01,16-17,58.247066497802734
49,2001-01-01,18-20,53.54499053955078
50,2001-01-01,21-24,66.70967102050781
51,2002-01-01,16-17,56.32188415527344
52,2002-01-01,18-20,56.128841400146484
53,2002-01-01,21-24,65.01891326904297
54,2003-01-01,16-17,55.41667175292969
55,2003-01-01,18-20,54.253299713134766
56,2003-01-01,21-24,65.76130676269531
57,2004-01-01,16-17,59.78435134887695
58,2004-01-01,18-20,53.21683120727539
59,2004-01-01,21-24,61.2149772644043
60,2005-01-01,16-17,58.697898864746094
61,2005-01-01,18-20,56.69905090332031
62,2005-01-01,21-24,63.09691619873047
63,2006-01-01,16-17,63.07307052612305
64,2006-01-01,18-20,55.635738372802734
65,2006-01-01,21-24,61.418827056884766
66,2007-01-01,16-17,64.09368896484375
67,2007-01-01,18-20,56.8369140625
68,2007-01-01,21-24,58.82927703857422
69,2008-01-01,16-17,63.886348724365234
70,2008-01-01,18-20,57.29411315917969
71,2008-01-01,21-24,62.755348205566406
72,2009-01-01,16-17,65.3638687133789
73,2009-01-01,18-20,60.042198181152344
74,2009-01-01,21-24,68.17174530029297
75,2010-01-01,16-17,69.12001037597656
76,2010-01-01,18-20,59.479164123535156
77,2010-01-01,21-24,67.3897705078125
78,2011-01-01,16-17,68.61898803710938
79,2011-01-01,18-20,64.23869323730469
80,2011-01-01,21-24,66.59209442138672
81,2012-01-01,16-17,68.80389404296875
82,2012-01-01,18-20,60.820526123046875
83,2012-01-01,21-24,68.3152084350586
84,2013-01-01,16-17,71.22754669189453
85,2013-01-01,18-20,62.564701080322266
86,2013-01-01,21-24,64.9731674194336
87,2014-01-01,16-17,71.19529724121094
88,2014-01-01,18-20,62.07728958129883
89,2014-01-01,21-24,67.83159637451172
90,2015-01-01,16-17,71.9130630493164
91,2015-01-01,18-20,60.37735366821289
92,2015-01-01,21-24,64.79864501953125
93,2016-01-01,16-17,70.3996353149414
94,2016-01-01,18-20,61.812774658203125
95,2016-01-01,21-24,63.30503845214844
96,2017-01-01,16-17,69.8119888305664
97,2017-01-01,18-20,64.97150421142578
98,2017-01-01,21-24,64.55980682373047
99,2018-01-01,16-17,70.7746810913086
100,2018-01-01,18-20,65.3268051147461
101,2018-01-01,21-24,64.92805480957031
102,2019-01-01,16-17,72.7576904296875
103,2019-01-01,18-20,67.17053985595703
104,2019-01-01,21-24,60.08334732055664
105,2020-01-01,16-17,72.26039123535156
106,2020-01-01,18-20,59.74064636230469
107,2020-01-01,21-24,61.975914001464844
108,2021-01-01,16-17,80.03644561767578
109,2021-01-01,18-20,67.75489807128906
110,2021-01-01,21-24,60.8787841796875
