,full,part,year,q,label
0,21.659238815307617,7.149896144866943,2019,1,2019Q1
1,21.702661514282227,7.2746381759643555,2019,2,2019Q2
2,21.910980224609375,7.074212074279785,2019,3,2019Q3
3,22.055400848388672,7.044702053070068,2019,4,2019Q4
4,21.98291015625,7.22333288192749,2020,1,2020Q1
5,21.99327278137207,6.896485805511475,2020,2,2020Q2
6,22.083797454833984,6.720296859741211,2020,3,2020Q3
7,22.012392044067383,6.63001012802124,2020,4,2020Q4
8,22.186561584472656,6.538900852203369,2021,1,2021Q1
9,22.211641311645508,6.518528938293457,2021,2,2021Q2
