,full,part,year,q,label
0,24.020132,8.560592,2019,1,2019Q1
1,24.006197,8.688966,2019,2,2019Q2
2,24.243848,8.498932,2019,3,2019Q3
3,24.426525,8.498999,2019,4,2019Q4
4,24.264058,8.685809,2020,1,2020Q1
5,24.205352,8.279971,2020,2,2020Q2
6,24.290051,8.019713,2020,3,2020Q3
7,24.241842,7.894014,2020,4,2020Q4
8,24.336988,7.781421,2021,1,2021Q1
9,24.341755,7.832282,2021,2,2021Q2
