,full,part,year,q,label
0,2.360893,1.410696,2019,1,2019Q1
1,2.303536,1.414328,2019,2,2019Q2
2,2.332868,1.42472,2019,3,2019Q3
3,2.371125,1.454297,2019,4,2019Q4
4,2.281147,1.462476,2020,1,2020Q1
5,2.21208,1.383485,2020,2,2020Q2
6,2.206253,1.299416,2020,3,2020Q3
7,2.22945,1.264004,2020,4,2020Q4
8,2.150427,1.24252,2021,1,2021Q1
9,2.130114,1.313753,2021,2,2021Q2
