,weekx,week3,nhoursx2,m_nhoursx2,min_nhoursx2,max_nhoursx2
0,2020-01-01,2020w1,734.41069,795.9392700195312,538.2139892578125,913.2947387695312
1,2020-01-08,2,1057.474808,1047.481201171875,1024.4912109375,1082.6617431640625
2,2020-01-15,3,1036.385727,1030.9884033203125,1009.5523681640625,1048.596923828125
3,2020-01-22,4,1069.044665,1033.3106689453125,983.3948974609375,1060.042724609375
4,2020-01-29,2020w5,1061.515312,1057.6796875,953.5162963867188,1080.8480224609375
5,2020-02-05,6,1080.457352,1053.846435546875,978.8176879882812,1097.1197509765625
6,2020-02-12,7,1034.616024,1041.0386962890625,992.5338745117188,1066.1046142578125
7,2020-02-19,8,997.813388,1005.5560302734375,984.645263671875,1057.9705810546875
8,2020-02-26,9,1020.179251,1050.7452392578125,1011.4517822265625,1063.0693359375
9,2020-03-04,10,1065.852359,1012.3253173828125,951.4735107421875,1058.70166015625
10,2020-03-11,11,1040.890825,1016.3076782226562,940.8493041992188,1075.349853515625
11,2020-03-18,2020w12,944.11109,1005.732177734375,917.1868896484375,1026.5535888671875
12,2020-03-25,13,694.606926,889.8107299804688,853.2554931640625,1059.408935546875
13,2020-04-01,14,756.802553,879.3546752929688,821.7958984375,1034.2579345703125
14,2020-04-08,15,766.387466,988.6832885742188,906.57275390625,1081.456298828125
15,2020-04-15,16,739.49239,996.2987060546875,881.7625732421875,1127.8026123046875
16,2020-04-22,17,819.481689,959.6432495117188,807.5393676757812,1060.08544921875
17,2020-04-29,18,805.704003,1019.8115234375,978.0989990234375,1130.0001220703125
18,2020-05-06,19,811.900336,961.4642333984375,907.1931762695312,1077.5220947265625
19,2020-05-13,20,837.891912,1034.9837646484375,961.1663818359375,1124.3343505859375
20,2020-05-20,21,842.544339,990.7387084960938,953.867919921875,1012.8076171875
21,2020-05-27,2020w22,824.677477,973.7189331054688,897.4834594726562,1005.7938232421875
22,2020-06-03,23,870.789114,1001.2976684570312,896.4118041992188,1046.6385498046875
23,2020-06-10,24,848.759002,1054.0736083984375,963.4039916992188,1115.9454345703125
24,2020-06-17,25,821.171988,1018.6033935546875,952.8067626953125,1122.552734375
25,2020-06-24,26,807.41076,995.3428955078125,927.9501342773438,1089.9737548828125
26,2020-07-01,27,848.742245,1033.3857421875,994.3368530273438,1143.193603515625
27,2020-07-08,28,835.242707,1005.12548828125,934.9566040039062,1096.9515380859375
28,2020-07-15,29,827.310328,932.0902099609375,892.7032470703125,994.1854248046875
29,2020-07-22,30,831.826788,898.651611328125,874.5933227539062,944.2653198242188
30,2020-07-29,31,856.191518,886.8546142578125,856.7472534179688,920.6106567382812
31,2020-08-05,2020w32,857.052924,925.0891723632812,899.5220947265625,959.0540161132812
32,2020-08-12,33,854.448712,926.4208984375,903.6380004882812,941.4776611328125
33,2020-08-19,34,853.239348,893.8267822265625,847.9227294921875,972.8040161132812
34,2020-08-26,35,824.661357,908.3214721679688,878.3975830078125,971.1205444335938
35,2020-09-02,36,916.736041,981.9830322265625,852.4344482421875,1021.368896484375
36,2020-09-09,37,988.504231,1010.4990234375,962.8541259765625,1064.955322265625
37,2020-09-16,38,929.825312,996.0507202148438,984.677490234375,1009.626953125
38,2020-09-23,39,984.414561,1033.239013671875,942.212158203125,1047.7606201171875
39,2020-10-07,41,975.745212,1034.6044921875,993.0009155273438,1055.853271484375
40,2020-10-14,2020w42,965.408678,1018.28662109375,987.3329467773438,1071.962890625
41,2020-10-21,43,954.963269,965.1570434570312,921.0780639648438,1005.0732421875
42,2020-10-28,44,942.954207,981.1549072265625,913.3335571289062,1040.1376953125
43,2020-11-04,45,958.974016,1032.296630859375,1026.596435546875,1099.205810546875
44,2020-11-11,46,966.470349,1085.685791015625,978.9905395507812,1172.56201171875
45,2020-11-18,47,957.81608,1056.536865234375,1003.8814697265625,1086.7708740234375
46,2020-11-25,48,979.878601,1016.0797729492188,969.980712890625,1118.3314208984375
47,2020-12-02,49,990.816294,986.9576416015625,925.4530639648438,1052.8070068359375
48,2020-12-09,50,996.606949,956.8125610351562,832.6318359375,1038.39013671875
49,2020-12-16,51,997.029423,841.3928833007812,763.989013671875,982.9591674804688
50,2020-12-23,2020w52,630.530004,595.2545776367188,518.7254028320312,797.6157836914062
51,2021-01-01,2021w1,1091.535575,795.9392700195312,538.2139892578125,913.2947387695312
52,2021-01-08,54,950.8096,1047.481201171875,1024.4912109375,1082.6617431640625
53,2021-01-15,55,989.076543,1030.9884033203125,1009.5523681640625,1048.596923828125
54,2021-01-22,56,940.894747,1033.3106689453125,983.3948974609375,1060.042724609375
55,2021-01-29,2020w5,969.837219,1057.6796875,953.5162963867188,1080.8480224609375
