,weekx,week3,hired_week,m_hired_week,min_hired_week,max_hired_week,excess1_hired_week
0,2020-01-01,2020w1,0.30971288681030273,0.48836734890937805,0.4739159643650055,0.568711519241333,-0.17865446209907532
1,2020-01-08,2,0.45259642601013184,0.5096555948257446,0.4287779927253723,0.6732204556465149,-0.05705916881561279
2,2020-01-15,3,0.41596531867980957,0.7091394066810608,0.5103793740272522,0.7712863683700562,-0.2931740880012512
3,2020-01-22,4,0.5913538932800293,0.5536879301071167,0.49213090538978577,0.7643807530403137,0.0376659631729126
4,2020-01-29,2020w5,0.4174926280975342,0.664570152759552,0.5631926655769348,0.9233902096748352,-0.24707752466201782
5,2020-02-05,6,0.4596484303474426,0.653798520565033,0.5304706692695618,0.7862601280212402,-0.19415009021759033
6,2020-02-12,7,0.5203937888145447,0.7588598728179932,0.6080833077430725,0.9162472486495972,-0.2384660840034485
7,2020-02-19,8,0.6462302207946777,0.8061755299568176,0.7750451564788818,0.9183910489082336,-0.1599453091621399
8,2020-02-26,9,0.43609845638275146,0.45639052987098694,0.44560861587524414,0.8264210224151611,-0.020292073488235474
9,2020-03-04,10,0.3021010160446167,0.5046336054801941,0.4001707434654236,0.6265430450439453,-0.2025325894355774
10,2020-03-11,11,0.19056576490402222,0.6438880562782288,0.4833773374557495,0.6918860673904419,-0.45332229137420654
11,2020-03-18,2020w12,0.38522329926490784,0.707536518573761,0.5529626607894897,0.7661866545677185,-0.32231321930885315
12,2020-03-25,13,0.3304874002933502,0.6676870584487915,0.6202622056007385,1.0467735528945923,-0.3371996581554413
13,2020-04-01,14,0.24745482206344604,0.5065057873725891,0.3708195090293884,0.5798892378807068,-0.25905096530914307
14,2020-04-08,15,0.279922753572464,0.6360411643981934,0.38498005270957947,0.6781304478645325,-0.35611841082572937
15,2020-04-15,16,0.3795624375343323,0.5785855650901794,0.46988311409950256,0.723060667514801,-0.19902312755584717
16,2020-04-22,17,0.4647133946418762,0.5967763066291809,0.5640873312950134,0.8486116528511047,-0.1320629119873047
17,2020-04-29,18,0.2055124193429947,0.4674225449562073,0.3898788094520569,0.7307568192481995,-0.2619101405143738
18,2020-05-06,19,0.3121089041233063,0.6110303997993469,0.520026683807373,0.7598782777786255,-0.29892149567604065
19,2020-05-13,20,0.3049694299697876,0.675356924533844,0.5810608267784119,0.7983672618865967,-0.3703874945640564
20,2020-05-20,21,0.21527278423309326,0.7566339373588562,0.49060922861099243,0.8815478682518005,-0.5413611531257629
21,2020-05-27,2020w22,0.19571591913700104,0.778621256351471,0.43078485131263733,0.9500362873077393,-0.5829053521156311
22,2020-06-03,23,0.2926423251628876,0.7086456418037415,0.47434279322624207,0.8895885944366455,-0.4160033166408539
23,2020-06-10,24,0.23428384959697723,0.622623860836029,0.49939873814582825,0.6480103135108948,-0.3883399963378906
24,2020-06-17,25,0.27209705114364624,0.7926518321037292,0.6813161373138428,0.8278648257255554,-0.520554780960083
25,2020-06-24,26,0.24647173285484314,0.7511394619941711,0.4747629761695862,0.9746766686439514,-0.5046677589416504
26,2020-07-01,27,0.3338264226913452,0.6055320501327515,0.5839371085166931,0.6824045777320862,-0.27170562744140625
27,2020-07-08,28,0.41837984323501587,0.6998748779296875,0.6311707496643066,0.7789501547813416,-0.28149503469467163
28,2020-07-15,29,0.2867264151573181,0.778486967086792,0.6965925693511963,0.8618861436843872,-0.4917605519294739
29,2020-07-22,30,0.43585914373397827,0.8758156299591064,0.7832332253456116,1.0451020002365112,-0.4399564862251282
30,2020-07-29,31,0.3683408498764038,0.7064236998558044,0.550098717212677,1.1818151473999023,-0.33808284997940063
31,2020-08-05,2020w32,0.4988229274749756,0.6985519528388977,0.47918614745140076,0.9676883220672607,-0.19972902536392212
32,2020-08-12,33,0.3974704444408417,0.7493798136711121,0.5484084486961365,0.9770752787590027,-0.3519093692302704
33,2020-08-19,34,0.40032723546028137,0.9138966798782349,0.5645375847816467,1.0595191717147827,-0.5135694742202759
34,2020-08-26,35,0.5456007719039917,0.8266156315803528,0.47306424379348755,1.11345374584198,-0.2810148596763611
35,2020-09-02,36,0.4391520619392395,0.7165297269821167,0.5918269753456116,0.8564454317092896,-0.2773776650428772
36,2020-09-09,37,0.5270373821258545,0.8731433153152466,0.7201817631721497,1.0638593435287476,-0.3461059331893921
37,2020-09-16,38,0.8749883770942688,0.949873149394989,0.9394360780715942,1.1429476737976074,-0.07488477230072021
38,2020-09-23,39,0.8972833156585693,1.0546228885650635,1.0084190368652344,1.2214317321777344,-0.15733957290649414
39,2020-10-07,41,0.7355695366859436,0.9026262164115906,0.8696041107177734,1.10788094997406,-0.16705667972564697
40,2020-10-14,2020w42,0.4820406436920166,1.070851445198059,0.7927538752555847,1.1616954803466797,-0.5888108015060425
41,2020-10-21,43,0.7279464602470398,1.0995930433273315,0.7279468774795532,1.1532738208770752,-0.37164658308029175
42,2020-10-28,44,0.5525476336479187,0.7425587177276611,0.4345199465751648,1.2234526872634888,-0.19001108407974243
43,2020-11-04,45,0.5789031982421875,0.6426375508308411,0.41172537207603455,0.8464785218238831,-0.06373435258865356
44,2020-11-11,46,0.6127821207046509,0.8504660129547119,0.6913228631019592,0.9591683745384216,-0.23768389225006104
45,2020-11-18,47,0.6892116069793701,0.982066810131073,0.7349381446838379,1.0417897701263428,-0.2928552031517029
46,2020-11-25,48,0.7883713841438293,0.8055444955825806,0.38555675745010376,1.033818006515503,-0.01717311143875122
47,2020-12-02,49,0.5111582279205322,0.5892226696014404,0.530102550983429,0.6273936629295349,-0.0780644416809082
48,2020-12-09,50,0.4942847490310669,0.668769359588623,0.30180537700653076,0.7307147979736328,-0.17448461055755615
49,2020-12-16,51,0.36617371439933777,0.5873582363128662,0.5185287594795227,0.8012519478797913,-0.22118452191352844
50,2020-12-23,2020w52,0.40285348892211914,0.7315717935562134,0.5311068892478943,0.7471262216567993,-0.32871830463409424
51,2021-01-01,2021w1,0.25371989607810974,0.48836734890937805,0.4739159643650055,0.568711519241333,-0.2346474528312683
52,2021-01-08,54,0.37877586483955383,0.5096555948257446,0.4287779927253723,0.6732204556465149,-0.1308797299861908
53,2021-01-15,55,0.48607325553894043,0.7091394066810608,0.5103793740272522,0.7712863683700562,-0.22306615114212036
54,2021-01-22,56,0.4908256232738495,0.5536879301071167,0.49213090538978577,0.7643807530403137,-0.06286230683326721
55,2021-01-29,2020w5,0.5494295954704285,0.664570152759552,0.5631926655769348,0.9233902096748352,-0.11514055728912354
