,weekx,week3,ill,m_ill,min_ill,max_ill,excess1_ill
0,2020-01-01,2020w1,1.7664110660552979,1.567263126373291,1.2328804731369019,2.5805203914642334,0.19914793968200684
1,2020-01-08,2,2.556926727294922,2.416879653930664,1.850146770477295,2.7862515449523926,0.1400470733642578
2,2020-01-15,3,1.9465099573135376,2.4186363220214844,1.9317010641098022,2.845492362976074,-0.4721263647079468
3,2020-01-22,4,1.9445207118988037,2.3110997676849365,2.00714373588562,2.5087969303131104,-0.3665790557861328
4,2020-01-29,2020w5,2.099891424179077,2.0854852199554443,1.804767370223999,3.0273988246917725,0.014406204223632812
5,2020-02-05,6,1.9698888063430786,2.3269810676574707,2.273930072784424,3.5968382358551025,-0.3570922613143921
6,2020-02-12,7,2.576369524002075,1.9926166534423828,1.5893906354904175,2.3339011669158936,0.5837528705596924
7,2020-02-19,8,1.6500277519226074,1.942987322807312,1.339888334274292,2.252070903778076,-0.2929595708847046
8,2020-02-26,9,2.005970001220703,1.845642328262329,1.572124719619751,2.0352375507354736,0.16032767295837402
9,2020-03-04,10,2.579282283782959,2.3214311599731445,1.521718978881836,2.458635091781616,0.25785112380981445
10,2020-03-11,11,1.6029053926467896,1.8712321519851685,1.7867379188537598,2.8877100944519043,-0.2683267593383789
11,2020-03-18,2020w12,2.595914840698242,2.34012508392334,1.740356683731079,2.780040740966797,0.25578975677490234
12,2020-03-25,13,1.107870101928711,1.6207339763641357,1.4300415515899658,2.084625005722046,-0.5128638744354248
13,2020-04-01,14,1.8658223152160645,1.6310429573059082,1.24840247631073,1.9584020376205444,0.23477935791015625
14,2020-04-08,15,1.8773443698883057,1.7124642133712769,1.046552300453186,1.9738627672195435,0.1648801565170288
15,2020-04-15,16,1.4172194004058838,1.2417032718658447,1.0380924940109253,1.6901124715805054,0.17551612854003906
16,2020-04-22,17,1.3321125507354736,1.2833971977233887,1.044492244720459,2.0442566871643066,0.04871535301208496
17,2020-04-29,18,0.841532826423645,1.732316255569458,1.1891206502914429,1.9448405504226685,-0.890783429145813
18,2020-05-06,19,0.9011679291725159,1.6762597560882568,1.3981255292892456,2.427276134490967,-0.775091826915741
19,2020-05-13,20,1.1839953660964966,1.4665788412094116,1.2008801698684692,2.0150156021118164,-0.28258347511291504
20,2020-05-20,21,0.758313000202179,1.5976604223251343,1.3128429651260376,2.1593096256256104,-0.8393474221229553
21,2020-05-27,2020w22,0.9627618789672852,1.5059993267059326,1.3438245058059692,1.7893686294555664,-0.5432374477386475
22,2020-06-03,23,0.764530599117279,1.436188817024231,1.1734040975570679,1.7818692922592163,-0.6716582179069519
23,2020-06-10,24,1.0268287658691406,1.6946015357971191,1.4552578926086426,1.9747028350830078,-0.6677727699279785
24,2020-06-17,25,1.3493117094039917,1.8579111099243164,1.3733601570129395,2.4169983863830566,-0.5085994005203247
25,2020-06-24,26,0.6108815670013428,1.5660083293914795,1.1417242288589478,2.3150241374969482,-0.9551267623901367
26,2020-07-01,27,0.80177903175354,1.5517321825027466,1.3985166549682617,1.9116867780685425,-0.7499531507492065
27,2020-07-08,28,1.039698600769043,1.4615130424499512,1.1026524305343628,1.9327336549758911,-0.4218144416809082
28,2020-07-15,29,0.8632903695106506,1.477432131767273,1.302789568901062,1.56768798828125,-0.6141417622566223
29,2020-07-22,30,0.8786729574203491,1.360041856765747,1.0005549192428589,1.6973830461502075,-0.48136889934539795
30,2020-07-29,31,1.231972575187683,1.1612941026687622,0.8339372277259827,1.5992788076400757,0.0706784725189209
31,2020-08-05,2020w32,0.8946256041526794,1.6155014038085938,1.4127708673477173,1.8472529649734497,-0.7208757996559143
32,2020-08-12,33,1.2747886180877686,1.6047790050506592,1.3571144342422485,2.027648448944092,-0.3299903869628906
33,2020-08-19,34,0.5216724276542664,1.334464430809021,0.8615667819976807,1.5027261972427368,-0.8127920031547546
34,2020-08-26,35,1.0499179363250732,1.236854076385498,0.7892800569534302,1.7475292682647705,-0.1869361400604248
35,2020-09-02,36,0.8279078006744385,1.0873268842697144,0.7887234091758728,1.9158612489700317,-0.2594190835952759
36,2020-09-09,37,0.6927510499954224,1.710632085800171,0.9927912354469299,1.8713659048080444,-1.0178810358047485
37,2020-09-16,38,0.7489956617355347,1.7811626195907593,1.2168346643447876,2.397653341293335,-1.0321669578552246
38,2020-09-23,39,1.155582308769226,1.864986538887024,1.5674998760223389,2.3176393508911133,-0.7094042301177979
39,2020-10-07,41,1.1483736038208008,2.0824599266052246,1.6516361236572266,2.1880757808685303,-0.9340863227844238
40,2020-10-14,2020w42,1.232309341430664,1.9056165218353271,1.7019152641296387,2.2324821949005127,-0.6733071804046631
41,2020-10-21,43,1.6729786396026611,1.8954519033432007,1.6970405578613281,2.266037940979004,-0.22247326374053955
42,2020-10-28,44,1.0316836833953857,2.0976521968841553,1.648558497428894,2.42946457862854,-1.0659685134887695
43,2020-11-04,45,1.7964184284210205,2.1090567111968994,1.51632821559906,2.8405392169952393,-0.3126382827758789
44,2020-11-11,46,0.8376992344856262,2.193700075149536,1.3485617637634277,2.58665132522583,-1.3560009002685547
45,2020-11-18,47,1.6691303253173828,2.4777684211730957,1.771082878112793,3.1417932510375977,-0.8086380958557129
46,2020-11-25,48,1.031260371208191,2.1973581314086914,2.065308094024658,2.6162679195404053,-1.1660977602005005
47,2020-12-02,49,1.8562976121902466,2.313380718231201,1.61481773853302,2.9238619804382324,-0.4570831060409546
48,2020-12-09,50,1.4007948637008667,2.8017337322235107,2.0521304607391357,3.0793468952178955,-1.400938868522644
