,Date,Base rate
0,01/01/1971,7.0
1,02/01/1971,7.0
2,03/01/1971,7.0
3,04/01/1971,7.0
4,05/01/1971,7.0
5,06/01/1971,7.0
6,07/01/1971,7.0
7,08/01/1971,7.0
8,09/01/1971,7.0
9,10/01/1971,7.0
10,11/01/1971,7.0
11,12/01/1971,7.0
12,13/01/1971,7.0
13,14/01/1971,7.0
14,15/01/1971,7.0
15,16/01/1971,7.0
16,17/01/1971,7.0
17,18/01/1971,7.0
18,19/01/1971,7.0
19,20/01/1971,7.0
20,21/01/1971,7.0
21,22/01/1971,7.0
22,23/01/1971,7.0
23,24/01/1971,7.0
24,25/01/1971,7.0
25,26/01/1971,7.0
26,27/01/1971,7.0
27,28/01/1971,7.0
28,29/01/1971,7.0
29,30/01/1971,7.0
30,31/01/1971,7.0
31,01/02/1971,7.0
32,02/02/1971,7.0
33,03/02/1971,7.0
34,04/02/1971,7.0
35,05/02/1971,7.0
36,06/02/1971,7.0
37,07/02/1971,7.0
38,08/02/1971,7.0
39,09/02/1971,7.0
40,10/02/1971,7.0
41,11/02/1971,7.0
42,12/02/1971,7.0
43,13/02/1971,7.0
44,14/02/1971,7.0
45,15/02/1971,7.0
46,16/02/1971,7.0
47,17/02/1971,7.0
48,18/02/1971,7.0
49,19/02/1971,7.0
50,20/02/1971,7.0
51,21/02/1971,7.0
52,22/02/1971,7.0
53,23/02/1971,7.0
54,24/02/1971,7.0
55,25/02/1971,7.0
56,26/02/1971,7.0
57,27/02/1971,7.0
58,28/02/1971,7.0
59,01/03/1971,7.0
60,02/03/1971,7.0
61,03/03/1971,7.0
62,04/03/1971,7.0
63,05/03/1971,7.0
64,06/03/1971,7.0
65,07/03/1971,7.0
66,08/03/1971,7.0
67,09/03/1971,7.0
68,10/03/1971,7.0
69,11/03/1971,7.0
70,12/03/1971,7.0
71,13/03/1971,7.0
72,14/03/1971,7.0
73,15/03/1971,7.0
74,16/03/1971,7.0
75,17/03/1971,7.0
76,18/03/1971,7.0
77,19/03/1971,7.0
78,20/03/1971,7.0
79,21/03/1971,7.0
80,22/03/1971,7.0
81,23/03/1971,7.0
82,24/03/1971,7.0
83,25/03/1971,7.0
84,26/03/1971,7.0
85,27/03/1971,7.0
86,28/03/1971,7.0
87,29/03/1971,7.0
88,30/03/1971,7.0
89,31/03/1971,7.0
